Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
3,1300000.0,5 bedroom end of terrace house for sale,"Barking, Barking, IG11",http://www.rightmove.co.uk/properties/86229609#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Barking-181043.html,IG11,,5.0,2023-06-26 19:17:44.570558,End of Terrace,5.0,2.0,212.0,"Barking, Barking",51.5402677,0.0793235
73,525000.0,3 bedroom semi-detached house for sale,"Gale Street, Dagenham ",http://www.rightmove.co.uk/properties/136496816#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Carter-and-Willow/Dagenham-59646.html,,,3.0,2023-06-26 19:17:44.570558,Semi-Detached,3.0,1.0,107.0,"Gale Street, Dagenham ",51.5397421,0.1276617
89,500000.0,4 bedroom semi-detached house for sale,"Bakery Close, Chadwell Heath, RM6",http://www.rightmove.co.uk/properties/131915669#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Chadwell-Heath-154961.html,RM6,,4.0,2023-06-26 19:17:44.570558,Semi-Detached,4.0,2.0,122.0,"Bakery Close, Chadwell Heath",,
149,450000.0,3 bedroom terraced house for sale,"Western Avenue, Dagenham, RM10",http://www.rightmove.co.uk/properties/135521627#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/eXp-UK/South-East-238277.html,RM10,,3.0,2023-06-26 19:17:44.570558,Terraced,3.0,1.0,82.0,"Western Avenue, Dagenham",51.5427953,0.1725969
150,400000.0,3 bedroom terraced house for sale,"Oglethorpe Road, Dagenham",http://www.rightmove.co.uk/properties/136407857#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Carter-and-Willow/Dagenham-59646.html,,,3.0,2023-06-26 19:17:44.570558,Terraced,3.0,1.0,73.0,"Oglethorpe Road, Dagenham",51.5561385,0.1484461
156,450000.0,3 bedroom semi-detached house for sale,"Burchett Way, Chadwell Heath, RM6",http://www.rightmove.co.uk/properties/132907298#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Chadwell-Heath-154961.html,RM6,,3.0,2023-06-26 19:17:44.570558,Semi-Detached,3.0,1.0,91.0,"Burchett Way, Chadwell Heath",,
160,450000.0,2 bedroom semi-detached bungalow for sale,"Chadville Gardens, Chadwell Heath, RM6",http://www.rightmove.co.uk/properties/131894306#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Chadwell-Heath-154961.html,RM6,,2.0,2023-06-26 19:17:44.570558,Semi-Detached Bungalow,2.0,1.0,85.0,"Chadville Gardens, Chadwell Heath",51.5768661,0.1295655
164,450000.0,4 bedroom terraced house for sale,"Shaw Avenue, Barking, IG11",http://www.rightmove.co.uk/properties/130521938#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Barking-181043.html,IG11,,4.0,2023-06-26 19:17:44.570558,Terraced,4.0,3.0,105.0,"Shaw Avenue, Barking",51.5302099,0.1343569
178,425000.0,2 bedroom semi-detached house for sale,"Barking, Barking, IG11",http://www.rightmove.co.uk/properties/136092305#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Ilford-181058.html,IG11,,2.0,2023-06-26 19:17:44.570558,Semi-Detached,2.0,1.0,76.0,"Barking, Barking",51.5402677,0.0793235
179,425000.0,3 bedroom semi-detached house for sale,"Listowel Road, Dagenham, London, RM10",http://www.rightmove.co.uk/properties/136120853#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Carter-and-Willow/Dagenham-59646.html,RM10,,3.0,2023-06-26 19:17:44.570558,Semi-Detached,3.0,1.0,103.0,"Listowel Road, Dagenham",51.5575195,0.1536214
185,425000.0,3 bedroom terraced house for sale,"Heath Road, Chadwell Heath, RM6",http://www.rightmove.co.uk/properties/134471942#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Stonebridge-Estates/London-214412.html,RM6,,3.0,2023-06-26 19:17:44.570558,Terraced,3.0,1.0,85.0,"Heath Road, Chadwell Heath",51.5679857,0.127994
186,425000.0,3 bedroom terraced house for sale,"Fordyke Road, Dagenham, London, RM8",http://www.rightmove.co.uk/properties/135594011#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Carter-and-Willow/Dagenham-59646.html,RM8,,3.0,2023-06-26 19:17:44.570558,Terraced,3.0,1.0,76.0,"Fordyke Road, Dagenham",51.5618704,0.1417161
203,425000.0,3 bedroom end of terrace house for sale,"Goresbrook Road, Dagenham",http://www.rightmove.co.uk/properties/136446584#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Carter-and-Willow/Dagenham-59646.html,,,3.0,2023-06-26 19:17:44.570558,End of Terrace,3.0,1.0,87.0,"Goresbrook Road, Dagenham",51.5327538,0.1445557
218,410000.0,3 bedroom terraced house for sale,"Orchard Road, Dagenham",http://www.rightmove.co.uk/properties/119499242#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Carter-and-Willow/Dagenham-59646.html,,,3.0,2023-06-26 19:17:44.570558,Terraced,3.0,1.0,75.0,"Orchard Road, Dagenham",51.5334329,0.1536216
223,400000.0,3 bedroom house for sale,"Valence Avenue, Dagenham, RM8",http://www.rightmove.co.uk/properties/136171988#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Chadwell-Heath-154961.html,RM8,,3.0,2023-06-26 19:17:44.570558,House,3.0,1.0,68.0,"Valence Avenue, Dagenham",51.5552457,0.1301393
231,400000.0,2 bedroom flat for sale,"Barking, Barking, IG11",http://www.rightmove.co.uk/properties/134547464#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Barking-181043.html,IG11,,2.0,2023-06-26 19:17:44.570558,Flat,2.0,2.0,73.0,"Barking, Barking",51.5402677,0.0793235
239,400000.0,3 bedroom terraced house for sale,"Oglethorpe Road, Dagenham",http://www.rightmove.co.uk/properties/136407857#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Carter-and-Willow/Dagenham-59646.html,,,3.0,2023-06-26 19:17:44.570558,Terraced,3.0,1.0,73.0,"Oglethorpe Road, Dagenham",51.5561385,0.1484461
247,400000.0,3 bedroom terraced house for sale,"Easebourne Road, Dagenham",http://www.rightmove.co.uk/properties/136292450#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Carter-and-Willow/Dagenham-59646.html,,,3.0,2023-06-26 19:17:44.570558,Terraced,3.0,1.0,71.0,"Easebourne Road, Dagenham",51.545426,0.1191527
256,400000.0,3 bedroom terraced house for sale,"Campsey Road, Dagenham, RM9",http://www.rightmove.co.uk/properties/135639305#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Chadwell-Heath-154961.html,RM9,,3.0,2023-06-26 19:17:44.570558,Terraced,3.0,2.0,85.0,"Campsey Road, Dagenham",51.5373937,0.1142753
287,375000.0,2 bedroom semi-detached house for sale,"Burdetts Road, Dagenham, Essex",http://www.rightmove.co.uk/properties/136158449#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Peach-Properties/Shoreditch-74746.html,,,2.0,2023-06-26 19:17:44.570558,Semi-Detached,2.0,1.0,58.0,"Burdetts Road, Dagenham",51.5331523,0.1426523
