Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
5,17999999,6 bedroom detached house for sale,"Winnington Road, London",http://www.rightmove.co.uk/properties/132595856#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Glentree-Estates-Ltd/London-190037.html,,,6.0,2023-06-26 21:01:12.575491,Detached,6.0,7.0,937.0,"Winnington Road, London",51.579245,-0.1733969
10,13500000,8 bedroom detached house for sale,"The Bishops Avenue, East Finchley N2",http://www.rightmove.co.uk/properties/131476754#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Adam-Hayes-Estate-Agents/East-Finchley-N2-137693.html,N2,,8.0,2023-06-26 21:01:12.575491,Detached,8.0,8.0,987.0,"The Bishops Avenue, East Finchley N2",51.5852971,-0.1657483
23,9295000,7 bedroom detached house for sale,"Winnington Road, London, N2",http://www.rightmove.co.uk/properties/136454330#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/DDREglobal/London-79209.html,N2,,7.0,2023-06-26 21:01:12.575491,Detached,7.0,6.0,541.0,"Winnington Road, London",51.579245,-0.1733969
27,9000000,6 bedroom semi-detached house for sale,"The Bishops Avenue, Hampstead, N2",http://www.rightmove.co.uk/properties/135548921#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chancellors/Hampstead-41322.html,N2,,6.0,2023-06-26 21:01:12.575491,Semi-Detached,6.0,6.0,434.0,"The Bishops Avenue, Hampstead",51.583837,-0.1676059
33,8000000,6 bedroom detached house for sale,"Totteridge Common, London, N20",http://www.rightmove.co.uk/properties/132941201#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tyron-Ash-Real-Estate/Mayfair-215642.html,N20,,6.0,2023-06-26 21:01:12.575491,Detached,6.0,6.0,654.0,"Totteridge Common, London",51.63238645,-0.21882914364784947
42,7400000,3 bedroom apartment for sale,"Allingham Court, The Bishops Avenue, N2",http://www.rightmove.co.uk/properties/130579463#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Glentree-Estates-Ltd/London-190037.html,N2,,3.0,2023-06-26 21:01:12.575491,Apartment,3.0,3.0,381.0,"Allingham Court, The Bishops Avenue",51.58051045,-0.16925517936105924
47,7000000,5 bedroom detached house for sale,"Canons Close, N2",http://www.rightmove.co.uk/properties/129659648#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Glentree-Estates-Ltd/London-190037.html,N2,,5.0,2023-06-26 21:01:12.575491,Detached,5.0,5.0,484.0,"Canons Close, N2",51.5755225,-0.1704292
48,7000000,5 bedroom detached house for sale,"Folly Farm, London, NW7",http://www.rightmove.co.uk/properties/135040484#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/DDREglobal/London-79209.html,NW7,,5.0,2023-06-26 21:01:12.575491,Detached,5.0,5.0,574.0,"Folly Farm, London",51.623548650000004,-0.2170366264446222
49,7000000,7 bedroom detached house for sale,"The Bishops Avenue, N2",http://www.rightmove.co.uk/properties/86062272#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Glentree-Estates-Ltd/London-190037.html,N2,,7.0,2023-06-26 21:01:12.575491,Detached,7.0,8.0,700.0,"The Bishops Avenue, N2",51.5837632,-0.1678467
52,6950000,6 bedroom detached house for sale,"Winnington Close, N2",http://www.rightmove.co.uk/properties/86025582#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Glentree-Estates-Ltd/London-190037.html,N2,,6.0,2023-06-26 21:01:12.575491,Detached,6.0,4.0,387.0,"Winnington Close, N2",51.579245,-0.1733969
53,6950000,6 bedroom detached house for sale,"Winnington Close, Hampstead Garden Suburb, London",http://www.rightmove.co.uk/properties/85940793#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Wayne-and-Silver/Hampstead-91636.html,,,6.0,2023-06-26 21:01:12.575491,Detached,6.0,4.0,435.0,"Winnington Close, Hampstead Garden Suburb",51.579245,-0.1733969
55,6950000,6 bedroom detached house for sale,"Winnington Close, Hampstead Garden Suburb",http://www.rightmove.co.uk/properties/131833544#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Gravity-Estates/Gravity-Estates-72651.html,,,6.0,2023-06-26 21:01:12.575491,Detached,6.0,4.0,435.0,"Winnington Close, Hampstead Garden Suburb",51.579245,-0.1733969
58,6950000,6 bedroom detached house for sale,"Winnington Close, Hampstead, N2",http://www.rightmove.co.uk/properties/136432874#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Vantage-Residential/St-Johns-Wood-235448.html,N2,,6.0,2023-06-26 21:01:12.575491,Detached,6.0,4.0,373.0,"Winnington Close, Hampstead",51.579245,-0.1733969
59,6950000,6 bedroom detached house for sale,"Winnington Close, Hampstead Garden Suburb, London, N2",http://www.rightmove.co.uk/properties/134337335#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Temple-Fortune-87812.html,N2,,6.0,2023-06-26 21:01:12.575491,Detached,6.0,4.0,435.0,"Winnington Close, Hampstead Garden Suburb",51.579245,-0.1733969
