Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
6,1299999,5 bedroom detached house for sale,"Priestlands Park Road, Sidcup, Kent, DA15",http://www.rightmove.co.uk/properties/136387298#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Capital-Estate-Agents/Sidcup-43142.html,DA15,,5.0,2023-06-26 15:50:02.781302,Detached,5.0,3.0,295.0,"Priestlands Park Road, Sidcup",51.4288751,0.0961915
20,1000000,4 bedroom detached house for sale,"Acacia Way, Sidcup, Kent, DA15",http://www.rightmove.co.uk/properties/132710018#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Kallars/Sidcup-80169.html,DA15,,4.0,2023-06-26 15:50:02.781302,Detached,4.0,3.0,174.0,"Acacia Way, Sidcup",51.442451,0.0996282
24,950000,4 bedroom semi-detached house for sale,"Old Forge Way, Sidcup, DA14",http://www.rightmove.co.uk/properties/133731869#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Kallars/Sidcup-80169.html,DA14,,4.0,2023-06-26 15:50:02.781302,Semi-Detached,4.0,2.0,148.0,"Old Forge Way, Sidcup",51.4241145,0.1092938
28,925000,4 bedroom detached house for sale,"Upton Road South, Bexley, DA5 1QU",http://www.rightmove.co.uk/properties/136126154#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/James-Gorey-Estate-Agents/Sidcup-220718.html,DA5,DA5 1QU,4.0,2023-06-26 15:50:02.781302,Detached,4.0,2.0,156.0,"Upton Road South, Bexley",51.4447321,0.1422726
30,900000,4 bedroom detached house for sale,"Rennets Close, London, SE9",http://www.rightmove.co.uk/properties/136450193#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Cockburn-Estate-Agents/Mottingham--Sales-17465.html,SE9,,4.0,2023-06-26 15:50:02.781302,Detached,4.0,1.0,189.0,"Rennets Close, London",51.4528791,0.0859041
37,875000,4 bedroom semi-detached house for sale,"Longmead Drive, Sidcup, Kent, DA14",http://www.rightmove.co.uk/properties/134573630#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Capital-Estate-Agents/Sidcup-43142.html,DA14,,4.0,2023-06-26 15:50:02.781302,Semi-Detached,4.0,2.0,187.0,"Longmead Drive, Sidcup",51.4345444,0.1230886
42,850000,4 bedroom semi-detached house for sale,"Halfway Street, Sidcup DA15",http://www.rightmove.co.uk/properties/127912790#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bernard-Skinner/Eltham-23597.html,DA15,,4.0,2023-06-26 15:50:02.781302,Semi-Detached,4.0,1.0,187.0,"Halfway Street, Sidcup DA15",51.4362639,0.0947781
53,800000,4 bedroom detached house for sale,"Bond Close, Welling",http://www.rightmove.co.uk/properties/134841977#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Bexleyheath-4311.html,,,4.0,2023-06-26 15:50:02.781302,Detached,4.0,2.0,151.0,"Bond Close, Welling",51.4680423,0.0892994
82,735000,3 bedroom semi-detached house for sale,"St. Johns Road, Sidcup, Kent, DA14",http://www.rightmove.co.uk/properties/136183724#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Capital-Estate-Agents/Sidcup-43142.html,DA14,,3.0,2023-06-26 15:50:02.781302,Semi-Detached,3.0,3.0,61.0,"St. Johns Road, Sidcup",51.4287396,0.1084755
83,725000,5 bedroom semi-detached house for sale,"Telford Road, London, SE9",http://www.rightmove.co.uk/properties/136450256#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Cockburn-Estate-Agents/Mottingham--Sales-17465.html,SE9,,5.0,2023-06-26 15:50:02.781302,Semi-Detached,5.0,3.0,144.0,"Telford Road, London",51.6149114,-0.1281847
88,725000,4 bedroom detached house for sale,"Melrose Avenue, Braeburn Park, Crayford, Kent",http://www.rightmove.co.uk/properties/132844652#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Livermores-The-Estate-Agents/Crayford-14149.html,,,4.0,2023-06-26 15:50:02.781302,Detached,4.0,4.0,157.0,"Melrose Avenue, Braeburn Park",,
125,900000,4 bedroom detached house for sale,"Rennets Close, London, SE9",http://www.rightmove.co.uk/properties/136450193#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Cockburn-Estate-Agents/Mottingham--Sales-17465.html,SE9,,4.0,2023-06-26 15:50:02.781302,Detached,4.0,1.0,189.0,"Rennets Close, London",51.4528791,0.0859041
131,675000,4 bedroom semi-detached bungalow for sale,"Albany Close, Bexley, DA5 3ES",http://www.rightmove.co.uk/properties/86157582#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/James-Gorey-Estate-Agents/Sidcup-220718.html,DA5,DA5 3ES,4.0,2023-06-26 15:50:02.781302,Semi-Detached Bungalow,4.0,1.0,127.0,"Albany Close, Bexley",51.4431101,0.1212524
133,675000,4 bedroom semi-detached house for sale,"West Heath Road, Upper SE2   * VIDEO & 3D FLOORPLAN AVAILABLE *",http://www.rightmove.co.uk/properties/128231816#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Able-Estates/South-East-London-8201.html,SE2,,4.0,2023-06-26 15:50:02.781302,Semi-Detached,4.0,1.0,134.0,"West Heath Road, Upper SE2   * VIDEO & 3D FLOORPLAN AVAILABLE *",,
141,650000,3 bedroom semi-detached house for sale,"Durham Road, Sidcup, Kent, DA14",http://www.rightmove.co.uk/properties/134536076#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Kallars/Sidcup-80169.html,DA14,,3.0,2023-06-26 15:50:02.781302,Semi-Detached,3.0,1.0,109.0,"Durham Road, Sidcup",51.422159,0.1084596
146,650000,5 bedroom semi-detached house for sale,"Chastilian Road, Dartford",http://www.rightmove.co.uk/properties/136034561#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Livermores-The-Estate-Agents/Dartford-14155.html,,,5.0,2023-06-26 15:50:02.781302,Semi-Detached,5.0,2.0,113.0,"Chastilian Road, Dartford",51.4430536,0.1889514
148,650000,4 bedroom semi-detached house for sale,"Cleveland Road, Welling, Kent, DA16 3JP",http://www.rightmove.co.uk/properties/133341059#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Bexleyheath-4311.html,DA16,DA16 3JP,4.0,2023-06-26 15:50:02.781302,Semi-Detached,4.0,2.0,151.0,"Cleveland Road, Welling",51.4657968,0.0984748
159,650000,5 bedroom semi-detached house for sale,"Manor Road, Crayford, Kent",http://www.rightmove.co.uk/properties/135014144#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Livermores-The-Estate-Agents/Crayford-14149.html,,,5.0,2023-06-26 15:50:02.781302,Semi-Detached,5.0,1.0,184.0,"Manor Road, Crayford",51.455782,0.1726692
188,620000,3 bedroom end of terrace house for sale,"Cradley Road, New Eltham SE9",http://www.rightmove.co.uk/properties/134994989#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bernard-Skinner/Eltham-23597.html,SE9,,3.0,2023-06-26 15:50:02.781302,End of Terrace,3.0,1.0,134.0,"Cradley Road, New Eltham SE9",,
240,580000,4 bedroom semi-detached house for sale,"Coniston Road, Bexleyheath, Kent, DA7",http://www.rightmove.co.uk/properties/136344854#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Property-Cloud/North-Kent-and-South-East-London-109346.html,DA7,,4.0,2023-06-26 15:50:02.781302,Semi-Detached,4.0,2.0,137.0,"Coniston Road, Bexleyheath",51.4685838,0.1616558
275,395000,2 bedroom semi-detached house for sale,"Bradenham Avenue, Welling, Kent, DA16",http://www.rightmove.co.uk/properties/136525202#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Property-Cloud/North-Kent-and-South-East-London-109346.html,DA16,,2.0,2023-06-26 15:50:02.781302,Semi-Detached,2.0,1.0,71.0,"Bradenham Avenue, Welling",51.4583871,0.1037389
281,550000,3 bedroom semi-detached house for sale,"Arcadian Avenue, Bexley, DA5 1JW",http://www.rightmove.co.uk/properties/135031181#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/James-Gorey-Estate-Agents/Sidcup-220718.html,DA5,DA5 1JW,3.0,2023-06-26 15:50:02.781302,Semi-Detached,3.0,1.0,93.0,"Arcadian Avenue, Bexley",51.4476825,0.1308661
287,550000,3 bedroom detached house for sale,"Greenhaven Drive, Thamesmead, SE28 8FR",http://www.rightmove.co.uk/properties/135788591#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/James-Gorey-Estate-Agents/Sidcup-220718.html,SE28,SE28 8FR,3.0,2023-06-26 15:50:02.781302,Detached,3.0,2.0,107.0,"Greenhaven Drive, Thamesmead",51.5090589,0.1148178
