Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
0,3500000,6 bedroom detached house for sale,"Dartmouth Road, Mapesbury Estate, London, NW2",http://www.rightmove.co.uk/properties/86209227#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Willesden-Green-71401.html,NW2,,6.0,2023-06-26 08:18:21.397827,Detached,6.0,3.0,271.0,"Dartmouth Road, Mapesbury Estate",,
4,5000000,6 bedroom detached house for sale,"Manor House Drive, London, NW6",http://www.rightmove.co.uk/properties/127205693#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Willesden-Green-London-Sales-13658.html,NW6,,6.0,2023-06-26 08:18:21.397827,Detached,6.0,6.0,479.0,"Manor House Drive, London",51.5424426,-0.2158384
7,4750000,6 bedroom house for sale,"Brondesbury Park, London, NW6",http://www.rightmove.co.uk/properties/129973184#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Willesden-Green-London-Sales-13658.html,NW6,,6.0,2023-06-26 08:18:21.397827,House,6.0,6.0,436.0,"Brondesbury Park, London",51.5405138,-0.2103359
10,4500000,5 bedroom house for sale,"Kingswood Avenue, London, NW6",http://www.rightmove.co.uk/properties/131851694#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Queens-Park-238043.html,NW6,,5.0,2023-06-26 08:18:21.397827,House,5.0,2.0,260.0,"Kingswood Avenue, London",51.3914378,-0.112818
13,3950000,5 bedroom house for sale,"Manor House Drive, NW6",http://www.rightmove.co.uk/properties/133917848#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Willesden-Green-London-Sales-13658.html,NW6,,5.0,2023-06-26 08:18:21.397827,House,5.0,4.0,412.0,"Manor House Drive, NW6",,
16,3750000,5 bedroom penthouse for sale,"Wotton Road, London, NW2",http://www.rightmove.co.uk/properties/133298054#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/DDREglobal/London-79209.html,NW2,,5.0,2023-06-26 08:18:21.397827,Penthouse,5.0,5.0,531.0,"Wotton Road, London",51.5598682,-0.2245401
17,3750000,5 bedroom house for sale,"Harvist Road, London, NW6",http://www.rightmove.co.uk/properties/134759270#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Willesden-Green-London-Sales-13658.html,NW6,,5.0,2023-06-26 08:18:21.397827,House,5.0,4.0,280.0,"Harvist Road, London",51.5335,-0.2110071
18,3650000,6 bedroom house for sale,"Manor House Drive, Brondesbury Park, NW6",http://www.rightmove.co.uk/properties/86105037#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Willesden-Green-London-Sales-13658.html,NW6,,6.0,2023-06-26 08:18:21.397827,House,6.0,4.0,322.0,"Manor House Drive, Brondesbury Park",51.5424426,-0.2158384
19,3500000,6 bedroom detached house for sale,"Dartmouth Road, Mapesbury Estate, London, NW2",http://www.rightmove.co.uk/properties/86209227#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Willesden-Green-71401.html,NW2,,6.0,2023-06-26 08:18:21.397827,Detached,6.0,3.0,271.0,"Dartmouth Road, Mapesbury Estate",,
22,3500000,5 bedroom semi-detached house for sale,"Brondesbury Park, London",http://www.rightmove.co.uk/properties/127528766#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Rigby-And-Marchant/North-Kensington-230237.html,,,5.0,2023-06-26 08:18:21.397827,Semi-Detached,5.0,3.0,462.0,"Brondesbury Park, London",51.5405138,-0.2103359
23,3450000,9 bedroom house for sale,"Alexander Avenue, Willesden Green, NW10",http://www.rightmove.co.uk/properties/134548703#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Liv-International/London-54583.html,NW10,,9.0,2023-06-26 08:18:21.397827,House,9.0,6.0,608.0,"Alexander Avenue, Willesden Green",51.5421302,-0.2297282
26,3250000,5 bedroom house for sale,"Harvist Road, Queens Park",http://www.rightmove.co.uk/properties/134491307#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Parkheath/Kensal-Rise-151640.html,,,5.0,2023-06-26 08:18:21.397827,House,5.0,5.0,283.0,"Harvist Road, Queens Park",51.5333046,-0.2099468
27,3250000,6 bedroom detached house for sale,"Milverton Road, London, NW6",http://www.rightmove.co.uk/properties/127254203#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Willesden-Green-London-Sales-13658.html,NW6,,6.0,2023-06-26 08:18:21.397827,Detached,6.0,4.0,320.0,"Milverton Road, London",51.543395,-0.2207447
29,3150000,7 bedroom detached house for sale,"Coverdale Road, London NW2",http://www.rightmove.co.uk/properties/136444205#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Willesden-Green-London-Sales-13658.html,NW2,,7.0,2023-06-26 08:18:21.397827,Detached,7.0,2.0,360.0,"Coverdale Road, London NW2",,
30,3000000,12 bedroom detached house for sale,"Dartmouth Road, London, NW2",http://www.rightmove.co.uk/properties/135439007#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Huttons-and-Partners/London-257087.html,NW2,,12.0,2023-06-26 08:18:21.397827,Detached,12.0,6.0,489.0,"Dartmouth Road, London",51.4390158,-0.0539784
33,3000000,7 bedroom house for sale,"Sidmouth Road, Willesden, London, NW2",http://www.rightmove.co.uk/properties/128593691#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Willesden-Green-71401.html,NW2,,7.0,2023-06-26 08:18:21.397827,House,7.0,4.0,360.0,"Sidmouth Road, Willesden",51.542864,-0.2252552
34,3000000,6 bedroom detached house for sale,"Alexander Avenue, Willesden Green, London, NW10",http://www.rightmove.co.uk/properties/125777678#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Willesden-Green-71401.html,NW10,,6.0,2023-06-26 08:18:21.397827,Detached,6.0,4.0,372.0,"Alexander Avenue, Willesden Green",51.5421302,-0.2297282
35,2999950,7 bedroom semi-detached house for sale,"The Avenue, Brondesbury Park NW6",http://www.rightmove.co.uk/properties/132435002#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Willesden-Green-London-Sales-13658.html,NW6,,7.0,2023-06-26 08:18:21.397827,Semi-Detached,7.0,4.0,336.0,"The Avenue, Brondesbury Park NW6",51.5401536,-0.2125369
36,2850000,5 bedroom terraced house for sale,"Crediton Road, London NW10",http://www.rightmove.co.uk/properties/134920316#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,NW10,,5.0,2023-06-26 08:18:21.397827,Terraced,5.0,3.0,247.0,"Crediton Road, London NW10",,
37,2850000,4 bedroom house for sale,"Montrose Avenue, London, NW6",http://www.rightmove.co.uk/properties/134323838#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Queens-Park-238043.html,NW6,,4.0,2023-06-26 08:18:21.397827,House,4.0,3.0,218.0,"Montrose Avenue, London",51.5987262,-0.2611732
38,2695000,5 bedroom terraced house for sale,"Okehampton Road, Queens Park, London, NW10",http://www.rightmove.co.uk/properties/85948407#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Simon-Deen-Real-Estate/London-252320.html,NW10,,5.0,2023-06-26 08:18:21.397827,Terraced,5.0,3.0,226.0,"Okehampton Road, Queens Park",,
39,2600000,5 bedroom house for sale,"Creighton Road, London, NW6",http://www.rightmove.co.uk/properties/135153782#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Queens-Park-238043.html,NW6,,5.0,2023-06-26 08:18:21.397827,House,5.0,3.0,212.0,"Creighton Road, London",51.6051575,-0.0736967
42,2500000,6 bedroom semi-detached house for sale,"Wrentham Avenue, NW10",http://www.rightmove.co.uk/properties/135595055#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Loporto-Browne-Residential/London-260705.html,NW10,,6.0,2023-06-26 08:18:21.397827,Semi-Detached,6.0,3.0,199.0,"Wrentham Avenue, NW10",,
47,2375000,6 bedroom detached house for sale,"Littleton Crescent, Harrow, HA1",http://www.rightmove.co.uk/properties/127683920#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Queens-Park-238043.html,HA1,,6.0,2023-06-26 08:18:21.397827,Detached,6.0,4.0,337.0,"Littleton Crescent, Harrow",,
48,2350000,4 bedroom terraced house for sale,"Brooksville Avenue, London, NW6",http://www.rightmove.co.uk/properties/132466424#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank/Queens-Park-138212.html,NW6,,4.0,2023-06-26 08:18:21.397827,Terraced,4.0,2.0,165.0,"Brooksville Avenue, London",51.5378907,-0.2086484
55,2250000,6 bedroom house for sale,"Blenheim Gardens, London, NW2",http://www.rightmove.co.uk/properties/135568598#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Willesden-Green-London-Sales-13658.html,NW2,,6.0,2023-06-26 08:18:21.397827,House,6.0,2.0,271.0,"Blenheim Gardens, London",51.5520148,-0.221032
