Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
6,3950000,7 bedroom detached house for sale,"Milestones, Keston BR2",http://www.rightmove.co.uk/properties/129507539#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Langford-Russell/Locksbottom-55569.html,BR2,,7.0,2023-06-26 10:18:21.171354,Detached,7.0,7.0,939.0,"Milestones, Keston BR2",,
19,2750000,7 bedroom detached house for sale,"Westleigh Drive, Bromley, BR1",http://www.rightmove.co.uk/properties/135998399#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Alan-de-Maid/Chislehurst-4846.html,BR1,,7.0,2023-06-26 10:18:21.171354,Detached,7.0,6.0,616.0,"Westleigh Drive, Bromley",51.4074177,0.0442037
34,2250000,4 bedroom detached house for sale,"Hawkwood Lane, Chislehurst, Kent",http://www.rightmove.co.uk/properties/132575867#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Inigo/London-233495.html,,,4.0,2023-06-26 10:18:21.171354,Detached,4.0,5.0,226.0,"Hawkwood Lane, Chislehurst",51.4067557,0.0716922
62,1950000,6 bedroom house for sale,"Elmers End Road, London",http://www.rightmove.co.uk/properties/135947450#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/I-AM-REAL-ESTATE/London-246389.html,,,6.0,2023-06-26 10:18:21.171354,House,6.0,3.0,340.0,"Elmers End Road, London",51.40855,-0.0594731
88,1650000,6 bedroom semi-detached house for sale,"Oakhill Road, Beckenham, BR3 6NQ",http://www.rightmove.co.uk/properties/136243985#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Nestledin-Limited/covering-Beckenham-251198.html,BR3,BR3 6NQ,6.0,2023-06-26 10:18:21.171354,Semi-Detached,6.0,2.0,211.0,"Oakhill Road, Beckenham",51.4045699,-0.0159649
89,1650000,6 bedroom detached house for sale,"Alexandra Crescent,  Bromley, BR1",http://www.rightmove.co.uk/properties/135814928#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Coady-Phillips/Bromley-14167.html,BR1,,6.0,2023-06-26 10:18:21.171354,Detached,6.0,6.0,279.0,"Alexandra Crescent,  Bromley",51.4201181,0.0084579
103,1600000,5 bedroom detached house for sale,"Kinnaird Avenue, Bromley, BR1",http://www.rightmove.co.uk/properties/135088133#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/eXp-UK/South-East-238277.html,BR1,,5.0,2023-06-26 10:18:21.171354,Detached,5.0,3.0,324.0,"Kinnaird Avenue, Bromley",51.4161759,0.0097941
110,1575000,5 bedroom detached house for sale,"Berrys Green Road, Westerham, Kent",http://www.rightmove.co.uk/properties/86127432#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keller-Williams-Advantage/Covering-Kent-and-South-East-London-205682.html,,,5.0,2023-06-26 10:18:21.171354,Detached,5.0,5.0,351.0,"Berrys Green Road, Westerham",,
111,1575000,5 bedroom detached house for sale,"Berrys Green Road, Westerham, TN16",http://www.rightmove.co.uk/properties/136537817#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Home-Movement/National-256535.html,TN16,,5.0,2023-06-26 10:18:21.171354,Detached,5.0,5.0,351.0,"Berrys Green Road, Westerham",,
115,1500000,5 bedroom end of terrace house for sale,"Lawrie Park Crescent, Sydenham",http://www.rightmove.co.uk/properties/132915389#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Harvey-and-Wheeler/Dulwich-Village-51912.html,,,5.0,2023-06-26 10:18:21.171354,End of Terrace,5.0,2.0,165.0,"Lawrie Park Crescent, Sydenham",,
128,1500000,4 bedroom detached house for sale,"Downs Hill, Beckenham, BR3",http://www.rightmove.co.uk/properties/120639089#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Bromley-137360.html,BR3,,4.0,2023-06-26 10:18:21.171354,Detached,4.0,3.0,273.0,"Downs Hill, Beckenham",,
133,1500000,4 bedroom detached house for sale,"Widmore Road, Bromley, BR1",http://www.rightmove.co.uk/properties/134813108#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Bromley-137360.html,BR1,,4.0,2023-06-26 10:18:21.171354,Detached,4.0,3.0,185.0,"Widmore Road, Bromley",51.4053315,0.0355685
144,1495000,4 bedroom detached house for sale,"Top Park, Beckenham, Kent, BR3",http://www.rightmove.co.uk/properties/135345362#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Capital-Estate-Agents/Bromley-20969.html,BR3,,4.0,2023-06-26 10:18:21.171354,Detached,4.0,2.0,212.0,"Top Park, Beckenham",,
147,1450000,4 bedroom semi-detached house for sale,"Ashfield Lane, Chislehurst, Kent, BR7",http://www.rightmove.co.uk/properties/136361300#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Capital-Estate-Agents/Bromley-20969.html,BR7,,4.0,2023-06-26 10:18:21.171354,Semi-Detached,4.0,2.0,214.0,"Ashfield Lane, Chislehurst",51.4145509,0.0783037
155,1400000,4 bedroom detached house for sale,"South Eden Park Road, Beckenham, London, BR3",http://www.rightmove.co.uk/properties/136521512#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Andrew-Kingsley/Beckenham-7464.html,BR3,,4.0,2023-06-26 10:18:21.171354,Detached,4.0,3.0,205.0,"South Eden Park Road, Beckenham",51.3936234,-0.0232521
180,1325000,5 bedroom detached house for sale,"Old Barn House, Westerham, TN16",http://www.rightmove.co.uk/properties/135112913#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/eXp-UK/South-East-238277.html,TN16,,5.0,2023-06-26 10:18:21.171354,Detached,5.0,3.0,267.0,"Old Barn House, Westerham",,
198,1275000,4 bedroom semi-detached house for sale,"Keston, Kent",http://www.rightmove.co.uk/properties/129059282#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Robert-Leech-Estate-Agents-Ltd/Lingfield-covering-Dormans-Park-238418.html,,,4.0,2023-06-26 10:18:21.171354,Semi-Detached,4.0,3.0,301.0,"Keston, Kent",51.3556215,1.4372417578654075
217,1250000,5 bedroom detached house for sale,High Beeches Chelsfield BR6,http://www.rightmove.co.uk/properties/136025942#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Edward-Ashdale/Bromley-55834.html,BR6,,5.0,2023-06-26 10:18:21.171354,Detached,5.0,4.0,204.0,High Beeches Chelsfield BR6,,
220,1250000,6 bedroom semi-detached house for sale,"Bishops Avenue, Bromley, Kent",http://www.rightmove.co.uk/properties/134959661#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keller-Williams-Advantage/Covering-Kent-and-South-East-London-205682.html,,,6.0,2023-06-26 10:18:21.171354,Semi-Detached,6.0,3.0,204.0,"Bishops Avenue, Bromley",51.4020769,0.0284036
222,1250000,4 bedroom detached house for sale,"Stratford House Avenue, Bickley",http://www.rightmove.co.uk/properties/135814664#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Mark-Beaumont/London-3694.html,,,4.0,2023-06-26 10:18:21.171354,Detached,4.0,3.0,185.0,"Stratford House Avenue, Bickley",51.4004338,0.0455684
255,1150000,6 bedroom detached house for sale,"College Road, Bromley, BR1",http://www.rightmove.co.uk/properties/134653553#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Bromley-137360.html,BR1,,6.0,2023-06-26 10:18:21.171354,Detached,6.0,3.0,291.0,"College Road, Bromley",51.4111236,0.0144039
261,1120000,4 bedroom detached house for sale,"Cromwell Avenue, Bromley, BR2",http://www.rightmove.co.uk/properties/132837866#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Bromley-137360.html,BR2,,4.0,2023-06-26 10:18:21.171354,Detached,4.0,2.0,183.0,"Cromwell Avenue, Bromley",51.3978889,0.018737
266,1100000,5 bedroom semi-detached house for sale,"Tudor Way, Petts Wood, BR5",http://www.rightmove.co.uk/properties/130739909#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Kenton/Orpington-74731.html,BR5,,5.0,2023-06-26 10:18:21.171354,Semi-Detached,5.0,3.0,229.0,"Tudor Way, Petts Wood",51.3886523,0.0786346
281,1100000,4 bedroom semi-detached house for sale,"Tudor Way, Petts Wood East",http://www.rightmove.co.uk/properties/133519733#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Edmund-Estate-Agents/Petts-Wood-20894.html,,,4.0,2023-06-26 10:18:21.171354,Semi-Detached,4.0,3.0,229.0,"Tudor Way, Petts Wood East",,
295,1000000,4 bedroom semi-detached house for sale,"Whitmore Road, Beckenham, BR3",http://www.rightmove.co.uk/properties/135578783#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Bromley-137360.html,BR3,,4.0,2023-06-26 10:18:21.171354,Semi-Detached,4.0,2.0,171.0,"Whitmore Road, Beckenham",51.4015954,-0.0322774
305,1000000,5 bedroom detached house for sale,"Southborough Road, Bromley",http://www.rightmove.co.uk/properties/134901503#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Bromley-7793.html,,,5.0,2023-06-26 10:18:21.171354,Detached,5.0,4.0,448.0,"Southborough Road, Bromley",51.3934565,0.0451178
369,925000,4 bedroom terraced house for sale,"Wiverton Road, London, SE26",http://www.rightmove.co.uk/properties/136251266#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/McQueens-London/London-180098.html,SE26,,4.0,2023-06-26 10:18:21.171354,Terraced,4.0,2.0,149.0,"Wiverton Road, London",51.4201609,-0.0543005
390,900000,5 bedroom semi-detached house for sale,"Hayes Street, Hayes, Bromley, BR2",http://www.rightmove.co.uk/properties/126836450#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Bromley-137360.html,BR2,,5.0,2023-06-26 10:18:21.171354,Semi-Detached,5.0,3.0,179.0,"Hayes Street, Hayes",51.3789703,0.0179709
391,900000,4 bedroom semi-detached house for sale,"Great Elms Road, Bromley",http://www.rightmove.co.uk/properties/133759283#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/James-Millard-Estate-Agents/Westerham-51379.html,,,4.0,2023-06-26 10:18:21.171354,Semi-Detached,4.0,2.0,166.0,"Great Elms Road, Bromley",51.3958292,0.0298372
408,900000,4 bedroom detached house for sale,"Blackness Lane, Keston",http://www.rightmove.co.uk/properties/126963935#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/James-Millard-Estate-Agents/Westerham-51379.html,,,4.0,2023-06-26 10:18:21.171354,Detached,4.0,3.0,255.0,"Blackness Lane, Keston",51.3483945,0.0310485
434,875000,3 bedroom flat for sale,"South Hill Road, Bromley, BR2",http://www.rightmove.co.uk/properties/130386770#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Bromley-137360.html,BR2,,3.0,2023-06-26 10:18:21.171354,Flat,3.0,2.0,167.0,"South Hill Road, Bromley",51.3978104,-0.000309
438,875000,5 bedroom terraced house for sale,"Albyfield, Bickley",http://www.rightmove.co.uk/properties/130013987#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Coady-Phillips/Bromley-14167.html,,,5.0,2023-06-26 10:18:21.171354,Terraced,5.0,2.0,167.0,"Albyfield, Bickley",51.3979994,0.0530308
450,525000,4 bedroom terraced house for sale,"Scotts Terrace, Dorset Road, SE9",http://www.rightmove.co.uk/properties/136450151#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Cockburn-Estate-Agents/Mottingham--Sales-17465.html,SE9,,4.0,2023-06-26 10:18:21.171354,Terraced,4.0,2.0,107.0,"Scotts Terrace, Dorset Road",,
468,850000,3 bedroom end of terrace house for sale,"Albemarle Road, Beckenham, BR3",http://www.rightmove.co.uk/properties/133231448#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Bromley-137360.html,BR3,,3.0,2023-06-26 10:18:21.171354,End of Terrace,3.0,3.0,139.0,"Albemarle Road, Beckenham",51.4101943,-0.0243476
477,845000,4 bedroom detached house for sale,"Pickhurst Lane, West Wickham",http://www.rightmove.co.uk/properties/130973438#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Edmund-Estate-Agents/Bromley-20888.html,,,4.0,2023-06-26 10:18:21.171354,Detached,4.0,1.0,116.0,"Pickhurst Lane, West Wickham",51.3875684,0.0020147
