Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
13,17250000.0,5 bedroom house for sale,"Cannon Lane, Hampstead, NW3",http://www.rightmove.co.uk/properties/132138446#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/St-Johns-Wood-79914.html,NW3,,5.0,2023-06-26 08:04:56.059664,House,5.0,5.0,738.0,"Cannon Lane, Hampstead",51.5603894,-0.1739411
17,16500000.0,4 bedroom semi-detached house for sale,"St Katharine's Precinct, Regent's Park, NW1",http://www.rightmove.co.uk/properties/132263414#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/St-Johns-Wood-79914.html,NW1,,4.0,2023-06-26 08:04:56.059664,Semi-Detached,4.0,4.0,574.0,"St Katharine's Precinct, Regent's Park",,
19,15000000.0,5 bedroom house for sale,"Inverforth House, London, NW3",http://www.rightmove.co.uk/properties/122686493#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/St-Johns-Wood-79914.html,NW3,,5.0,2023-06-26 08:04:56.059664,House,5.0,5.0,768.0,"Inverforth House, London",51.5649059,-0.18103669588400362
23,12500000.0,5 bedroom terraced house for sale,"Gloucester Gate, London, NW1",http://www.rightmove.co.uk/properties/132771533#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/DDREglobal/London-79209.html,NW1,,5.0,2023-06-26 08:04:56.059664,Terraced,5.0,5.0,462.0,"Gloucester Gate, London",51.5352196,-0.1479111
25,950000.0,2 bedroom flat for sale,"Centric Close, Camden, London, NW1",http://www.rightmove.co.uk/properties/125031752#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Camden-64127.html,NW1,,2.0,2023-06-26 08:04:56.059664,Flat,2.0,1.0,76.0,"Centric Close, Camden",,
27,12500000.0,5 bedroom terraced house for sale,"Chester Terrace, Regents Park, London, NW1",http://www.rightmove.co.uk/properties/135779303#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Domus-Nova/Notting-Hill-28746.html,NW1,,5.0,2023-06-26 08:04:56.059664,Terraced,5.0,4.0,411.0,"Chester Terrace, Regents Park",,
32,12000000.0,17 bedroom house for sale,"Elsworthy Rise, Primrose Hill, NW3",http://www.rightmove.co.uk/properties/130093841#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/St-Johns-Wood-79914.html,NW3,,17.0,2023-06-26 08:04:56.059664,House,17.0,10.0,678.0,"Elsworthy Rise, Primrose Hill",51.5425342,-0.164493
34,11950000.0,4 bedroom flat for sale,"Inverforth House, Hampstead, NW3",http://www.rightmove.co.uk/properties/134094488#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/St-Johns-Wood-79914.html,NW3,,4.0,2023-06-26 08:04:56.059664,Flat,4.0,4.0,505.0,"Inverforth House, Hampstead",51.5649059,-0.18103669588400362
35,11500000.0,8 bedroom detached house for sale,"Frognal Gardens, Hampstead, London",http://www.rightmove.co.uk/properties/134106281#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Sandfords/Regents-Park-45144.html,,,8.0,2023-06-26 08:04:56.059664,Detached,8.0,5.0,525.0,"Frognal Gardens, Hampstead",51.5565827,-0.1817321
37,11000000.0,1 bedroom apartment for sale,"Redhill Street, Regent's Park, London, NW1",http://www.rightmove.co.uk/properties/133396913#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Savills/St-Johns-Wood-and-Regents-Park-78202.html,NW1,,1.0,2023-06-26 08:04:56.059664,Apartment,1.0,1.0,48.0,"Redhill Street, Regent's Park",,
39,10950000.0,4 bedroom terraced house for sale,"St Katharine's Precinct, London, NW1",http://www.rightmove.co.uk/properties/132058505#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/DDREglobal/London-79209.html,NW1,,4.0,2023-06-26 08:04:56.059664,Terraced,4.0,3.0,429.0,"St Katharine's Precinct, London",51.5335844,-0.1471598
41,10500000.0,5 bedroom house for sale,"Chester Terrace, Marylebone, NW1",http://www.rightmove.co.uk/properties/136378289#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/St-Johns-Wood-79914.html,NW1,,5.0,2023-06-26 08:04:56.059664,House,5.0,5.0,389.0,"Chester Terrace, Marylebone",,
50,16500000.0,4 bedroom semi-detached house for sale,"St Katharine's Precinct, Regent's Park, NW1",http://www.rightmove.co.uk/properties/132263414#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/St-Johns-Wood-79914.html,NW1,,4.0,2023-06-26 08:04:56.059664,Semi-Detached,4.0,4.0,574.0,"St Katharine's Precinct, Regent's Park",,
54,7750000.0,6 bedroom semi-detached house for sale,"NORTH END AVENUE, HAMPSTEAD, NW3",http://www.rightmove.co.uk/properties/128999027#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Marcus-Parfitt-Residential-Sales/London-195101.html,NW3,,6.0,2023-06-26 08:04:56.059664,Semi-Detached,6.0,3.0,402.0,"NORTH END AVENUE, HAMPSTEAD",51.567167,-0.1811624
64,7250000.0,6 bedroom house for sale,"Greville Road, Maida Vale, NW6",http://www.rightmove.co.uk/properties/85704516#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/St-Johns-Wood-79914.html,NW6,,6.0,2023-06-26 08:04:56.059664,House,6.0,4.0,440.0,"Greville Road, Maida Vale",51.5356416,-0.1861757
65,7100000.0,5 bedroom apartment for sale,"Wadham Gardens, Primrose Hill, NW3 3DN",http://www.rightmove.co.uk/properties/129667523#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Ian-Green-Residential/London-73947.html,NW3,NW3 3DN,5.0,2023-06-26 08:04:56.059664,Apartment,5.0,4.0,387.0,"Wadham Gardens, Primrose Hill",51.5408416,-0.1684246
79,6000000.0,8 bedroom house for sale,"Elsworthy Road, Primrose Hill",http://www.rightmove.co.uk/properties/122036468#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Arlington-Residential/London-195398.html,,,8.0,2023-06-26 08:04:56.059664,House,8.0,5.0,402.0,"Elsworthy Road, Primrose Hill",51.5418311,-0.1631126
89,5250000.0,4 bedroom house for sale,"Rosslyn Mews, Hampstead Village, NW3",http://www.rightmove.co.uk/properties/133024790#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/TK-International/Hampstead-66289.html,NW3,,4.0,2023-06-26 08:04:56.059664,House,4.0,4.0,220.0,"Rosslyn Mews, Hampstead Village",,
