Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
6,4750000,3 bedroom flat for sale,"Sugar Quay, City, London, EC3R",http://www.rightmove.co.uk/properties/129406163#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wapping-111056.html,EC3R,,3.0,2023-06-26 06:14:44.216730,Flat,3.0,3.0,179.0,"Sugar Quay, City",51.5078425,-0.0794066
7,4750000,3 bedroom apartment for sale,"Sugar Quay, Water Lane, EC3  ",http://www.rightmove.co.uk/properties/129838157#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Daniel-Cobb/London-Bridge-58945.html,EC3,,3.0,2023-06-26 06:14:44.216730,Apartment,3.0,3.0,172.0,"Sugar Quay, Water Lane",,
18,3800000,3 bedroom apartment for sale,"80 Houndsditch,London",http://www.rightmove.co.uk/properties/123489662#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,,,3.0,2023-06-26 06:14:44.216730,Apartment,3.0,1.0,152.0,"80 Houndsditch,London",51.5145171,-0.0773436
21,3500000,3 bedroom maisonette for sale,"The Void Space, Cromwell Tower, Barbican, London EC2",http://www.rightmove.co.uk/properties/124034594#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,EC2,,3.0,2023-06-26 06:14:44.216730,Maisonette,3.0,3.0,288.0,"The Void Space, Cromwell Tower",,
30,2350000,4 bedroom terraced house for sale,"Monkwell Square, City of London",http://www.rightmove.co.uk/properties/131841356#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Frank-Harris-and-Co/City-Barbican-and-Clerkenwell-71134.html,,,4.0,2023-06-26 06:14:44.216730,Terraced,4.0,2.0,211.0,"Monkwell Square, City of London",51.5181635,-0.0938448
36,2000000,2 bedroom apartment for sale,"80 Houndsditch,London",http://www.rightmove.co.uk/properties/123489659#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,,,2.0,2023-06-26 06:14:44.216730,Apartment,2.0,1.0,89.0,"80 Houndsditch,London",51.5145171,-0.0773436
38,1990000,2 bedroom apartment for sale,"Houndsditch, One Bishopsgate Plaza, City of London, London, EC2M",http://www.rightmove.co.uk/properties/129380048#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Century-21-London-Central/Westminster-45920.html,EC2M,,2.0,2023-06-26 06:14:44.216730,Apartment,2.0,2.0,81.0,"Houndsditch, One Bishopsgate Plaza",,
47,1700000,2 bedroom apartment for sale,"Great Tower Street, London EC3",http://www.rightmove.co.uk/properties/130356089#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Shoreditch-47640.html,EC3,,2.0,2023-06-26 06:14:44.216730,Apartment,2.0,2.0,151.0,"Great Tower Street, London EC3",51.5105491,-0.082965
68,1400000,2 bedroom flat for sale,"Moor Lane, Moorgate, London, EC2Y",http://www.rightmove.co.uk/properties/82267581#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Clerkenwell-73120.html,EC2Y,,2.0,2023-06-26 06:14:44.216730,Flat,2.0,2.0,85.0,"Moor Lane, Moorgate",53.5709841,-2.582540622918281
70,1375000,2 bedroom apartment for sale,"133-137 Fetter Lane, London, EC4A",http://www.rightmove.co.uk/properties/132038183#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Lixing/Shoreditch-254453.html,EC4A,,2.0,2023-06-26 06:14:44.216730,Apartment,2.0,2.0,85.0,"133-137 Fetter Lane, London",51.514880700000006,-0.1099320712370192
86,1150000,2 bedroom flat for sale,"Fleet Street, St Pauls, London, EC4A",http://www.rightmove.co.uk/properties/133775138#/?channel=RES_BUY,http://www.rightmove.co.uk/developer/branch/Regal-London-Properties/The-Haydon-257174.html,EC4A,,2.0,2023-06-26 06:14:44.216730,Flat,2.0,2.0,97.0,"Fleet Street, St Pauls",,
87,1150000,2 bedroom flat for sale,"Tudor Street, City, London, EC4Y",http://www.rightmove.co.uk/properties/136388687#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Clerkenwell-73120.html,EC4Y,,2.0,2023-06-26 06:14:44.216730,Flat,2.0,2.0,85.0,"Tudor Street, City",53.3806948,-1.4665673
89,1100000,2 bedroom flat for sale,"West Smithfield, City, London, EC1A",http://www.rightmove.co.uk/properties/124692047#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Frank-Harris-and-Co/City-Barbican-and-Clerkenwell-71134.html,EC1A,,2.0,2023-06-26 06:14:44.216730,Flat,2.0,2.0,84.0,"West Smithfield, City",51.5178275,-0.1021753
93,1060000,2 bedroom flat for sale,"Brooke Street Apartments, London, EC1N",http://www.rightmove.co.uk/properties/127737746#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Circa-London/Shoreditch-77406.html,EC1N,,2.0,2023-06-26 06:14:44.216730,Flat,2.0,2.0,77.0,"Brooke Street Apartments, London",,
98,975000,2 bedroom flat for sale,"Thomas More House II, Barbican, London EC2",http://www.rightmove.co.uk/properties/136382042#/?channel=RES_BUY,,EC2,,2.0,2023-06-26 06:14:44.216730,Flat,2.0,1.0,72.0,"Thomas More House II, Barbican",,
