Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
2,4000000,6 bedroom detached house for sale,"Bishops Walk, Croydon",http://www.rightmove.co.uk/properties/126975434#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Move-Revolution/Covering-SurreySussex-78710.html,,,6.0,2023-06-26 10:02:46.537086,Detached,6.0,6.0,743.0,"Bishops Walk, Croydon",51.3594779,-0.0479424
9,2695000,6 bedroom detached house for sale,"Newton Road, Purley, CR8",http://www.rightmove.co.uk/properties/136037597#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Croydon-130309.html,CR8,,6.0,2023-06-26 10:02:46.537086,Detached,6.0,6.0,523.0,"Newton Road, Purley",51.349736199999995,-0.0996607181572556
10,2250000,5 bedroom detached house for sale,"Shirley Hills Road, Croydon, CR0",http://www.rightmove.co.uk/properties/134975774#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank/Dulwich-141611.html,CR0,,5.0,2023-06-26 10:02:46.537086,Detached,5.0,3.0,248.0,"Shirley Hills Road, Croydon",51.3618929,-0.0534861
13,2000000,5 bedroom detached house for sale,"Crown Lane, SW16",http://www.rightmove.co.uk/properties/132906428#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/haart/Thornton-Heath-11543.html,SW16,,5.0,2023-06-26 10:02:46.537086,Detached,5.0,3.0,413.0,"Crown Lane, SW16",57.1442064,-2.1020012
20,1750000,4 bedroom detached house for sale,"Pollard Hill North,, Norbury, London, SW16",http://www.rightmove.co.uk/properties/135828578#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Truuli/Croydon-195281.html,SW16,,4.0,2023-06-26 10:02:46.537086,Detached,4.0,2.0,249.0,"Pollard Hill North,, Norbury",,
22,1700000,5 bedroom detached house for sale,"Fitzjames Avenue, Croydon, CR0",http://www.rightmove.co.uk/properties/133118081#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hubbard-Torlot/Sanderstead-79639.html,CR0,,5.0,2023-06-26 10:02:46.537086,Detached,5.0,2.0,408.0,"Fitzjames Avenue, Croydon",51.3728662,-0.0698502
29,1600000,5 bedroom detached house for sale,"Fitzjames Avenue, Croydon, CR0",http://www.rightmove.co.uk/properties/132427721#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Croydon-130309.html,CR0,,5.0,2023-06-26 10:02:46.537086,Detached,5.0,4.0,315.0,"Fitzjames Avenue, Croydon",51.3728662,-0.0698502
31,1500000,5 bedroom detached house for sale,"Covington Way, London, SW16",http://www.rightmove.co.uk/properties/136148330#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tyron-Ash-Real-Estate/Mayfair-215642.html,SW16,,5.0,2023-06-26 10:02:46.537086,Detached,5.0,5.0,279.0,"Covington Way, London",51.4153915,-0.1091809
47,1350000,5 bedroom house for sale,"Whitehorse Lane, South Norwood, London, SE25",http://www.rightmove.co.uk/properties/136078031#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Crystal-Palace-100426.html,SE25,,5.0,2023-06-26 10:02:46.537086,House,5.0,2.0,225.0,"Whitehorse Lane, South Norwood",51.399903,-0.0856466
58,1275000,5 bedroom detached house for sale,"Ryecroft Road, London, SW16",http://www.rightmove.co.uk/properties/122899370#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Andrew-Kingsley/Beckenham-7464.html,SW16,,5.0,2023-06-26 10:02:46.537086,Detached,5.0,2.0,211.0,"Ryecroft Road, London",51.4552561,-0.0087448
