Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
6,4000000,5 bedroom detached house for sale,"Mount Park Road, W5",http://www.rightmove.co.uk/properties/134623382#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Moveli/London-191324.html,W5,,5.0,2023-06-26 08:31:54.745263,Detached,5.0,4.0,440.0,"Mount Park Road, W5",51.5181707,-0.3027637
12,3600000,5 bedroom detached house for sale,"Hillcroft Crescent, London",http://www.rightmove.co.uk/properties/133049642#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/London-243935.html,,,5.0,2023-06-26 08:31:54.745263,Detached,5.0,5.0,301.0,"Hillcroft Crescent, London",51.5200578,-0.3005058
15,3250000,6 bedroom semi-detached house for sale,"South Parade, London, W4",http://www.rightmove.co.uk/properties/131822114#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Whitman-and-Co/Chiswick-67487.html,W4,,6.0,2023-06-26 08:31:54.745263,Semi-Detached,6.0,3.0,351.0,"South Parade, London",51.4959371,-0.2628037
20,3000000,6 bedroom detached house for sale,"Culmington Road, London",http://www.rightmove.co.uk/properties/136532069#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/London-243935.html,,,6.0,2023-06-26 08:31:54.745263,Detached,6.0,3.0,339.0,"Culmington Road, London",51.5072142,-0.3117294
21,3000000,8 bedroom detached house for sale,"Montpelier Road, Ealing, London, W5",http://www.rightmove.co.uk/properties/135822467#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Leslie-and-Co/Ealing-247031.html,W5,,8.0,2023-06-26 08:31:54.745263,Detached,8.0,4.0,464.0,"Montpelier Road, Ealing",51.5225773,-0.3046903
22,3000000,7 bedroom detached house for sale,"Wolverton Gardens, Ealing, London, W5",http://www.rightmove.co.uk/properties/135822494#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Leslie-and-Co/Ealing-247031.html,W5,,7.0,2023-06-26 08:31:54.745263,Detached,7.0,5.0,569.0,"Wolverton Gardens, Ealing",51.511631,-0.2888696
28,2800000,8 bedroom end of terrace house for sale,"The Pavement, W5",http://www.rightmove.co.uk/properties/132475025#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Moveli/London-191324.html,W5,,8.0,2023-06-26 08:31:54.745263,End of Terrace,8.0,4.0,243.0,"The Pavement, W5",51.4612137,-0.1392464
29,2800000,8 bedroom end of terrace house for sale,"The Pavement, Popes Lane, Ealing, London, W5",http://www.rightmove.co.uk/properties/127463315#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Rolfe-East/Ealing---New-Homes-25857.html,W5,,8.0,2023-06-26 08:31:54.745263,End of Terrace,8.0,4.0,252.0,"The Pavement, Popes Lane",,
36,2750000,6 bedroom house for sale,"The Mall, London, W5",http://www.rightmove.co.uk/properties/135856529#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Madison-Brook/Chiswick-247046.html,W5,,6.0,2023-06-26 08:31:54.745263,House,6.0,2.0,443.0,"The Mall, London",51.506155,-0.1300842
39,2500000,7 bedroom detached house for sale,"Chatsworth Road, W5",http://www.rightmove.co.uk/properties/132463253#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Moveli/London-191324.html,W5,,7.0,2023-06-26 08:31:54.745263,Detached,7.0,5.0,478.0,"Chatsworth Road, W5",51.5252619,-0.2897996
