Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
0,399995.0,2 bedroom apartment for sale,"Sydney Road, Enfield",http://www.rightmove.co.uk/properties/133278242#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Kirby-Colletti/Hoddesdon-9974.html,,,2.0,2023-06-26 20:47:14.317565,Apartment,2.0,2.0,74.0,"Sydney Road, Enfield",51.6497481,-0.0817929
5,4350000.0,7 bedroom detached house for sale,"Camlet Way, Hadley Wood, EN4",http://www.rightmove.co.uk/properties/134897990#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Xander-Land-and-New-Homes/Hertford-245462.html,EN4,,7.0,2023-06-26 20:47:14.317565,Detached,7.0,6.0,762.0,"Camlet Way, Hadley Wood",51.6659552,-0.1759686
7,4000000.0,8 bedroom detached house for sale,"Broad Walk, Winchmore Hill, N21",http://www.rightmove.co.uk/properties/133935959#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Havilands/London-82874.html,N21,,8.0,2023-06-26 20:47:14.317565,Detached,8.0,4.0,608.0,"Broad Walk, Winchmore Hill",51.6333744,-0.105624
12,3250000.0,6 bedroom detached house for sale,"Camlet Way, Hadley Wood, North London, EN4",http://www.rightmove.co.uk/properties/126914285#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Xander-Land-and-New-Homes/Hertford-245462.html,EN4,,6.0,2023-06-26 20:47:14.317565,Detached,6.0,6.0,504.0,"Camlet Way, Hadley Wood",51.6659552,-0.1759686
19,3000000.0,6 bedroom detached house for sale,"Greenbrook Avenue, Hadley Wood",http://www.rightmove.co.uk/properties/136530467#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keller-Williams-Plus/Covering-South-East-214967.html,,,6.0,2023-06-26 20:47:14.317565,Detached,6.0,5.0,519.0,"Greenbrook Avenue, Hadley Wood",51.6632046,-0.1721652
20,2750000.0,6 bedroom detached house for sale,"Winchmore Hill, London, N21",http://www.rightmove.co.uk/properties/128421833#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/DDREglobal/London-79209.html,N21,,6.0,2023-06-26 20:47:14.317565,Detached,6.0,3.0,469.0,"Winchmore Hill, London",51.6333948,-0.1033617
23,2599995.0,5 bedroom detached house for sale,"Bourne Avenue, Southgate, N14",http://www.rightmove.co.uk/properties/135376220#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Havilands/London-82874.html,N14,,5.0,2023-06-26 20:47:14.317565,Detached,5.0,2.0,338.0,"Bourne Avenue, Southgate",51.6290537,-0.1226055
26,2500000.0,6 bedroom detached house for sale,"Powys Lane, Southgate, N14",http://www.rightmove.co.uk/properties/136190834#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Havilands/London-82874.html,N14,,6.0,2023-06-26 20:47:14.317565,Detached,6.0,4.0,304.0,"Powys Lane, Southgate",51.6195964,-0.1225384
43,1900000.0,6 bedroom detached house for sale,"Cockfosters Road, Barnet",http://www.rightmove.co.uk/properties/134886848#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Sean-Heaney-Estate-Agents/Barnet-16892.html,,,6.0,2023-06-26 20:47:14.317565,Detached,6.0,4.0,280.0,"Cockfosters Road, Barnet",51.6483801,-0.14714891450190076
54,1780000.0,4 bedroom detached house for sale,"Snakes Lane, London, EN4",http://www.rightmove.co.uk/properties/129461186#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Lixing/Shoreditch-254453.html,EN4,,4.0,2023-06-26 20:47:14.317565,Detached,4.0,4.0,189.0,"Snakes Lane, London",51.6518554,-0.1353874
56,1750000.0,6 bedroom detached house for sale,"Wellington Road, Enfield, Greater London",http://www.rightmove.co.uk/properties/130521560#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Halcyon-Estates-Limited/Sawbridgeworth-254678.html,,,6.0,2023-06-26 20:47:14.317565,Detached,6.0,4.0,446.0,"Wellington Road, Enfield",51.6463134,-0.0749888
57,1750000.0,5 bedroom detached house for sale,"The Spinney, Winchmore Hill, N21",http://www.rightmove.co.uk/properties/136165292#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Havilands/London-82874.html,N21,,5.0,2023-06-26 20:47:14.317565,Detached,5.0,4.0,293.0,"The Spinney, Winchmore Hill",51.6373643,-0.1066786
62,1695000.0,4 bedroom semi-detached house for sale,"Woodcroft, Winchmore Hill, N21",http://www.rightmove.co.uk/properties/134228342#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Havilands/London-82874.html,N21,,4.0,2023-06-26 20:47:14.317565,Semi-Detached,4.0,2.0,211.0,"Woodcroft, Winchmore Hill",51.6299577,-0.1076655
64,1650000.0,4 bedroom detached house for sale,"Branscombe Gardens, Winchmore Hill, N21",http://www.rightmove.co.uk/properties/134807513#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Havilands/London-82874.html,N21,,4.0,2023-06-26 20:47:14.317565,Detached,4.0,3.0,278.0,"Branscombe Gardens, Winchmore Hill",51.6347714,-0.1069423
