Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
0,425000.0,1 bedroom apartment for sale,"Hawthorne Crescent, Greenwich, London, SE10 9GR",http://www.rightmove.co.uk/properties/135715292#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Felicity-J-Lord/Greenwich-11480.html,SE10,SE10 9GR,1.0,2023-06-26 10:46:55.776755,Apartment,1.0,1.0,49.0,"Hawthorne Crescent, Greenwich",51.4854629,0.0092621
3,2975000.0,3 bedroom penthouse for sale,"The Penthouse at The Waterman Building, Greenwich Peninsula, London SE10",http://www.rightmove.co.uk/properties/136507379#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Estate-Agency/London-261875.html,SE10,,3.0,2023-06-26 10:46:55.776755,Penthouse,3.0,3.0,224.0,"The Penthouse at The Waterman Building, Greenwich Peninsula",,
14,2250000.0,4 bedroom detached house for sale,"Regent's Place, London, SE3 0LX",http://www.rightmove.co.uk/properties/86199228#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Nestledin-Limited/covering-Beckenham-251198.html,SE3,SE3 0LX,4.0,2023-06-26 10:46:55.776755,Detached,4.0,3.0,238.0,"Regent's Place, London",51.5252039,-0.13992051455956594
17,2000000.0,4 bedroom detached house for sale,"Maze Hill, London, SE3",http://www.rightmove.co.uk/properties/136143242#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tyron-Ash-Real-Estate/Mayfair-215642.html,SE3,,4.0,2023-06-26 10:46:55.776755,Detached,4.0,3.0,202.0,"Maze Hill, London",51.482607,0.0038458
20,2000000.0,Plot for sale,"Highbridge Wharf, London SE10",http://www.rightmove.co.uk/properties/136400879#/?channel=COM_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,SE10,,,2023-06-26 10:46:55.776755,Plot,3.0,4.0,332.0,"Highbridge Wharf, London SE10",,
24,1850000.0,6 bedroom semi-detached house for sale,"Brookway, London, SE3",http://www.rightmove.co.uk/properties/130162013#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Kallars/London-169421.html,SE3,,6.0,2023-06-26 10:46:55.776755,Semi-Detached,6.0,2.0,212.0,"Brookway, London",51.4615601,0.0165158
25,425000.0,3 bedroom semi-detached house for sale,"Lannoy Road, London, SE9",http://www.rightmove.co.uk/properties/136449899#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Cockburn-Estate-Agents/Mottingham--Sales-17465.html,SE9,,3.0,2023-06-26 10:46:55.776755,Semi-Detached,3.0,1.0,85.0,"Lannoy Road, London",51.4396513,0.0724244
45,1350000.0,5 bedroom detached house for sale,"Glenesk Road, Eltham Park SE9 1AG",http://www.rightmove.co.uk/properties/132488018#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bernard-Skinner/Eltham-23597.html,SE9,SE9 1AG,5.0,2023-06-26 10:46:55.776755,Detached,5.0,2.0,212.0,"Glenesk Road, Eltham Park SE9 1AG",51.4526098,0.0663537
48,1275000.0,4 bedroom detached house for sale,"Chaundrye Close, Eltham SE9",http://www.rightmove.co.uk/properties/134097269#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bernard-Skinner/Eltham-23597.html,SE9,,4.0,2023-06-26 10:46:55.776755,Detached,4.0,1.0,160.0,"Chaundrye Close, Eltham SE9",,
50,725000.0,2 bedroom terraced house for sale,"Vanbrugh Hill, Greenwich, London, SE10 9HB",http://www.rightmove.co.uk/properties/135721652#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Felicity-J-Lord/Greenwich-11480.html,SE10,SE10 9HB,2.0,2023-06-26 10:46:55.776755,Terraced,2.0,1.0,85.0,"Vanbrugh Hill, Greenwich",51.4858197,0.0076535
