Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
2,9900000,3 bedroom penthouse for sale,"Worship Street, London, EC2A",http://www.rightmove.co.uk/properties/123489758#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,EC2A,,3.0,2023-06-26 07:38:05.958983,Penthouse,3.0,3.0,265.0,"Worship Street, London",51.522027,-0.0825627
5,9500000,3 bedroom penthouse for sale,"Principal Place, London",http://www.rightmove.co.uk/properties/131343725#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-House-London/Kensington-254588.html,,,3.0,2023-06-26 07:38:05.958983,Penthouse,3.0,3.0,265.0,"Principal Place, London",51.52198,-0.07962422038376604
7,9500000,3 bedroom penthouse for sale,"Principal Tower, Shoreditch, London",http://www.rightmove.co.uk/properties/130554113#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/eXp-UK/London-238265.html,,,3.0,2023-06-26 07:38:05.958983,Penthouse,3.0,4.0,265.0,"Principal Tower, Shoreditch",,
23,3650000,5 bedroom semi-detached house for sale,"Richmond Road, London E8",http://www.rightmove.co.uk/properties/135511118#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,E8,,5.0,2023-06-26 07:38:05.958983,Semi-Detached,5.0,4.0,240.0,"Richmond Road, London E8",51.5428478,-0.0750278
26,3365000,2 bedroom penthouse for sale,"Principal Place, London",http://www.rightmove.co.uk/properties/131343752#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-House-London/Kensington-254588.html,,,2.0,2023-06-26 07:38:05.958983,Penthouse,2.0,2.0,127.0,"Principal Place, London",51.52198,-0.07962422038376604
33,3275000,3 bedroom apartment for sale,City Road,http://www.rightmove.co.uk/properties/132098048#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,,,3.0,2023-06-26 07:38:05.958983,Apartment,3.0,2.0,170.0,City Road,51.5296972,-0.0977626
40,3200000,3 bedroom flat for sale,"Principal Place, EC2A",http://www.rightmove.co.uk/properties/85354827#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Douglas-and-Gordon-New-Homes/London-245732.html,EC2A,,3.0,2023-06-26 07:38:05.958983,Flat,3.0,3.0,136.0,"Principal Place, EC2A",,
49,3180000,3 bedroom apartment for sale,"Worship Street, London, EC2A",http://www.rightmove.co.uk/properties/123489938#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,EC2A,,3.0,2023-06-26 07:38:05.958983,Apartment,3.0,1.0,136.0,"Worship Street, London",51.522027,-0.0825627
53,3180000,3 bedroom flat for sale,"Principal Place, EC2A",http://www.rightmove.co.uk/properties/85354824#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Douglas-and-Gordon-New-Homes/London-245732.html,EC2A,,3.0,2023-06-26 07:38:05.958983,Flat,3.0,3.0,135.0,"Principal Place, EC2A",,
58,3155000,3 bedroom apartment for sale,"Principal Place, London",http://www.rightmove.co.uk/properties/131343812#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-House-London/Kensington-254588.html,,,3.0,2023-06-26 07:38:05.958983,Apartment,3.0,3.0,136.0,"Principal Place, London",51.52198,-0.07962422038376604
61,3089000,3 bedroom apartment for sale,"Worship Street, London, EC2A",http://www.rightmove.co.uk/properties/123489935#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,EC2A,,3.0,2023-06-26 07:38:05.958983,Apartment,3.0,1.0,136.0,"Worship Street, London",51.522027,-0.0825627
65,3000000,2 bedroom penthouse for sale,"Principal Tower, Shoreditch, London",http://www.rightmove.co.uk/properties/130554257#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/eXp-UK/London-238265.html,,,2.0,2023-06-26 07:38:05.958983,Penthouse,2.0,3.0,127.0,"Principal Tower, Shoreditch",,
70,2989000,3 bedroom flat for sale,"Worship Street, London, EC2A",http://www.rightmove.co.uk/properties/123489791#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,EC2A,,3.0,2023-06-26 07:38:05.958983,Flat,3.0,2.0,136.0,"Worship Street, London",51.522027,-0.0825627
82,2750000,5 bedroom end of terrace house for sale,"Cassland Road, Victoria Park, London, E9",http://www.rightmove.co.uk/properties/134747972#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Hackney-101522.html,E9,,5.0,2023-06-26 07:38:05.958983,End of Terrace,5.0,3.0,236.0,"Cassland Road, Victoria Park",51.5428759,-0.0440079
84,2600000,5 bedroom semi-detached house for sale,"Chatsworth Road, Clapton, London, E5",http://www.rightmove.co.uk/properties/136147127#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Hackney-101522.html,E5,,5.0,2023-06-26 07:38:05.958983,Semi-Detached,5.0,3.0,200.0,"Chatsworth Road, Clapton",51.5590566,-0.0473195
86,2550000,3 bedroom apartment for sale,"Principal Place, London",http://www.rightmove.co.uk/properties/131343773#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-House-London/Kensington-254588.html,,,3.0,2023-06-26 07:38:05.958983,Apartment,3.0,3.0,107.0,"Principal Place, London",51.52198,-0.07962422038376604
87,2500000,3 bedroom end of terrace house for sale,"Lauriston Road, London E9",http://www.rightmove.co.uk/properties/133512290#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Inigo/London-233495.html,E9,,3.0,2023-06-26 07:38:05.958983,End of Terrace,3.0,2.0,201.0,"Lauriston Road, London E9",51.5371667,-0.0445789
88,2500000,3 bedroom apartment for sale,"Principal Tower, Shoreditch, London",http://www.rightmove.co.uk/properties/130554302#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/eXp-UK/London-238265.html,,,3.0,2023-06-26 07:38:05.958983,Apartment,3.0,3.0,107.0,"Principal Tower, Shoreditch",,
91,2469000,3 bedroom apartment for sale,"Worship Street, London, EC2A",http://www.rightmove.co.uk/properties/123489971#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,EC2A,,3.0,2023-06-26 07:38:05.958983,Apartment,3.0,1.0,107.0,"Worship Street, London",51.522027,-0.0825627
98,2350000,5 bedroom end of terrace house for sale,"Denmark Villas, Shore Road, London Fields, E9",http://www.rightmove.co.uk/properties/136146260#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fyfe-McDade-Limited/Shoreditch-53027.html,E9,,5.0,2023-06-26 07:38:05.958983,End of Terrace,5.0,3.0,204.0,"Denmark Villas, Shore Road",,
100,1100000,2 bedroom end of terrace house for sale,"Richmond Road II, London E8",http://www.rightmove.co.uk/properties/134629220#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,E8,,2.0,2023-06-26 07:38:05.958983,End of Terrace,2.0,1.0,83.0,"Richmond Road II, London E8",,
101,2250000,3 bedroom end of terrace house for sale,"Middleton Road, London E8",http://www.rightmove.co.uk/properties/128603108#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Inigo/London-233495.html,E8,,3.0,2023-06-26 07:38:05.958983,End of Terrace,3.0,2.0,146.0,"Middleton Road, London E8",51.5402951,-0.0636572
107,2000000,4 bedroom end of terrace house for sale,"Rushmore Road, London",http://www.rightmove.co.uk/properties/135990977#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Love-Living/Hackney-253007.html,,,4.0,2023-06-26 07:38:05.958983,End of Terrace,4.0,2.0,224.0,"Rushmore Road, London",51.5542017,-0.047174
114,1995000,2 bedroom flat for sale,"Shoreditch High Street II, London E2",http://www.rightmove.co.uk/properties/124563917#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,E2,,2.0,2023-06-26 07:38:05.958983,Flat,2.0,1.0,228.0,"Shoreditch High Street II, London E2",,
117,1950000,5 bedroom house for sale,"Ainsworth Road, London",http://www.rightmove.co.uk/properties/136070858#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Love-Living/Hackney-253007.html,,,5.0,2023-06-26 07:38:05.958983,House,5.0,2.0,231.0,"Ainsworth Road, London",51.5397153,-0.050745
121,1889000,2 bedroom apartment for sale,"Worship Street, London, EC2A",http://www.rightmove.co.uk/properties/123489983#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,EC2A,,2.0,2023-06-26 07:38:05.958983,Apartment,2.0,2.0,83.0,"Worship Street, London",51.522027,-0.0825627
132,1839000,2 bedroom apartment for sale,"Worship Street, London, EC2A",http://www.rightmove.co.uk/properties/123489830#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,EC2A,,2.0,2023-06-26 07:38:05.958983,Apartment,2.0,2.0,82.0,"Worship Street, London",51.522027,-0.0825627
139,1800000,2 bedroom apartment for sale,"Principal Place, London",http://www.rightmove.co.uk/properties/131343830#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-House-London/Kensington-254588.html,,,2.0,2023-06-26 07:38:05.958983,Apartment,2.0,2.0,73.0,"Principal Place, London",51.52198,-0.07962422038376604
141,1800000,4 bedroom terraced house for sale,"Aden Grove IV, London, N16",http://www.rightmove.co.uk/properties/136386107#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,N16,,4.0,2023-06-26 07:38:05.958983,Terraced,4.0,1.0,159.0,"Aden Grove IV, London",51.554111,-0.0868148
144,1800000,2 bedroom mews house for sale,"Trafalgar Mews, London E9",http://www.rightmove.co.uk/properties/135769862#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,E9,,2.0,2023-06-26 07:38:05.958983,Mews,2.0,1.0,288.0,"Trafalgar Mews, London E9",51.5466345,-0.0309272
145,1800000,2 bedroom maisonette for sale,"Great Eastern Street III, London EC2",http://www.rightmove.co.uk/properties/132123656#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,EC2,,2.0,2023-06-26 07:38:05.958983,Maisonette,2.0,2.0,168.0,"Great Eastern Street III, London EC2",,
148,1750000,2 bedroom apartment for sale,"Worship Street, London, EC2A",http://www.rightmove.co.uk/properties/123489947#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,EC2A,,2.0,2023-06-26 07:38:05.958983,Apartment,2.0,2.0,79.0,"Worship Street, London",51.522027,-0.0825627
153,1750000,4 bedroom end of terrace house for sale,"Terrace Road, London, E9",http://www.rightmove.co.uk/properties/128911472#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Stoke-Newington-1430.html,E9,,4.0,2023-06-26 07:38:05.958983,End of Terrace,4.0,2.0,148.0,"Terrace Road, London",51.5419382,-0.0474771
155,1750000,5 bedroom end of terrace house for sale,"Harcombe Road, London",http://www.rightmove.co.uk/properties/134804513#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Next-Move/Stoke-Newington-44786.html,,,5.0,2023-06-26 07:38:05.958983,End of Terrace,5.0,2.0,186.0,"Harcombe Road, London",51.5587553,-0.0801832
156,1749000,2 bedroom flat for sale,"2 Principal Place, Worship Street, London",http://www.rightmove.co.uk/properties/63232111#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Sandra-Davidson-Estate-Agents/Redbridge-13342.html,,,2.0,2023-06-26 07:38:05.958983,Flat,2.0,2.0,769.0,"2 Principal Place, Worship Street",,
163,1657000,2 bedroom flat for sale,"2 Principal Place, Worship Street, London",http://www.rightmove.co.uk/properties/63232234#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Sandra-Davidson-Estate-Agents/Redbridge-13342.html,,,2.0,2023-06-26 07:38:05.958983,Flat,2.0,2.0,932.0,"2 Principal Place, Worship Street",,
166,1650000,4 bedroom end of terrace house for sale,"Southborough Road, London",http://www.rightmove.co.uk/properties/135567884#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Sovereign-House-Estates/Victoria-Park-8275.html,,,4.0,2023-06-26 07:38:05.958983,End of Terrace,4.0,2.0,139.0,"Southborough Road, London",51.3934565,0.0451178
171,1600000,5 bedroom terraced house for sale,"Sandringham Road, London",http://www.rightmove.co.uk/properties/134303705#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Blake-and-Co-Estate-Agents/London-258026.html,,,5.0,2023-06-26 07:38:05.958983,Terraced,5.0,2.0,193.0,"Sandringham Road, London",51.5499692,-0.0663328
177,1597000,2 bedroom flat for sale,"2 Principal Place, Worship Street, London",http://www.rightmove.co.uk/properties/63232498#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Sandra-Davidson-Estate-Agents/Redbridge-13342.html,,,2.0,2023-06-26 07:38:05.958983,Flat,2.0,2.0,876.0,"2 Principal Place, Worship Street",,
179,1575000,2 bedroom flat for sale,"Underwood Street, Islington, London, N1",http://www.rightmove.co.uk/properties/127244666#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Islington-15954.html,N1,,2.0,2023-06-26 07:38:05.958983,Flat,2.0,1.0,146.0,"Underwood Street, Islington",,
188,1523000,2 bedroom apartment for sale,"Worship Street, London, EC2A",http://www.rightmove.co.uk/properties/123489824#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,EC2A,,2.0,2023-06-26 07:38:05.958983,Apartment,2.0,2.0,73.0,"Worship Street, London",51.522027,-0.0825627
194,1500000,5 bedroom terraced house for sale,"Foulden Road, London",http://www.rightmove.co.uk/properties/135429692#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Next-Move/Stoke-Newington-44786.html,,,5.0,2023-06-26 07:38:05.958983,Terraced,5.0,5.0,223.0,"Foulden Road, London",51.5553996,-0.0712426
198,1500000,2 bedroom flat for sale,"Ravey Street, Shoreditch, London, EC2A",http://www.rightmove.co.uk/properties/136435709#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Shoreditch-16050.html,EC2A,,2.0,2023-06-26 07:38:05.958983,Flat,2.0,2.0,129.0,"Ravey Street, Shoreditch",51.5243404,-0.0820513
222,1471000,2 bedroom apartment for sale,"Principal Tower, 2 Principal Place, Worship Street, London",http://www.rightmove.co.uk/properties/121667423#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Districts-London/Canary-Wharf-245744.html,,,2.0,2023-06-26 07:38:05.958983,Apartment,2.0,2.0,81.0,"Principal Tower, 2 Principal Place",,
227,1450000,1 bedroom flat for sale,"Underwood Street, London N1",http://www.rightmove.co.uk/properties/132421790#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,N1,,1.0,2023-06-26 07:38:05.958983,Flat,1.0,1.0,127.0,"Underwood Street, London N1",51.5301464,-0.0914264
235,1439000,2 bedroom flat for sale,"2 Principal Place, Worship Street, London",http://www.rightmove.co.uk/properties/63232162#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Sandra-Davidson-Estate-Agents/Redbridge-13342.html,,,2.0,2023-06-26 07:38:05.958983,Flat,2.0,2.0,766.0,"2 Principal Place, Worship Street",,
241,1413000,2 bedroom apartment for sale,"Principal Tower, 2 Principal Place, Worship Street, London",http://www.rightmove.co.uk/properties/121667426#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Districts-London/Canary-Wharf-245744.html,,,2.0,2023-06-26 07:38:05.958983,Apartment,2.0,2.0,71.0,"Principal Tower, 2 Principal Place",,
247,1400000,2 bedroom flat for sale,"Principle Tower, Worship Street, EC2A",http://www.rightmove.co.uk/properties/131824235#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Henry-Wiltshire/Hayes-177131.html,EC2A,,2.0,2023-06-26 07:38:05.958983,Flat,2.0,2.0,83.0,"Principle Tower, Worship Street",,
250,1650000,4 bedroom end of terrace house for sale,"Southborough Road, London",http://www.rightmove.co.uk/properties/135567884#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Sovereign-House-Estates/Victoria-Park-8275.html,,,4.0,2023-06-26 07:38:05.958983,End of Terrace,4.0,2.0,139.0,"Southborough Road, London",51.3934565,0.0451178
252,1399000,2 bedroom apartment for sale,"Worship Street, London, EC2A",http://www.rightmove.co.uk/properties/123489932#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,EC2A,,2.0,2023-06-26 07:38:05.958983,Apartment,2.0,2.0,83.0,"Worship Street, London",51.522027,-0.0825627
253,1399000,2 bedroom apartment for sale,"Principal Tower, 2 Principal Place, Worship Street, London",http://www.rightmove.co.uk/properties/121667435#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Districts-London/Canary-Wharf-245744.html,,,2.0,2023-06-26 07:38:05.958983,Apartment,2.0,2.0,88.0,"Principal Tower, 2 Principal Place",,
260,1375000,2 bedroom apartment for sale,"Worship Street, London, EC2A",http://www.rightmove.co.uk/properties/136198595#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Celestial-Globe/Westminster-237452.html,EC2A,,2.0,2023-06-26 07:38:05.958983,Apartment,2.0,2.0,82.0,"Worship Street, London",51.522027,-0.0825627
261,1375000,6 bedroom maisonette for sale,"Dunsmure Road, London, N16",http://www.rightmove.co.uk/properties/136465058#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Stoke-Newington-1430.html,N16,,6.0,2023-06-26 07:38:05.958983,Maisonette,6.0,2.0,202.0,"Dunsmure Road, London",51.570406,-0.0742913
263,1350000,4 bedroom maisonette for sale,"Colvestone Crescent, London E8",http://www.rightmove.co.uk/properties/135491411#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Inigo/London-233495.html,E8,,4.0,2023-06-26 07:38:05.958983,Maisonette,4.0,2.0,170.0,"Colvestone Crescent, London E8",51.5489381,-0.0727703
271,1349000,2 bedroom flat for sale,"2 Principal Place, Worship Street, London",http://www.rightmove.co.uk/properties/63232588#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Sandra-Davidson-Estate-Agents/Redbridge-13342.html,,,2.0,2023-06-26 07:38:05.958983,Flat,2.0,2.0,764.0,"2 Principal Place, Worship Street",,
273,1300000,3 bedroom terraced house for sale,"Carysfort Road, London, N16",http://www.rightmove.co.uk/properties/134165123#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hendon-Estates/London-170990.html,N16,,3.0,2023-06-26 07:38:05.958983,Terraced,3.0,3.0,135.0,"Carysfort Road, London",51.55719,-0.0867351
