Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
0,700000,1 bedroom flat for sale,"Bolander Grove, Earls Court, London, SW6",http://www.rightmove.co.uk/properties/135515075#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Earls-Court-108515.html,SW6,,1.0,2023-06-26 06:30:51.478297,Flat,1.0,1.0,50.0,"Bolander Grove, Earls Court",,
13,6500000,5 bedroom apartment for sale,"Chelsea Creek Tower, Chelsea Creek, SW6",http://www.rightmove.co.uk/properties/133352759#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Maskells-Estate-Agents-Ltd/London-96406.html,SW6,,5.0,2023-06-26 06:30:51.478297,Apartment,5.0,4.0,334.0,"Chelsea Creek Tower, Chelsea Creek",51.47589695,-0.18421821622073603
14,6500000,5 bedroom penthouse for sale,"Chelsea Harbour, London, SW10",http://www.rightmove.co.uk/properties/83288769#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Agency-Group/London-79431.html,SW10,,5.0,2023-06-26 06:30:51.478297,Penthouse,5.0,4.0,373.0,"Chelsea Harbour, London",51.47536985,-0.18104674292671608
18,5500000,5 bedroom house for sale,"Broughton Road, Fulham, SW6",http://www.rightmove.co.uk/properties/136375016#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Domus-Nova/West-London-254843.html,SW6,,5.0,2023-06-26 06:30:51.478297,House,5.0,5.0,390.0,"Broughton Road, Fulham",51.4716444,-0.1887463
19,5500000,5 bedroom terraced house for sale,"Ellerby Street, 
Bishops Park, SW6",http://www.rightmove.co.uk/properties/134759657#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Fulham---Munster-Road-79415.html,SW6,,5.0,2023-06-26 06:30:51.478297,Terraced,5.0,5.0,337.0,"Ellerby Street, 
Bishops Park",,
22,5200000,3 bedroom penthouse for sale,"The Imperial, Chelsea Creek, Fulham, London, SW6",http://www.rightmove.co.uk/properties/135144590#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Garton-Jones/Chelsea-and-Belgravia-161456.html,SW6,,3.0,2023-06-26 06:30:51.478297,Penthouse,3.0,3.0,205.0,"The Imperial, Chelsea Creek",,
31,4650000,6 bedroom semi-detached house for sale,"Stevenage Road, Fulham, London",http://www.rightmove.co.uk/properties/132059888#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/London-243935.html,,,6.0,2023-06-26 06:30:51.478297,Semi-Detached,6.0,3.0,358.0,"Stevenage Road, Fulham",51.4733195,-0.2191355
33,4499950,3 bedroom penthouse for sale,"Lockside House, 
3 Thurstan Street, SW6",http://www.rightmove.co.uk/properties/133847222#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Fulham-Parsons-Green-48856.html,SW6,,3.0,2023-06-26 06:30:51.478297,Penthouse,3.0,3.0,257.0,"Lockside House, 
3 Thurstan Street",,
34,4400000,4 bedroom house for sale,"Rainsborough Square, Fulham, London, SW6",http://www.rightmove.co.uk/properties/132641207#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Fulham-Broadway-15948.html,SW6,,4.0,2023-06-26 06:30:51.478297,House,4.0,5.0,267.0,"Rainsborough Square, Fulham",51.4828859,-0.19781424057746258
46,3950000,4 bedroom terraced house for sale,"Ravenscourt Road, Ravenscourt Park, London, W6",http://www.rightmove.co.uk/properties/132300527#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Chiswick-15951.html,W6,,4.0,2023-06-26 06:30:51.478297,Terraced,4.0,3.0,219.0,"Ravenscourt Road, Ravenscourt Park",51.49400225,-0.23611348766846374
51,3850000,4 bedroom semi-detached house for sale,"Fulham Road, Parsons Green, London, SW6",http://www.rightmove.co.uk/properties/136204187#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Fulham-Broadway-15948.html,SW6,,4.0,2023-06-26 06:30:51.478297,Semi-Detached,4.0,4.0,301.0,"Fulham Road, Parsons Green",51.4728172,-0.1997794
52,3850000,3 bedroom semi-detached house for sale,"Fulham Road, London",http://www.rightmove.co.uk/properties/132761081#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/London-243935.html,,,3.0,2023-06-26 06:30:51.478297,Semi-Detached,3.0,3.0,308.0,"Fulham Road, London",51.4831069,-0.1857834
59,3750000,5 bedroom detached house for sale,"Rivercourt Road, Hammersmith, W6",http://www.rightmove.co.uk/properties/135064118#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/RiverHomes/West-London-12655.html,W6,,5.0,2023-06-26 06:30:51.478297,Detached,5.0,4.0,213.0,"Rivercourt Road, Hammersmith",51.4914237,-0.2362816
63,3650000,5 bedroom terraced house for sale,"Delvino Road, 
Parsons Green, SW6",http://www.rightmove.co.uk/properties/135013088#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Fulham---Munster-Road-79415.html,SW6,,5.0,2023-06-26 06:30:51.478297,Terraced,5.0,4.0,288.0,"Delvino Road, 
Parsons Green",,
67,3600000,4 bedroom semi-detached house for sale,"Hurlingham Gardens, Hurlingham, Fulham, SW6",http://www.rightmove.co.uk/properties/123460187#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tom-de-Winton-Property-Consultancy/Fulham-240023.html,SW6,,4.0,2023-06-26 06:30:51.478297,Semi-Detached,4.0,4.0,264.0,"Hurlingham Gardens, Hurlingham",51.4681684,-0.2066467
69,3500000,3 bedroom town house for sale,"Rainville Road, London, W6",http://www.rightmove.co.uk/properties/128855579#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Residential-Land-Ltd/London---Sales-177284.html,W6,,3.0,2023-06-26 06:30:51.478297,Town House,3.0,3.0,174.0,"Rainville Road, London",51.4840051,-0.224074
70,3500000,4 bedroom terraced house for sale,"Hammersmith Grove, London W6",http://www.rightmove.co.uk/properties/136058408#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Finlay-Brewer/London-W6-74431.html,W6,,4.0,2023-06-26 06:30:51.478297,Terraced,4.0,3.0,244.0,"Hammersmith Grove, London W6",51.5001854,-0.2281931
72,3495000,5 bedroom town house for sale,"Stevenage Road , Fulham, London, SW6",http://www.rightmove.co.uk/properties/134209514#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Lawson-Rutter/West-Kensington-55611.html,SW6,,5.0,2023-06-26 06:30:51.478297,Town House,5.0,4.0,310.0,"Stevenage Road , Fulham",51.4733195,-0.2191355
80,3350000,5 bedroom terraced house for sale,"Melrose Gardens, London W6",http://www.rightmove.co.uk/properties/134840063#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Finlay-Brewer/London-W6-74431.html,W6,,5.0,2023-06-26 06:30:51.478297,Terraced,5.0,3.0,291.0,"Melrose Gardens, London W6",51.5000304,-0.2246171
84,3300000,5 bedroom terraced house for sale,"Irene Road, London",http://www.rightmove.co.uk/properties/134042687#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Brik/London-66704.html,,,5.0,2023-06-26 06:30:51.478297,Terraced,5.0,5.0,274.0,"Irene Road, London",51.4744854,-0.197542
93,3250000,4 bedroom apartment for sale,"Carlyle Court, Chelsea Harbour, London, SW10",http://www.rightmove.co.uk/properties/135271262#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Russell-Simpson/Chelsea-46451.html,SW10,,4.0,2023-06-26 06:30:51.478297,Apartment,4.0,3.0,231.0,"Carlyle Court, Chelsea Harbour",51.4761908,-0.18164779857530516
96,3200000,4 bedroom terraced house for sale,"Studdridge Street, London",http://www.rightmove.co.uk/properties/136259024#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/London-243935.html,,,4.0,2023-06-26 06:30:51.478297,Terraced,4.0,3.0,207.0,"Studdridge Street, London",51.4719499,-0.1949689
97,3200000,5 bedroom house for sale,"Clancarty Road, South Park, Fulham, SW6",http://www.rightmove.co.uk/properties/134573459#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tom-de-Winton-Property-Consultancy/Fulham-240023.html,SW6,,5.0,2023-06-26 06:30:51.478297,House,5.0,4.0,261.0,"Clancarty Road, South Park",,
101,3150000,7 bedroom terraced house for sale,"Chesilton Road, SW6",http://www.rightmove.co.uk/properties/131525690#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Douglas-and-Gordon/Fulham-34286.html,SW6,,7.0,2023-06-26 06:30:51.478297,Terraced,7.0,4.0,282.0,"Chesilton Road, SW6",51.4762493,-0.2061388
102,3100000,4 bedroom terraced house for sale,"Admiral Square, 
Chelsea Harbour, SW10",http://www.rightmove.co.uk/properties/135297905#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/South-Kensington-51955.html,SW10,,4.0,2023-06-26 06:30:51.478297,Terraced,4.0,3.0,255.0,"Admiral Square, 
Chelsea Harbour",51.4762334,-0.1801079
103,3100000,3 bedroom penthouse for sale,"Monarch Point, 
Imperial Wharf, SW6",http://www.rightmove.co.uk/properties/135528818#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Fulham-Road-31572.html,SW6,,3.0,2023-06-26 06:30:51.478297,Penthouse,3.0,3.0,282.0,"Monarch Point, 
Imperial Wharf",51.472477600000005,-0.18281654422217114
107,3000000,5 bedroom house for sale,"Ashcombe Street, South Park, Fulham, SW6",http://www.rightmove.co.uk/properties/135212090#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tom-de-Winton-Property-Consultancy/Fulham-240023.html,SW6,,5.0,2023-06-26 06:30:51.478297,House,5.0,4.0,238.0,"Ashcombe Street, South Park",,
115,3000000,5 bedroom end of terrace house for sale,"Hestercombe Avenue, 
Fulham, SW6",http://www.rightmove.co.uk/properties/135528806#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Fulham-Road-31572.html,SW6,,5.0,2023-06-26 06:30:51.478297,End of Terrace,5.0,3.0,194.0,"Hestercombe Avenue, 
Fulham",51.4739661,-0.2094379
122,2900000,12 bedroom apartment for sale,Fairholme Road,http://www.rightmove.co.uk/properties/132625622#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Sherwoods-International-Properties-Limited/Kensington-253421.html,,,12.0,2023-06-26 06:30:51.478297,Apartment,12.0,12.0,204.0,Fairholme Road,51.5727931,0.0625033
129,2850000,6 bedroom semi-detached house for sale,"Fulham Park Gardens, London",http://www.rightmove.co.uk/properties/133478672#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Brik/London-66704.html,,,6.0,2023-06-26 06:30:51.478297,Semi-Detached,6.0,4.0,251.0,"Fulham Park Gardens, London",51.4716682,-0.2073554
131,2850000,3 bedroom apartment for sale,"The Belvedere, Chelsea Harbour",http://www.rightmove.co.uk/properties/135319991#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Martin-and-Co/Chelsea-39872.html,,,3.0,2023-06-26 06:30:51.478297,Apartment,3.0,3.0,194.0,"The Belvedere, Chelsea Harbour",51.47477275,-0.18069935227272726
140,2750000,6 bedroom end of terrace house for sale,"Peterborough Road, London",http://www.rightmove.co.uk/properties/136312781#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Brik/London-66704.html,,,6.0,2023-06-26 06:30:51.478297,End of Terrace,6.0,4.0,237.0,"Peterborough Road, London",51.5760832,0.000889
145,2700000,4 bedroom terraced house for sale,"Godolphin Road, London, W12",http://www.rightmove.co.uk/properties/135774524#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Domus-Nova/West-London-254843.html,W12,,4.0,2023-06-26 06:30:51.478297,Terraced,4.0,3.0,255.0,"Godolphin Road, London",51.5029114,-0.2323538
148,2700000,3 bedroom terraced house for sale,"Rainsborough Square, Fulham, London, SW6",http://www.rightmove.co.uk/properties/135635444#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Fulham-Broadway-15948.html,SW6,,3.0,2023-06-26 06:30:51.478297,Terraced,3.0,3.0,167.0,"Rainsborough Square, Fulham",51.4828859,-0.19781424057746258
149,2700000,6 bedroom semi-detached house for sale,"Whittingstall Road, London, SW6",http://www.rightmove.co.uk/properties/135892058#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Breteuil/Fulham-183611.html,SW6,,6.0,2023-06-26 06:30:51.478297,Semi-Detached,6.0,4.0,261.0,"Whittingstall Road, London",51.4749056,-0.2034381
150,750000,1 bedroom flat for sale,"Elsham Road, London W14",http://www.rightmove.co.uk/properties/135617537#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Inigo/London-233495.html,W14,,1.0,2023-06-26 06:30:51.478297,Flat,1.0,2.0,65.0,"Elsham Road, London W14",51.5001478,-0.2114315
155,2650000,6 bedroom terraced house for sale,"Barclay Road, Fulham, SW6",http://www.rightmove.co.uk/properties/125328371#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Agency-Group/London-79431.html,SW6,,6.0,2023-06-26 06:30:51.478297,Terraced,6.0,3.0,230.0,"Barclay Road, Fulham",51.4791604,-0.1972132
158,2600000,5 bedroom house for sale,"Hestercombe Avenue, Fulham, SW6",http://www.rightmove.co.uk/properties/135239255#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tom-de-Winton-Property-Consultancy/Fulham-240023.html,SW6,,5.0,2023-06-26 06:30:51.478297,House,5.0,2.0,211.0,"Hestercombe Avenue, Fulham",51.4739661,-0.2094379
