Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
1,19500000,6 bedroom detached house for sale,"Guildens, Courtenay Avenue, N6",http://www.rightmove.co.uk/properties/84082359#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Glentree-Estates-Ltd/London-190037.html,N6,,6.0,2023-06-26 20:07:56.233654,Detached,6.0,3.0,916.0,"Guildens, Courtenay Avenue",51.57495715,-0.16784500000000013
2,9500000,6 bedroom detached house for sale,"West Lodge, Compton Avenue, N6",http://www.rightmove.co.uk/properties/132537128#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Glentree-Estates-Ltd/London-190037.html,N6,,6.0,2023-06-26 20:07:56.233654,Detached,6.0,6.0,641.0,"West Lodge, Compton Avenue",51.57450685,-0.16498141950804499
3,8000000,6 bedroom detached house for sale,"The Bishops Avenue, East Finchley N2",http://www.rightmove.co.uk/properties/132536531#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tavistock-Bow/London-110768.html,N2,,6.0,2023-06-26 20:07:56.233654,Detached,6.0,6.0,610.0,"The Bishops Avenue, East Finchley N2",51.5852971,-0.1657483
4,6950000,6 bedroom detached house for sale,"STORMONT ROAD, KENWOOD, N6",http://www.rightmove.co.uk/properties/134875199#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Marcus-Parfitt-Residential-Sales/London-195101.html,N6,,6.0,2023-06-26 20:07:56.233654,Detached,6.0,4.0,451.0,"STORMONT ROAD, KENWOOD",,
10,4250000,5 bedroom detached house for sale,"Sheldon Avenue, Highgate, N6",http://www.rightmove.co.uk/properties/136086089#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/St-Johns-Wood-79914.html,N6,,5.0,2023-06-26 20:07:56.233654,Detached,5.0,2.0,246.0,"Sheldon Avenue, Highgate",51.5761608,-0.1610388
14,3950000,6 bedroom semi-detached house for sale,"Bloomfield Road, Highgate, N6",http://www.rightmove.co.uk/properties/135085043#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Taylor-Gibbs/Highgate-66943.html,N6,,6.0,2023-06-26 20:07:56.233654,Semi-Detached,6.0,3.0,411.0,"Bloomfield Road, Highgate",51.577575,-0.1486583
16,3500000,2 bedroom flat for sale,"Hampstead Lane, Highgate, N6",http://www.rightmove.co.uk/properties/86219733#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/TK-International/Hampstead-66289.html,N6,,2.0,2023-06-26 20:07:56.233654,Flat,2.0,2.0,165.0,"Hampstead Lane, Highgate",51.5718412,-0.1536292
20,3000000,7 bedroom house for sale,"Aylmer Road, London, N2",http://www.rightmove.co.uk/properties/136345169#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Geoffrey-Matthew-Estates/Stevenage-16025.html,N2,,7.0,2023-06-26 20:07:56.233654,House,7.0,5.0,447.0,"Aylmer Road, London",51.5817249,-0.1575749
28,2700000,9 bedroom house for sale,"Aylmer Road, Hampstead Garden Suburb, London, N2",http://www.rightmove.co.uk/properties/135531881#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Hampstead-15957.html,N2,,9.0,2023-06-26 20:07:56.233654,House,9.0,2.0,390.0,"Aylmer Road, Hampstead Garden Suburb",51.5835941,-0.1672672
33,2650000,4 bedroom house for sale,"Causton Road, Highgate, London, N6",http://www.rightmove.co.uk/properties/135945770#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Day-Morris/Highgate-189107.html,N6,,4.0,2023-06-26 20:07:56.233654,House,4.0,3.0,266.0,"Causton Road, Highgate",51.5733256,-0.142303
35,2550000,4 bedroom house for sale,"Parklands, Cholmeley Park, Highgate, London N6",http://www.rightmove.co.uk/properties/131314145#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Day-Morris/Highgate-189107.html,N6,,4.0,2023-06-26 20:07:56.233654,House,4.0,3.0,249.0,"Parklands, Cholmeley Park",,
45,2499900,5 bedroom detached house for sale,"Vallance Road, Alexandra Palace",http://www.rightmove.co.uk/properties/136469357#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Stonebridge-and-Co/Highgate-181745.html,,,5.0,2023-06-26 20:07:56.233654,Detached,5.0,3.0,325.0,"Vallance Road, Alexandra Palace",,
