Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
0,2600000,5 bedroom detached house for sale,"Park Drive, Harrow Weald, Harrow HA3",http://www.rightmove.co.uk/properties/131667527#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Move-Inn-Estates/Heston-113317.html,HA3,,5.0,2023-06-26 21:15:13.802228,Detached,5.0,4.0,317.0,"Park Drive, Harrow Weald",51.6113944,-0.3402705
5,4395000,7 bedroom detached house for sale,"Mount Park Road, Harrow, Middlesex, HA1",http://www.rightmove.co.uk/properties/134490182#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Empire-Chase-Estate-Agent/Harrow-128062.html,HA1,,7.0,2023-06-26 21:15:13.802228,Detached,7.0,5.0,549.0,"Mount Park Road, Harrow",51.5646023,-0.3441782
11,3000000,6 bedroom detached house for sale,"Canons Drive Edgware, Middlesex, HA8",http://www.rightmove.co.uk/properties/131862401#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tyron-Ash-Real-Estate/Mayfair-215642.html,HA8,,6.0,2023-06-26 21:15:13.802228,Detached,6.0,5.0,543.0,"Canons Drive Edgware, Middlesex",,
18,2600000,5 bedroom detached house for sale,"Park Drive, Harrow Weald, Harrow HA3",http://www.rightmove.co.uk/properties/131667527#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Move-Inn-Estates/Heston-113317.html,HA3,,5.0,2023-06-26 21:15:13.802228,Detached,5.0,4.0,317.0,"Park Drive, Harrow Weald",51.6113944,-0.3402705
19,2550000,5 bedroom detached house for sale,"Stanmore Hill, Stanmore, Middlesex, HA7",http://www.rightmove.co.uk/properties/130973141#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Benjamin-Stevens/Bushey-92087.html,HA7,,5.0,2023-06-26 21:15:13.802228,Detached,5.0,5.0,465.0,"Stanmore Hill, Stanmore",51.6248195,-0.3213596
21,2500000,6 bedroom bungalow for sale,"Aylmer Close, Stanmore, HA7",http://www.rightmove.co.uk/properties/136133723#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Stanmore-250739.html,HA7,,6.0,2023-06-26 21:15:13.802228,Bungalow,6.0,3.0,331.0,"Aylmer Close, Stanmore",51.623317,-0.3210006
26,2400000,5 bedroom detached house for sale,"West Drive Gardens, Harrow Weald, Harrow, HA3",http://www.rightmove.co.uk/properties/133156727#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Stanmore-250739.html,HA3,,5.0,2023-06-26 21:15:13.802228,Detached,5.0,7.0,500.0,"West Drive Gardens, Harrow Weald",51.6113527,-0.3443399
27,2375000,6 bedroom detached house for sale,"Littleton Crescent, Harrow, HA1",http://www.rightmove.co.uk/properties/127683920#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Harrow-108947.html,HA1,,6.0,2023-06-26 21:15:13.802228,Detached,6.0,4.0,337.0,"Littleton Crescent, Harrow",,
32,2200000,5 bedroom penthouse for sale,"Uxbridge Road, Stanmore, HA7",http://www.rightmove.co.uk/properties/134607884#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Stanmore-250739.html,HA7,,5.0,2023-06-26 21:15:13.802228,Penthouse,5.0,3.0,292.0,"Uxbridge Road, Stanmore",51.6166355,-0.3156592
36,2100000,5 bedroom semi-detached house for sale,"Little Common, Stanmore, HA7",http://www.rightmove.co.uk/properties/131119874#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Stanmore-250739.html,HA7,,5.0,2023-06-26 21:15:13.802228,Semi-Detached,5.0,4.0,272.0,"Little Common, Stanmore",51.6249607,-0.3204161
