Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
15,2000000,6 bedroom detached house for sale,"Folkes Lane, Upminster, RM14",http://www.rightmove.co.uk/properties/133481594#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Durden-and-Hunt/Hornchurch-247052.html,RM14,,6.0,2023-06-26 16:08:10.754210,Detached,6.0,3.0,294.0,"Folkes Lane, Upminster",,
19,2000000,6 bedroom detached house for sale,"Elm Grove, Hornchurch, RM11",http://www.rightmove.co.uk/properties/135781412#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tyron-Ash-Real-Estate/Mayfair-215642.html,RM11,,6.0,2023-06-26 16:08:10.754210,Detached,6.0,4.0,377.0,"Elm Grove, Hornchurch",51.5738235,0.2259406
34,1400000,4 bedroom detached house for sale,"The Fairway, Upminster",http://www.rightmove.co.uk/properties/136176698#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/HS-Estate-Agents/Brentwood-83806.html,,,4.0,2023-06-26 16:08:10.754210,Detached,4.0,2.0,146.0,"The Fairway, Upminster",51.5649892,0.2572398
38,1350000,4 bedroom detached house for sale,"Parkstone Avenue, Hornchurch",http://www.rightmove.co.uk/properties/134939024#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keith-Ashton/Brentwood-9245.html,,,4.0,2023-06-26 16:08:10.754210,Detached,4.0,2.0,228.0,"Parkstone Avenue, Hornchurch",51.5701489,0.2289163
45,1250000,7 bedroom detached house for sale,"Harrow Drive, Hornchurch, RM11",http://www.rightmove.co.uk/properties/135375221#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Durden-and-Hunt/Hornchurch-247052.html,RM11,,7.0,2023-06-26 16:08:10.754210,Detached,7.0,4.0,347.0,"Harrow Drive, Hornchurch",51.5681652,0.2062181
95,900000,4 bedroom semi-detached house for sale,"Corbets Tey Road, Upminster, RM14",http://www.rightmove.co.uk/properties/134599829#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Durden-and-Hunt/Hornchurch-247052.html,RM14,,4.0,2023-06-26 16:08:10.754210,Semi-Detached,4.0,2.0,208.0,"Corbets Tey Road, Upminster",51.5517808,0.2472903
107,900000,4 bedroom semi-detached house for sale,"Corbets Tey Road, Upminster",http://www.rightmove.co.uk/properties/131870585#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keith-Ashton/Brentwood-9245.html,,,4.0,2023-06-26 16:08:10.754210,Semi-Detached,4.0,2.0,159.0,"Corbets Tey Road, Upminster",51.5517808,0.2472903
133,825000,5 bedroom detached house for sale,"Wykeham Avenue, Hornchurch, RM11",http://www.rightmove.co.uk/properties/133455671#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Durden-and-Hunt/Hornchurch-247052.html,RM11,,5.0,2023-06-26 16:08:10.754210,Detached,5.0,3.0,182.0,"Wykeham Avenue, Hornchurch",51.5715839,0.2175056
140,800000,4 bedroom detached house for sale,"Squirrels Heath Lane, Gidea Park",http://www.rightmove.co.uk/properties/135353960#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/South-Essex-237173.html,,,4.0,2023-06-26 16:08:10.754210,Detached,4.0,2.0,139.0,"Squirrels Heath Lane, Gidea Park",51.5825486,0.2146581
176,775000,4 bedroom semi-detached house for sale,"Shepherds Hill, Romford, London, RM3",http://www.rightmove.co.uk/properties/135462212#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Baker-Estates/Hainault-11302.html,RM3,,4.0,2023-06-26 16:08:10.754210,Semi-Detached,4.0,3.0,141.0,"Shepherds Hill, Romford",,
216,700000,4 bedroom end of terrace house for sale,"Osborne Road, Hornchurch, London, RM11",http://www.rightmove.co.uk/properties/135171695#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/John-Thoma-Bespoke-Estate-Agency/Chigwell-Branch-121954.html,RM11,,4.0,2023-06-26 16:08:10.754210,End of Terrace,4.0,2.0,177.0,"Osborne Road, Hornchurch",51.5692353,0.214329
260,675000,5 bedroom semi-detached house for sale,"Moray Way, Romford, RM1",http://www.rightmove.co.uk/properties/134367800#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Durden-and-Hunt/Hornchurch-247052.html,RM1,,5.0,2023-06-26 16:08:10.754210,Semi-Detached,5.0,1.0,210.0,"Moray Way, Romford",51.5981299,0.1790595
299,650000,5 bedroom terraced house for sale,"Elmer Gardens , Rainham",http://www.rightmove.co.uk/properties/136163747#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Hornchurch-104762.html,,,5.0,2023-06-26 16:08:10.754210,Terraced,5.0,1.0,170.0,"Elmer Gardens , Rainham",,
323,625000,4 bedroom end of terrace house for sale,"Harwood Avenue, Hornchurch",http://www.rightmove.co.uk/properties/132310109#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keith-Ashton/Kelvedon-Hatch-9474.html,,,4.0,2023-06-26 16:08:10.754210,End of Terrace,4.0,2.0,148.0,"Harwood Avenue, Hornchurch",,
336,600000,6 bedroom end of terrace house for sale,"Petworth Way, Hornchurch, RM12",http://www.rightmove.co.uk/properties/136123718#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tyron-Ash-Real-Estate/Mayfair-215642.html,RM12,,6.0,2023-06-26 16:08:10.754210,End of Terrace,6.0,1.0,212.0,"Petworth Way, Hornchurch",,
347,600000,5 bedroom semi-detached house for sale,"Mount Pleasant Road, Romford",http://www.rightmove.co.uk/properties/135826694#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/South-Essex-237173.html,,,5.0,2023-06-26 16:08:10.754210,Semi-Detached,5.0,2.0,160.0,"Mount Pleasant Road, Romford",,
386,575000,4 bedroom semi-detached house for sale,"Eldred Gardens, Upminster",http://www.rightmove.co.uk/properties/134962577#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Griffin-Residential-Group/Upminster-250106.html,,,4.0,2023-06-26 16:08:10.754210,Semi-Detached,4.0,2.0,114.0,"Eldred Gardens, Upminster",51.5666655,0.2663919
413,575000,4 bedroom end of terrace house for sale,"Seabrook Gardens, Romford, RM7",http://www.rightmove.co.uk/properties/136164941#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Chadwell-Heath-154961.html,RM7,,4.0,2023-06-26 16:08:10.754210,End of Terrace,4.0,1.0,114.0,"Seabrook Gardens, Romford",51.5677501,0.1539213
435,550000,3 bedroom penthouse for sale,"Kings Park Development, Gubbins Lane, Harold Wood,",http://www.rightmove.co.uk/properties/132308210#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Jenkins-Property/Brentwood-96199.html,,,3.0,2023-06-26 16:08:10.754210,Penthouse,3.0,2.0,102.0,"Kings Park Development, Gubbins Lane",,
472,550000,3 bedroom terraced house for sale,"Northumberland Avenue, Hornchurch, RM11",http://www.rightmove.co.uk/properties/135578786#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Durden-and-Hunt/Hornchurch-247052.html,RM11,,3.0,2023-06-26 16:08:10.754210,Terraced,3.0,1.0,99.0,"Northumberland Avenue, Hornchurch",,
492,535000,2 bedroom terraced house for sale,"Harwood Avenue, Hornchurch",http://www.rightmove.co.uk/properties/135257339#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keith-Ashton/Kelvedon-Hatch-9474.html,,,2.0,2023-06-26 16:08:10.754210,Terraced,2.0,1.0,128.0,"Harwood Avenue, Hornchurch",,
527,520000,3 bedroom end of terrace house for sale,"Sedgefield Crescent, Romford, RM3",http://www.rightmove.co.uk/properties/136401395#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Carter-Remy/Basildon-243275.html,RM3,,3.0,2023-06-26 16:08:10.754210,End of Terrace,3.0,2.0,137.0,"Sedgefield Crescent, Romford",,
548,500000,3 bedroom semi-detached house for sale,"Maidstone Avenue, Collier Row, RM5",http://www.rightmove.co.uk/properties/136224542#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Presidential-Estates/Waltham-Abbey-80874.html,RM5,,3.0,2023-06-26 16:08:10.754210,Semi-Detached,3.0,2.0,136.0,"Maidstone Avenue, Collier Row",51.5916542,0.16626
568,500000,3 bedroom apartment for sale,"Bell Flower Lodge, Romford, Essex",http://www.rightmove.co.uk/properties/134043257#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keller-Williams-Plus/Covering-South-East-214967.html,,,3.0,2023-06-26 16:08:10.754210,Apartment,3.0,2.0,109.0,"Bell Flower Lodge, Romford",,
660,475000,3 bedroom semi-detached house for sale,"Brockley Crescent, Romford, RM5",http://www.rightmove.co.uk/properties/134708708#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keystones-Property/Collier-Row-95887.html,RM5,,3.0,2023-06-26 16:08:10.754210,Semi-Detached,3.0,1.0,99.0,"Brockley Crescent, Romford",51.5982431,0.1676719
722,460000,3 bedroom detached house for sale,"Coleridge Road, Heaton Grange, RM3",http://www.rightmove.co.uk/properties/131106830#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Durden-and-Hunt/Hornchurch-247052.html,RM3,,3.0,2023-06-26 16:08:10.754210,Detached,3.0,1.0,117.0,"Coleridge Road, Heaton Grange",,
810,450000,3 bedroom terraced house for sale,"Upper Rainham Road, Hornchurch, Essex",http://www.rightmove.co.uk/properties/136002977#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keller-Williams-Plus/Covering-South-East-214967.html,,,3.0,2023-06-26 16:08:10.754210,Terraced,3.0,2.0,84.0,"Upper Rainham Road, Hornchurch",51.5459816,0.1888244
833,430000,3 bedroom terraced house for sale,"Roseberry Gardens, Upminster",http://www.rightmove.co.uk/properties/135917045#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Ashley-Bennett/Grays-127762.html,,,3.0,2023-06-26 16:08:10.754210,Terraced,3.0,1.0,86.0,"Roseberry Gardens, Upminster",,
847,425000,2 bedroom apartment for sale,"St. Clements Avenue, Romford, Essex",http://www.rightmove.co.uk/properties/134121485#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/South-Essex-237173.html,,,2.0,2023-06-26 16:08:10.754210,Apartment,2.0,2.0,98.0,"St. Clements Avenue, Romford",,
902,425000,2 bedroom apartment for sale,"Gubbins Lane, Harold Wood, RM3",http://www.rightmove.co.uk/properties/135621446#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Durden-and-Hunt/Hornchurch-247052.html,RM3,,2.0,2023-06-26 16:08:10.754210,Apartment,2.0,2.0,65.0,"Gubbins Lane, Harold Wood",51.5906503,0.2331217
915,425000,3 bedroom semi-detached house for sale,"Stanwyck Gardens, Romford, RM3",http://www.rightmove.co.uk/properties/134630042#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keystones-Property/Collier-Row-95887.html,RM3,,3.0,2023-06-26 16:08:10.754210,Semi-Detached,3.0,1.0,91.0,"Stanwyck Gardens, Romford",,
922,425000,3 bedroom terraced house for sale,"Petersfield Avenue, Romford",http://www.rightmove.co.uk/properties/136566149#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Williams-and-Donovan/Hockley-5521.html,,,3.0,2023-06-26 16:08:10.754210,Terraced,3.0,1.0,64.0,"Petersfield Avenue, Romford",,
925,335000,2 bedroom apartment for sale,"Larch Place, Harold Wood, RM3",http://www.rightmove.co.uk/properties/134629994#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keystones-Property/Collier-Row-95887.html,RM3,,2.0,2023-06-26 16:08:10.754210,Apartment,2.0,2.0,77.0,"Larch Place, Harold Wood",51.5906854,0.2249234
1018,400000,3 bedroom terraced house for sale,"Ascension Road, Romford RM5 3RT",http://www.rightmove.co.uk/properties/131698220#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Century-21-Heritage/Newham-105398.html,RM5,RM5 3RT,3.0,2023-06-26 16:08:10.754210,Terraced,3.0,1.0,82.0,"Ascension Road, Romford RM5 3RT",51.6024337,0.170337
