Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
6,2800000,7 bedroom detached house for sale,"Eastbury Road, Northwood, Middlesex, HA6",http://www.rightmove.co.uk/properties/124649675#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Savills/Northwood-50225.html,HA6,,7.0,2023-06-26 21:29:53.421325,Detached,7.0,4.0,443.0,"Eastbury Road, Northwood",51.6137636,-0.4231218
24,1425000,4 bedroom detached house for sale,"Kingfisher Close, Northwood, Middlesex, HA6",http://www.rightmove.co.uk/properties/136191797#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Savills/Northwood-50225.html,HA6,,4.0,2023-06-26 21:29:53.421325,Detached,4.0,2.0,158.0,"Kingfisher Close, Northwood",,
39,1300000,5 bedroom detached house for sale,"Cunningham Drive, Ickenham, Uxbridge, UB10",http://www.rightmove.co.uk/properties/135287072#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Pinner-57275.html,UB10,,5.0,2023-06-26 21:29:53.421325,Detached,5.0,4.0,210.0,"Cunningham Drive, Ickenham",,
66,1150000,5 bedroom detached house for sale,"Burford Close, Ickenham, UB10",http://www.rightmove.co.uk/properties/136296980#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Property-Partners/London-81384.html,UB10,,5.0,2023-06-26 21:29:53.421325,Detached,5.0,2.0,256.0,"Burford Close, Ickenham",,
67,1150000,3 bedroom detached house for sale,"Deerings Drive, Eastcote Village, Pinner, HA5",http://www.rightmove.co.uk/properties/135933035#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Pinner-57275.html,HA5,,3.0,2023-06-26 21:29:53.421325,Detached,3.0,2.0,118.0,"Deerings Drive, Eastcote Village",51.5870713,-0.4071739
72,1100000,4 bedroom detached house for sale,"Shefton Rise, Northwood, Middlesex, HA6",http://www.rightmove.co.uk/properties/131571524#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Savills/Northwood-50225.html,HA6,,4.0,2023-06-26 21:29:53.421325,Detached,4.0,2.0,155.0,"Shefton Rise, Northwood",51.6110072,-0.4066043
73,1100000,4 bedroom detached house for sale,"Daymer Gardens, Pinner",http://www.rightmove.co.uk/properties/135692015#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Andrew-Pearce/Pinner-17418.html,,,4.0,2023-06-26 21:29:53.421325,Detached,4.0,2.0,181.0,"Daymer Gardens, Pinner",,
77,1099950,4 bedroom semi-detached house for sale,"Swakeleys Drive, Uxbridge, Greater London, UB10",http://www.rightmove.co.uk/properties/133495094#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bradley-and-Co-Estates-Limited/Middlesex-86032.html,UB10,,4.0,2023-06-26 21:29:53.421325,Semi-Detached,4.0,4.0,170.0,"Swakeleys Drive, Uxbridge",51.559858,-0.4580999
80,1050000,4 bedroom detached house for sale,"The Fairway, Ruislip",http://www.rightmove.co.uk/properties/136358762#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Lakin-and-Co/Ickenham-201140.html,,,4.0,2023-06-26 21:29:53.421325,Detached,4.0,3.0,219.0,"The Fairway, Ruislip",51.5607631,-0.3941116
93,975000,5 bedroom house for sale,"Tangmere Crescent, Uxbridge",http://www.rightmove.co.uk/properties/133917962#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Allday-and-Miller/Uxbridge-225662.html,,,5.0,2023-06-26 21:29:53.421325,House,5.0,4.0,206.0,"Tangmere Crescent, Uxbridge",51.5412343,-0.4689527
96,950000,4 bedroom detached house for sale,"Deerings Drive, Pinner",http://www.rightmove.co.uk/properties/136581980#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/David-Charles/Pinner-28997.html,,,4.0,2023-06-26 21:29:53.421325,Detached,4.0,2.0,147.0,"Deerings Drive, Pinner",,
103,950000,4 bedroom detached house for sale,"St. Lawrence Drive, Pinner, Middlesex, HA5",http://www.rightmove.co.uk/properties/133769981#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bradley-and-Co-Estates-Limited/Middlesex-86032.html,HA5,,4.0,2023-06-26 21:29:53.421325,Detached,4.0,2.0,117.0,"St. Lawrence Drive, Pinner",,
108,950000,3 bedroom house for sale,"St Lawrence Drive, Eastcote, Pinner, HA5",http://www.rightmove.co.uk/properties/132641753#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Pinner-57275.html,HA5,,3.0,2023-06-26 21:29:53.421325,House,3.0,1.0,112.0,"St Lawrence Drive, Eastcote",51.5861264,-0.4007178
118,925000,4 bedroom detached house for sale,"Church Road, Northwood, Middlesex, HA6",http://www.rightmove.co.uk/properties/126423047#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Savills/Northwood-50225.html,HA6,,4.0,2023-06-26 21:29:53.421325,Detached,4.0,2.0,135.0,"Church Road, Northwood",51.6094721,-0.4147867
121,915000,3 bedroom penthouse for sale,"Pembroke Road, Ruislip, HA4",http://www.rightmove.co.uk/properties/126996602#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Pinner-57275.html,HA4,,3.0,2023-06-26 21:29:53.421325,Penthouse,3.0,2.0,152.0,"Pembroke Road, Ruislip",51.5287033,-0.3592533
146,875000,4 bedroom town house for sale,"Jacks Lane, Harefield",http://www.rightmove.co.uk/properties/86225190#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Allday-and-Miller/Uxbridge-225662.html,,,4.0,2023-06-26 21:29:53.421325,Town House,4.0,2.0,167.0,"Jacks Lane, Harefield",51.601713,-0.4939881
167,840000,3 bedroom detached bungalow for sale,"Larkswood Rise, Pinner",http://www.rightmove.co.uk/properties/136581728#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/David-Charles/Pinner-28997.html,,,3.0,2023-06-26 21:29:53.421325,Detached Bungalow,3.0,2.0,118.0,"Larkswood Rise, Pinner",,
177,825000,4 bedroom town house for sale,"Josiah Drive, Ickenham, Uxbridge",http://www.rightmove.co.uk/properties/136569434#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Allday-and-Miller/Uxbridge-225662.html,,,4.0,2023-06-26 21:29:53.421325,Town House,4.0,3.0,183.0,"Josiah Drive, Ickenham",,
193,800000,4 bedroom semi-detached house for sale,"Almond Close, Ruislip Gardens, Ruislip, HA4",http://www.rightmove.co.uk/properties/134959631#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Pinner-57275.html,HA4,,4.0,2023-06-26 21:29:53.421325,Semi-Detached,4.0,2.0,123.0,"Almond Close, Ruislip Gardens",,
212,800000,4 bedroom detached house for sale,"Northwood Road, Harefield, Uxbridge, Middlesex, UB9",http://www.rightmove.co.uk/properties/86176833#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Savills/Northwood-50225.html,UB9,,4.0,2023-06-26 21:29:53.421325,Detached,4.0,2.0,182.0,"Northwood Road, Harefield",51.6072832,-0.4690809
224,780000,2 bedroom detached house for sale,"Rushmoor Close, Pinner",http://www.rightmove.co.uk/properties/136582559#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/David-Charles/Pinner-28997.html,,,2.0,2023-06-26 21:29:53.421325,Detached,2.0,2.0,123.0,"Rushmoor Close, Pinner",,
