Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
0,1000000,3 bedroom flat for sale,"Prebend Mansions, London, W4",http://www.rightmove.co.uk/properties/134235866#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Whitman-and-Co/Chiswick-67487.html,W4,,3.0,2023-06-26 08:46:30.205533,Flat,3.0,1.0,104.0,"Prebend Mansions, London",51.49292305,-0.24785564864974025
7,4000000,6 bedroom semi-detached house for sale,"Addison Grove, London, W4",http://www.rightmove.co.uk/properties/136086236#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Whitman-and-Co/Chiswick-67487.html,W4,,6.0,2023-06-26 08:46:30.205533,Semi-Detached,6.0,3.0,328.0,"Addison Grove, London",51.4970481,-0.252541
12,3250000,6 bedroom semi-detached house for sale,"Grosvenor Road, London, W4",http://www.rightmove.co.uk/properties/136160972#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank/Chiswick-134402.html,W4,,6.0,2023-06-26 08:46:30.205533,Semi-Detached,6.0,3.0,270.0,"Grosvenor Road, London",51.4860008,-0.1471627
23,2500000,8 bedroom semi-detached house for sale,"Sutton Lane North, London, W4",http://www.rightmove.co.uk/properties/135147326#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hamptons-Sales/Chiswick-37850.html,W4,,8.0,2023-06-26 08:46:30.205533,Semi-Detached,8.0,5.0,387.0,"Sutton Lane North, London",51.4917545,-0.2677254
35,2250000,4 bedroom semi-detached house for sale,"Netheravon Road, London, W4",http://www.rightmove.co.uk/properties/133699670#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Whitman-and-Co/Chiswick-67487.html,W4,,4.0,2023-06-26 08:46:30.205533,Semi-Detached,4.0,3.0,212.0,"Netheravon Road, London",51.5103776,-0.3346512
40,2150000,5 bedroom semi-detached house for sale,"St. Marys Grove, London, W4",http://www.rightmove.co.uk/properties/134649227#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Whitman-and-Co/Chiswick-67487.html,W4,,5.0,2023-06-26 08:46:30.205533,Semi-Detached,5.0,3.0,238.0,"St. Marys Grove, London",51.4663727,-0.235297
42,2000000,4 bedroom detached house for sale,"Milnthorpe Road, W4, Grove Park, London, W4",http://www.rightmove.co.uk/properties/127464662#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Chiswick-15951.html,W4,,4.0,2023-06-26 08:46:30.205533,Detached,4.0,4.0,175.0,"Milnthorpe Road, W4",51.4868793,-0.2644307
44,2000000,6 bedroom detached house for sale,"Wellesley Road, London, W4",http://www.rightmove.co.uk/properties/134674166#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Whitman-and-Co/Chiswick-67487.html,W4,,6.0,2023-06-26 08:46:30.205533,Detached,6.0,3.0,252.0,"Wellesley Road, London",51.3756242,-0.0976166
50,2000000,6 bedroom detached house for sale,"Wellesley Road, London, W4",http://www.rightmove.co.uk/properties/134674166#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Whitman-and-Co/Chiswick-67487.html,W4,,6.0,2023-06-26 08:46:30.205533,Detached,6.0,3.0,252.0,"Wellesley Road, London",51.3756242,-0.0976166
53,1795000,5 bedroom terraced house for sale,"St. Marys Grove, London, W4",http://www.rightmove.co.uk/properties/134573843#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Whitman-and-Co/Chiswick-67487.html,W4,,5.0,2023-06-26 08:46:30.205533,Terraced,5.0,3.0,187.0,"St. Marys Grove, London",51.4663727,-0.235297
