Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
5,6950000.0,4 bedroom terraced house for sale,"Pear Tree Street, London EC1V",http://www.rightmove.co.uk/properties/134476583#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,EC1V,,4.0,2023-06-26 07:51:29.982992,Terraced,4.0,5.0,389.0,"Pear Tree Street, London EC1V",,
10,5000000.0,4 bedroom town house for sale,"Percy Circus, London, WC1X",http://www.rightmove.co.uk/properties/135639101#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Property-Partners/London-81384.html,WC1X,,4.0,2023-06-26 07:51:29.982992,Town House,4.0,3.0,255.0,"Percy Circus, London",51.528988,-0.1141997
16,3750000.0,5 bedroom semi-detached house for sale,"Britton Street, London EC1",http://www.rightmove.co.uk/properties/128036129#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,EC1,,5.0,2023-06-26 07:51:29.982992,Semi-Detached,5.0,4.0,271.0,"Britton Street, London EC1",51.5217371,-0.1041908
18,3595000.0,4 bedroom semi-detached house for sale,"Canonbury Lane, London N1",http://www.rightmove.co.uk/properties/121847480#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,N1,,4.0,2023-06-26 07:51:29.982992,Semi-Detached,4.0,3.0,516.0,"Canonbury Lane, London N1",51.5432352,-0.1023346
27,3275000.0,3 bedroom apartment for sale,City Road,http://www.rightmove.co.uk/properties/132098048#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,,,3.0,2023-06-26 07:51:29.982992,Apartment,3.0,2.0,170.0,City Road,51.5296972,-0.0977626
36,3000000.0,4 bedroom terraced house for sale,"Terretts Place, London N1",http://www.rightmove.co.uk/properties/135738236#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Inigo/London-233495.html,N1,,4.0,2023-06-26 07:51:29.982992,Terraced,4.0,3.0,265.0,"Terretts Place, London N1",,
39,2995000.0,4 bedroom terraced house for sale,"Milner Place, London",http://www.rightmove.co.uk/properties/135587693#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/house-Partnership/Covering-London-and-The-Country-161522.html,,,4.0,2023-06-26 07:51:29.982992,Terraced,4.0,3.0,229.0,"Milner Place, London",51.5390492,-0.1053395
61,2500000.0,4 bedroom house for sale,"Amwell Street, Clerkenwell, London, EC1R",http://www.rightmove.co.uk/properties/135948248#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Clerkenwell-73120.html,EC1R,,4.0,2023-06-26 07:51:29.982992,House,4.0,3.0,249.0,"Amwell Street, Clerkenwell",51.5284717,-0.110058
65,2450000.0,5 bedroom terraced house for sale,"CITY ROAD, London, EC1V",http://www.rightmove.co.uk/properties/49545500#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Lord-Estates/London-75139.html,EC1V,,5.0,2023-06-26 07:51:29.982992,Terraced,5.0,3.0,260.0,"CITY ROAD, London",51.5296972,-0.0977626
66,2400000.0,5 bedroom town house for sale,"Wilton Square, Islington, N1",http://www.rightmove.co.uk/properties/134130227#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fyfe-McDade-Limited/Shoreditch-53027.html,N1,,5.0,2023-06-26 07:51:29.982992,Town House,5.0,3.0,203.0,"Wilton Square, Islington",51.5372161,-0.08975206128116275
75,425000.0,1 bedroom ground floor flat for sale,Lennox Road N4 3JA,http://www.rightmove.co.uk/properties/130383944#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/David-Andrew/Stroud-Green-93623.html,N4,N4 3JA,1.0,2023-06-26 07:51:29.982992,Ground Flat,1.0,1.0,42.0,Lennox Road N4 3JA,51.5666073,-0.1085955
77,2250000.0,4 bedroom town house for sale,"Elizabeth Avenue, London, N1",http://www.rightmove.co.uk/properties/86162679#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Camrose-London/London-247895.html,N1,,4.0,2023-06-26 07:51:29.982992,Town House,4.0,3.0,247.0,"Elizabeth Avenue, London",51.5621161,0.0880654
92,2000000.0,3 bedroom flat for sale,"Rodney Street, Islington, London, N1",http://www.rightmove.co.uk/properties/130994612#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Islington-15954.html,N1,,3.0,2023-06-26 07:51:29.982992,Flat,3.0,3.0,140.0,"Rodney Street, Islington",53.4029013,-2.9729632
