Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
4,32500000.0,8 bedroom house for sale,"Tregunter Road, Chelsea, SW10",http://www.rightmove.co.uk/properties/135343187#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/Mayfair---Resale-79099.html,SW10,,8.0,2023-06-26 06:17:25.260747,House,8.0,11.0,980.0,"Tregunter Road, Chelsea",51.4861264,-0.187034
9,24950000.0,7 bedroom terraced house for sale,"Herbert Crescent, London, SW1X",http://www.rightmove.co.uk/properties/128022866#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Jonathan-Arron-Residential/London-69315.html,SW1X,,7.0,2023-06-26 06:17:25.260747,Terraced,7.0,9.0,700.0,"Herbert Crescent, London",51.4989338,-0.1602766
10,24950000.0,3 bedroom flat for sale,"Kensington Palace Gardens, Kensington, W8",http://www.rightmove.co.uk/properties/131033849#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/Mayfair---Resale-79099.html,W8,,3.0,2023-06-26 06:17:25.260747,Flat,3.0,3.0,473.0,"Kensington Palace Gardens, Kensington",51.509643,-0.1925728
15,22500000.0,7 bedroom house for sale,"Herbert Crescent, London",http://www.rightmove.co.uk/properties/135105395#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Knightsbridge-International-Real-Estate/London-238904.html,,,7.0,2023-06-26 06:17:25.260747,House,7.0,7.0,544.0,"Herbert Crescent, London",51.4989338,-0.1602766
16,22500000.0,7 bedroom end of terrace house for sale,"Ilchester Place, Holland Park, London, W14",http://www.rightmove.co.uk/properties/134048156#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Russell-Simpson/Kensington-204992.html,W14,,7.0,2023-06-26 06:17:25.260747,End of Terrace,7.0,4.0,597.0,"Ilchester Place, Holland Park",51.502125899999996,-0.20288040048709216
18,22500000.0,7 bedroom house for sale,"Ilchester Place, Kensington, London W14",http://www.rightmove.co.uk/properties/134007467#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Aylesford-International/Chelsea-42848.html,W14,,7.0,2023-06-26 06:17:25.260747,House,7.0,5.0,591.0,"Ilchester Place, Kensington",51.4994731,-0.2021745
23,21500000.0,7 bedroom detached house for sale,"Dawson Place, London, W2",http://www.rightmove.co.uk/properties/135790082#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/DS-Churchill/London-200708.html,W2,,7.0,2023-06-26 06:17:25.260747,Detached,7.0,5.0,618.0,"Dawson Place, London",51.5125077,-0.1955582
25,2675000.0,3 bedroom house for sale,"St Catherines Mews, SW3",http://www.rightmove.co.uk/properties/134146799#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/STANLEY-PROPERTY-LONDON/Chelsea-34115.html,SW3,,3.0,2023-06-26 06:17:25.260747,House,3.0,2.0,149.0,"St Catherines Mews, SW3",,
29,19950000.0,6 bedroom terraced house for sale,"Herbert Crescent, Knightsbridge, SW1X",http://www.rightmove.co.uk/properties/130333274#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/New-Homes-233642.html,SW1X,,6.0,2023-06-26 06:17:25.260747,Terraced,6.0,8.0,431.0,"Herbert Crescent, Knightsbridge",,
30,19950000.0,6 bedroom house for sale,"Herbert Crescent, Knightsbridge, SW1X",http://www.rightmove.co.uk/properties/131017301#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/Mayfair---Resale-79099.html,SW1X,,6.0,2023-06-26 06:17:25.260747,House,6.0,6.0,412.0,"Herbert Crescent, Knightsbridge",,
31,19500000.0,5 bedroom flat for sale,"Cadogan Square, Knightsbridge, SW1X",http://www.rightmove.co.uk/properties/133708385#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hamptons-Sales/Knightsbridge-37931.html,SW1X,,5.0,2023-06-26 06:17:25.260747,Flat,5.0,5.0,409.0,"Cadogan Square, Knightsbridge",,
33,19500000.0,5 bedroom flat for sale,"Cadogan Square, London",http://www.rightmove.co.uk/properties/136316720#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Strutt-and-Parker/Sloane-Street-44264.html,,,5.0,2023-06-26 06:17:25.260747,Flat,5.0,5.0,409.0,"Cadogan Square, London",51.4958719,-0.160272
39,17950000.0,5 bedroom apartment for sale,"Lennox Gardens, London",http://www.rightmove.co.uk/properties/128567009#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Munday-Crowley-Property-Consultants/Notting-Hill-227960.html,,,5.0,2023-06-26 06:17:25.260747,Apartment,5.0,5.0,479.0,"Lennox Gardens, London",51.5672584,0.0558255
40,17500000.0,6 bedroom apartment for sale,"Chesham Place, London, SW1X",http://www.rightmove.co.uk/properties/132948674#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Rokstone/London-176396.html,SW1X,,6.0,2023-06-26 06:17:25.260747,Apartment,6.0,5.0,411.0,"Chesham Place, London",51.497216550000005,-0.15563450646376514
41,17500000.0,5 bedroom apartment for sale,"Chesham Place, Belgravia SW1",http://www.rightmove.co.uk/properties/133084916#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank/Knightsbridge-65827.html,SW1,,5.0,2023-06-26 06:17:25.260747,Apartment,5.0,5.0,410.0,"Chesham Place, Belgravia SW1",51.4977959,-0.1543698
43,17000000.0,4 bedroom apartment for sale,"Hollandgreen Place, Kensington High Street, Kensington, London, W8",http://www.rightmove.co.uk/properties/135592631#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Rokstone/London-176396.html,W8,,4.0,2023-06-26 06:17:25.260747,Apartment,4.0,4.0,396.0,"Hollandgreen Place, Kensington High Street",,
44,16950000.0,6 bedroom house for sale,"Stanley Gardens, Notting Hill W11",http://www.rightmove.co.uk/properties/104103539#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/Mayfair---Resale-79099.html,W11,,6.0,2023-06-26 06:17:25.260747,House,6.0,6.0,441.0,"Stanley Gardens, Notting Hill W11",51.5121446,-0.2042274
45,16500000.0,6 bedroom house for sale,"Astell Street, Chelsea, SW3",http://www.rightmove.co.uk/properties/136112252#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank---New-Homes/Prime-Central-London-Developments-41063.html,SW3,,6.0,2023-06-26 06:17:25.260747,House,6.0,6.0,500.0,"Astell Street, Chelsea",51.4893624,-0.1672717
