Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
19,4500000,9 bedroom detached house for sale,"Beverley Lane, Kingston Upon Thames KT2",http://www.rightmove.co.uk/properties/135892892#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Flagstones-Property-Group/Northwood-252785.html,KT2,,9.0,2023-06-26 09:17:45.357332,Detached,9.0,9.0,935.0,"Beverley Lane, Kingston Upon Thames KT2",51.4171158,-0.2547403
27,3500000,6 bedroom detached house for sale,"Coombe Ridings, Kingston Upon Thames, Surrey, KT2",http://www.rightmove.co.uk/properties/133561040#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/HNF-Property/Croydon-82254.html,KT2,,6.0,2023-06-26 09:17:45.357332,Detached,6.0,6.0,664.0,"Coombe Ridings, Kingston Upon Thames",51.4253638,-0.2708693
38,3000000,5 bedroom detached house for sale,"Coombe Lane West, Coombe, Kingston Upon Thames, Surrey, KT2",http://www.rightmove.co.uk/properties/133396325#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/Putney-246251.html,KT2,,5.0,2023-06-26 09:17:45.357332,Detached,5.0,4.0,263.0,"Coombe Lane West, Coombe",51.4160536,-0.2530925
40,3000000,5 bedroom house for sale,"Coombe Lane West, Kingston Upon Thames",http://www.rightmove.co.uk/properties/130254566#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Surbiton-251504.html,,,5.0,2023-06-26 09:17:45.357332,House,5.0,4.0,263.0,"Coombe Lane West, Kingston Upon Thames",51.4160536,-0.2530925
48,2750000,5 bedroom detached house for sale,"Coombe Neville, Kingston Upon Thames, KT2",http://www.rightmove.co.uk/properties/135260825#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fuller-Gilbert-and-Co/Wimbledon-3883.html,KT2,,5.0,2023-06-26 09:17:45.357332,Detached,5.0,2.0,299.0,"Coombe Neville, Kingston Upon Thames",51.418415,-0.2672298
49,2700000,4 bedroom detached house for sale,"Warren Road, Kingston Upon Thames",http://www.rightmove.co.uk/properties/128625575#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Surbiton-251504.html,,,4.0,2023-06-26 09:17:45.357332,Detached,4.0,3.0,242.0,"Warren Road, Kingston Upon Thames",51.4211435,-0.269193
50,175000,1 bedroom retirement property for sale,"Clayton Road, Chessington",http://www.rightmove.co.uk/properties/136314371#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Rice-and-Roman/Esher-93448.html,,,1.0,2023-06-26 09:17:45.357332,Retirement Property,1.0,1.0,39.0,"Clayton Road, Chessington",51.3666212,-0.3070364
55,2500000,8 bedroom detached house for sale,"Upper Brighton Road, Surbiton",http://www.rightmove.co.uk/properties/136119542#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Surbiton-251504.html,,,8.0,2023-06-26 09:17:45.357332,Detached,8.0,3.0,361.0,"Upper Brighton Road, Surbiton",51.3882295,-0.3033101
56,2500000,5 bedroom detached house for sale,"Lower Ham Road, North Kingston, Kingston upon Thames, KT2",http://www.rightmove.co.uk/properties/136329716#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Kingston-57272.html,KT2,,5.0,2023-06-26 09:17:45.357332,Detached,5.0,3.0,251.0,"Lower Ham Road, North Kingston",,
58,2495000,5 bedroom detached house for sale,"Henley Drive, Kingston Upon Thames",http://www.rightmove.co.uk/properties/132902183#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Surbiton-251504.html,,,5.0,2023-06-26 09:17:45.357332,Detached,5.0,3.0,376.0,"Henley Drive, Kingston Upon Thames",51.4188902,-0.2525129
