Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
6,12846000.0,5 bedroom flat for sale,Bondway,http://www.rightmove.co.uk/properties/131687600#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Scraye/London-223172.html,,,5.0,2023-06-26 06:57:46.386611,Flat,5.0,4.0,336.0,Bondway,51.4843073,-0.1246953
20,11749000.0,5 bedroom flat for sale,"71 Bondway,London",http://www.rightmove.co.uk/properties/125959448#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,,,5.0,2023-06-26 06:57:46.386611,Flat,5.0,5.0,295.0,"71 Bondway,London",51.4843073,-0.1246953
27,11250000.0,5 bedroom penthouse for sale,"Penthouse, Damac Tower, Nine Elms",http://www.rightmove.co.uk/properties/111137990#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Croft-International/London-200411.html,,,5.0,2023-06-26 06:57:46.386611,Penthouse,5.0,5.0,330.0,"Penthouse, Damac Tower",,
34,7053000.0,5 bedroom apartment for sale,"Carnation Way,London",http://www.rightmove.co.uk/properties/133499453#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,,,5.0,2023-06-26 06:57:46.386611,Apartment,5.0,5.0,255.0,"Carnation Way,London",51.4822388,-0.1281299
37,5960000.0,4 bedroom apartment for sale,"Carnation Way,London",http://www.rightmove.co.uk/properties/133499459#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,,,4.0,2023-06-26 06:57:46.386611,Apartment,4.0,4.0,236.0,"Carnation Way,London",51.4822388,-0.1281299
45,3886000.0,3 bedroom apartment for sale,"Carnation Way,London",http://www.rightmove.co.uk/properties/133499492#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,,,3.0,2023-06-26 06:57:46.386611,Apartment,3.0,2.0,146.0,"Carnation Way,London",51.4822388,-0.1281299
47,3886000.0,3 bedroom apartment for sale,"Carnation Way,London",http://www.rightmove.co.uk/properties/133499882#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Luxury-Living-Homes-International/London-247181.html,,,3.0,2023-06-26 06:57:46.386611,Apartment,3.0,2.0,146.0,"Carnation Way,London",51.4822388,-0.1281299
50,2500000.0,5 bedroom semi-detached house for sale,"Woodquest Avenue, Herne Hill, SE24",http://www.rightmove.co.uk/properties/127456061#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Harvey-and-Wheeler/Dulwich-Village-51912.html,SE24,,5.0,2023-06-26 06:57:46.386611,Semi-Detached,5.0,2.0,206.0,"Woodquest Avenue, Herne Hill",51.4555342,-0.1007839
68,2995000.0,6 bedroom house for sale,"Kingsmead Road, London, SW2",http://www.rightmove.co.uk/properties/135370700#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Herne-Hill-45437.html,SW2,,6.0,2023-06-26 06:57:46.386611,House,6.0,4.0,314.0,"Kingsmead Road, London",51.4374623,-0.1131042
70,2950000.0,4 bedroom terraced house for sale,"Streatham Common South, London",http://www.rightmove.co.uk/properties/133764929#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/house-Partnership/Covering-London-and-The-Country-161522.html,,,4.0,2023-06-26 06:57:46.386611,Terraced,4.0,3.0,366.0,"Streatham Common South, London",51.4210272,-0.1241539
