Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
8,2100000.0,10 bedroom semi-detached house for sale,"Tyrwhitt Road, Brockley, London, SE4",http://www.rightmove.co.uk/properties/136283360#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Sales/Dulwich-Village-55435.html,SE4,,10.0,2023-06-26 10:32:07.804029,Semi-Detached,10.0,2.0,294.0,"Tyrwhitt Road, Brockley",51.4675995,-0.0231517
13,2000000.0,4 bedroom detached house for sale,"Mount Gardens, London, SE26 4NG",http://www.rightmove.co.uk/properties/133814690#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hamptons-Sales/Blackheath-112936.html,SE26,SE26 4NG,4.0,2023-06-26 10:32:07.804029,Detached,4.0,2.0,223.0,"Mount Gardens, London",51.4346926,-0.0636181
20,1900000.0,5 bedroom detached house for sale,"Belmont Hill, Blackheath",http://www.rightmove.co.uk/properties/133968845#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Sales/Brockley-55405.html,,,5.0,2023-06-26 10:32:07.804029,Detached,5.0,2.0,302.0,"Belmont Hill, Blackheath",51.4628461,-0.0044145
23,1750000.0,4 bedroom terraced house for sale,"Upper Brockley Road, Brockley",http://www.rightmove.co.uk/properties/130517405#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank/Dulwich-141611.html,,,4.0,2023-06-26 10:32:07.804029,Terraced,4.0,2.0,200.0,"Upper Brockley Road, Brockley",51.4660789,-0.0343521
31,1625000.0,4 bedroom detached house for sale,"Church Rise, Forest Hill, London, SE23",http://www.rightmove.co.uk/properties/135828380#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Dulwich-57287.html,SE23,,4.0,2023-06-26 10:32:07.804029,Detached,4.0,2.0,193.0,"Church Rise, Forest Hill",51.4392385,-0.0488849
33,1500000.0,9 bedroom detached house for sale,"Burnt Ash Hill, Lee SE12",http://www.rightmove.co.uk/properties/135787853#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Private-Realtor/Mayfair-245642.html,SE12,,9.0,2023-06-26 10:32:07.804029,Detached,9.0,4.0,403.0,"Burnt Ash Hill, Lee SE12",51.4460929,0.0148601
37,1500000.0,5 bedroom terraced house for sale,"New Cross Road, London, SE14",http://www.rightmove.co.uk/properties/86107293#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Kallars/London-169421.html,SE14,,5.0,2023-06-26 10:32:07.804029,Terraced,5.0,2.0,207.0,"New Cross Road, London",51.475753,-0.0309055
48,1350000.0,4 bedroom semi-detached house for sale,"Church Rise, Forest Hill, London, SE23",http://www.rightmove.co.uk/properties/127361258#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Dulwich-57287.html,SE23,,4.0,2023-06-26 10:32:07.804029,Semi-Detached,4.0,3.0,254.0,"Church Rise, Forest Hill",51.4392385,-0.0488849
51,1350000.0,4 bedroom semi-detached house for sale,"Burghill Road, Sydenham, SE26",http://www.rightmove.co.uk/properties/136444463#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Wooster-and-Stock/London-40674.html,SE26,,4.0,2023-06-26 10:32:07.804029,Semi-Detached,4.0,2.0,222.0,"Burghill Road, Sydenham",51.4287774,-0.0442072
55,1300000.0,6 bedroom terraced house for sale,"Scawen Road, Surrey Quays, SE8",http://www.rightmove.co.uk/properties/135344168#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Truepennys-Property-Consultants/Greenwich-93562.html,SE8,,6.0,2023-06-26 10:32:07.804029,Terraced,6.0,2.0,235.0,"Scawen Road, Surrey Quays",,
58,1250000.0,4 bedroom house for sale,"Broadfield Road, London, SE6 1NE",http://www.rightmove.co.uk/properties/136059059#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Catford-51315.html,SE6,SE6 1NE,4.0,2023-06-26 10:32:07.804029,House,4.0,1.0,158.0,"Broadfield Road, London",51.4449532,0.001286
70,1250000.0,5 bedroom detached house for sale,Ringmore Rise  ,http://www.rightmove.co.uk/properties/136546070#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Pickwick-Estates/Honor-Oak-84502.html,,,5.0,2023-06-26 10:32:07.804029,Detached,5.0,2.0,194.0,Ringmore Rise  ,51.4454996,-0.0589854
86,1150000.0,5 bedroom terraced house for sale,"Tannsfeld Road, Sydenham, London, SE26",http://www.rightmove.co.uk/properties/136465262#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Pedder/Sydenham-77653.html,SE26,,5.0,2023-06-26 10:32:07.804029,Terraced,5.0,2.0,149.0,"Tannsfeld Road, Sydenham",51.4241152,-0.050523
95,1100000.0,3 bedroom end of terrace house for sale,"Amersham Road, New Cross, SE14",http://www.rightmove.co.uk/properties/129537491#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Urban-Spaces/Loft-Living-and-Unique-Properties-167390.html,SE14,,3.0,2023-06-26 10:32:07.804029,End of Terrace,3.0,1.0,132.0,"Amersham Road, New Cross",51.4750474,-0.032768
