Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
31,4495000,6 bedroom detached house for sale,"Greenoak Way, London, SW19 5EN",http://www.rightmove.co.uk/properties/86185473#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/Wimbledon-256826.html,SW19,SW19 5EN,6.0,2023-06-26 09:35:18.449125,Detached,6.0,5.0,456.0,"Greenoak Way, London",51.4330334,-0.2234997
39,4000000,5 bedroom detached house for sale,"Atkinson Close, London, SW20",http://www.rightmove.co.uk/properties/128232299#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/SJW-Sales/London-251108.html,SW20,,5.0,2023-06-26 09:35:18.449125,Detached,5.0,6.0,376.0,"Atkinson Close, London",51.3576282,0.0958704
68,2585000,5 bedroom house for sale,"Marryat Place, Wimbledon",http://www.rightmove.co.uk/properties/131215250#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/andrew-scott-robertson/Wimbledon-Village-135596.html,,,5.0,2023-06-26 09:35:18.449125,House,5.0,4.0,253.0,"Marryat Place, Wimbledon",51.4303472,-0.2147783
76,2250000,6 bedroom semi-detached house for sale,"Pepys Road, West Wimbledon",http://www.rightmove.co.uk/properties/134650949#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/eXp-UK/London-238265.html,,,6.0,2023-06-26 09:35:18.449125,Semi-Detached,6.0,2.0,243.0,"Pepys Road, West Wimbledon",51.4098713,-0.2281739
105,1800000,6 bedroom house for sale,"Kenilworth Avenue, Wimbledon",http://www.rightmove.co.uk/properties/135620021#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/andrew-scott-robertson/Wimbledon-Village-135596.html,,,6.0,2023-06-26 09:35:18.449125,House,6.0,3.0,202.0,"Kenilworth Avenue, Wimbledon",51.4296762,-0.1998537
118,1650000,3 bedroom flat for sale,"Edge Hill, Wimbledon, London, SW19",http://www.rightmove.co.uk/properties/128930258#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wimbledon-15975.html,SW19,,3.0,2023-06-26 09:35:18.449125,Flat,3.0,2.0,189.0,"Edge Hill, Wimbledon",51.4177001,-0.2209731
120,1600000,5 bedroom end of terrace house for sale,"Crescent Gardens, Wimbledon Park, London, SW19",http://www.rightmove.co.uk/properties/134959052#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Earlsfield-84859.html,SW19,,5.0,2023-06-26 09:35:18.449125,End of Terrace,5.0,2.0,217.0,"Crescent Gardens, Wimbledon Park",51.4344116,-0.19685
125,660000,4 bedroom end of terrace house for sale,"Bordesley Road, Morden",http://www.rightmove.co.uk/properties/133016978#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Halls-and-May/Putney-246959.html,,,4.0,2023-06-26 09:35:18.449125,End of Terrace,4.0,2.0,116.0,"Bordesley Road, Morden",51.4003654,-0.1930721
126,1595000,4 bedroom town house for sale,"Pine Grove, Wimbledon",http://www.rightmove.co.uk/properties/129298733#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/andrew-scott-robertson/Wimbledon-Village-135596.html,,,4.0,2023-06-26 09:35:18.449125,Town House,4.0,2.0,144.0,"Pine Grove, Wimbledon",51.4259441,-0.2095126
128,1590000,3 bedroom flat for sale,"Atkinson Close, Wimbledon, LONDON, SW20",http://www.rightmove.co.uk/properties/136188020#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wimbledon-15975.html,SW20,,3.0,2023-06-26 09:35:18.449125,Flat,3.0,3.0,133.0,"Atkinson Close, Wimbledon",51.4181917,-0.2396665
129,1590000,3 bedroom flat for sale,"Atkinson Close, Wimbledon",http://www.rightmove.co.uk/properties/135329633#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/andrew-scott-robertson/Wimbledon-Village-135596.html,,,3.0,2023-06-26 09:35:18.449125,Flat,3.0,3.0,133.0,"Atkinson Close, Wimbledon",51.4181917,-0.2396665
135,1500000,5 bedroom house for sale,"Lansdowne Road, West Wimbledon, London, SW20",http://www.rightmove.co.uk/properties/132598937#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wimbledon-15975.html,SW20,,5.0,2023-06-26 09:35:18.449125,House,5.0,2.0,170.0,"Lansdowne Road, West Wimbledon",,
136,1500000,4 bedroom house for sale,"Courthope Villas, Wimbledon, London, SW19",http://www.rightmove.co.uk/properties/136410152#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wimbledon-15975.html,SW19,,4.0,2023-06-26 09:35:18.449125,House,4.0,2.0,176.0,"Courthope Villas, Wimbledon",51.4186999,-0.2108024
137,1495000,4 bedroom house for sale,"Lake Road, Wimbledon, London, SW19",http://www.rightmove.co.uk/properties/133265840#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wimbledon-15975.html,SW19,,4.0,2023-06-26 09:35:18.449125,House,4.0,1.0,130.0,"Lake Road, Wimbledon",51.4274993,-0.2056721
161,1275000,5 bedroom terraced house for sale,"Melrose Avenue, London",http://www.rightmove.co.uk/properties/135701990#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Loney-Miller-Limited/London-187115.html,,,5.0,2023-06-26 09:35:18.449125,Terraced,5.0,2.0,168.0,"Melrose Avenue, London",51.5365966,-0.3602734
163,1260000,3 bedroom flat for sale,"Arthur Road, Wimbledon Park, London, SW19",http://www.rightmove.co.uk/properties/132300902#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wimbledon-15975.html,SW19,,3.0,2023-06-26 09:35:18.449125,Flat,3.0,2.0,138.0,"Arthur Road, Wimbledon Park",51.4340563,-0.1990432
169,1250000,3 bedroom house for sale,"Thaxted Place, Wimbledon",http://www.rightmove.co.uk/properties/135920015#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/andrew-scott-robertson/Wimbledon-Village-135596.html,,,3.0,2023-06-26 09:35:18.449125,House,3.0,3.0,123.0,"Thaxted Place, Wimbledon",51.4170666,-0.223943
181,1200000,4 bedroom house for sale,Havana Road,http://www.rightmove.co.uk/properties/133402271#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Loney-Miller-Limited/London-187115.html,,,4.0,2023-06-26 09:35:18.449125,House,4.0,2.0,131.0,Havana Road,51.438725,-0.1958536
183,1200000,3 bedroom semi-detached house for sale,"Strachan Place, Wimbledon Village, London, SW19",http://www.rightmove.co.uk/properties/127802288#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wimbledon-15975.html,SW19,,3.0,2023-06-26 09:35:18.449125,Semi-Detached,3.0,2.0,124.0,"Strachan Place, Wimbledon Village",51.4210761,-0.2281278
197,1150000,5 bedroom semi-detached house for sale,"Keswick Avenue, Wimbledon",http://www.rightmove.co.uk/properties/132902450#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/andrew-scott-robertson/Wimbledon-Village-135596.html,,,5.0,2023-06-26 09:35:18.449125,Semi-Detached,5.0,2.0,147.0,"Keswick Avenue, Wimbledon",51.4079706,-0.2014076
204,1150000,2 bedroom flat for sale,"Chambers Park Hill, Wimbledon, London, SW20",http://www.rightmove.co.uk/properties/134087048#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wimbledon-15975.html,SW20,,2.0,2023-06-26 09:35:18.449125,Flat,2.0,2.0,89.0,"Chambers Park Hill, Wimbledon",51.4178144,-0.2381863
207,1150000,4 bedroom terraced house for sale,"Panmuir Road, Cottenham Park, London, SW20",http://www.rightmove.co.uk/properties/129115580#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wimbledon-15975.html,SW20,,4.0,2023-06-26 09:35:18.449125,Terraced,4.0,3.0,161.0,"Panmuir Road, Cottenham Park",51.4130453,-0.234857
215,1100000,3 bedroom house for sale,"Braemar Avenue, London",http://www.rightmove.co.uk/properties/136254005#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Loney-Miller-Limited/London-187115.html,,,3.0,2023-06-26 09:35:18.449125,House,3.0,1.0,97.0,"Braemar Avenue, London",51.3468619,-0.0998355
234,1000000,2 bedroom house for sale,"Anson Mews, South Wimbledon, London, SW19",http://www.rightmove.co.uk/properties/86181885#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wimbledon-15975.html,SW19,,2.0,2023-06-26 09:35:18.449125,House,2.0,2.0,106.0,"Anson Mews, South Wimbledon",,
236,1000000,4 bedroom semi-detached house for sale,"Dundonald Road, London, SW19",http://www.rightmove.co.uk/properties/136369400#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/London-Property-Guru/London-97850.html,SW19,,4.0,2023-06-26 09:35:18.449125,Semi-Detached,4.0,3.0,124.0,"Dundonald Road, London",51.4174546,-0.207536
245,975000,4 bedroom semi-detached house for sale,"Grand Drive, Raynes Park, London, SW20",http://www.rightmove.co.uk/properties/134653766#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/New-Malden-149153.html,SW20,,4.0,2023-06-26 09:35:18.449125,Semi-Detached,4.0,2.0,145.0,"Grand Drive, Raynes Park",51.4070018,-0.2294545
251,975000,3 bedroom maisonette for sale,"Raymond Road, Wimbledon",http://www.rightmove.co.uk/properties/135459077#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Elizabeth-Wightwick-Bespoke-Lettings/Wimbledon-Village-177239.html,,,3.0,2023-06-26 09:35:18.449125,Maisonette,3.0,2.0,119.0,"Raymond Road, Wimbledon",51.4209055,-0.2109909
255,975000,4 bedroom link detached house for sale,"Abbott Avenue,  Raynes Park, SW20",http://www.rightmove.co.uk/properties/135291095#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Greenfield-and-Company/Ewell-58022.html,SW20,,4.0,2023-06-26 09:35:18.449125,Link Detached House,4.0,2.0,166.0,"Abbott Avenue,  Raynes Park",51.4113889,-0.2206129
258,950000,3 bedroom apartment for sale,"Raymond Road, Wimbledon, SW19",http://www.rightmove.co.uk/properties/136421789#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Lucie-White-and-Company/London---Sales-225416.html,SW19,,3.0,2023-06-26 09:35:18.449125,Apartment,3.0,2.0,110.0,"Raymond Road, Wimbledon",51.4209055,-0.2109909
264,950000,4 bedroom terraced house for sale,"Cherrywood Lane, Morden, SM4",http://www.rightmove.co.uk/properties/135915080#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wimbledon-15975.html,SM4,,4.0,2023-06-26 09:35:18.449125,Terraced,4.0,2.0,151.0,"Cherrywood Lane, Morden",51.3986309,-0.2148853
269,925000,3 bedroom house for sale,"Normanton Avenue, London",http://www.rightmove.co.uk/properties/134902814#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Loney-Miller-Limited/London-187115.html,,,3.0,2023-06-26 09:35:18.449125,House,3.0,1.0,92.0,"Normanton Avenue, London",51.4390741,-0.2016843
272,925000,3 bedroom maisonette for sale,"Kingston Road, Wimbledon, London, SW19",http://www.rightmove.co.uk/properties/85161237#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Wimbledon-15975.html,SW19,,3.0,2023-06-26 09:35:18.449125,Maisonette,3.0,2.0,134.0,"Kingston Road, Wimbledon",51.4156177,-0.1927279
277,900000,5 bedroom end of terrace house for sale,"Liberty Avenue, Colliers Wood, London, SW19",http://www.rightmove.co.uk/properties/132598790#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Tooting-111050.html,SW19,,5.0,2023-06-26 09:35:18.449125,End of Terrace,5.0,4.0,138.0,"Liberty Avenue, Colliers Wood",,
