Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
7,1200000,3 bedroom apartment for sale,"Modena House, 19 Lyell Street, City Island, E14",http://www.rightmove.co.uk/properties/131285114#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/MyLondonHome/Central-London-6464.html,E14,,3.0,2023-06-26 19:39:58.710423,Apartment,3.0,2.0,111.0,"Modena House, 19 Lyell Street",51.5125988,0.005926214575645582
10,1175000,4 bedroom house for sale,"Cumberland Road, Plaistow, London, E13",http://www.rightmove.co.uk/properties/136436105#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Stratford-80281.html,E13,,4.0,2023-06-26 19:39:58.710423,House,4.0,1.0,400.0,"Cumberland Road, Plaistow",51.5231729,0.0259562
15,1050000,3 bedroom flat for sale,"Liner House, Royal Wharf, Docklands, London, E16",http://www.rightmove.co.uk/properties/133938860#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Canary-Wharf-48101.html,E16,,3.0,2023-06-26 19:39:58.710423,Flat,3.0,2.0,115.0,"Liner House, Royal Wharf",51.4993539,0.03057615312000967
21,1000000,3 bedroom flat for sale,"Falconbrook Gardens, Canning Town, LONDON, E16",http://www.rightmove.co.uk/properties/129101981#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Canary-Wharf-48101.html,E16,,3.0,2023-06-26 19:39:58.710423,Flat,3.0,2.0,99.0,"Falconbrook Gardens, Canning Town",51.5125373,0.009991835071942545
26,950000,3 bedroom semi-detached house for sale,"Abbey Lane, Stratford, London, E15",http://www.rightmove.co.uk/properties/133392587#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Stratford-80281.html,E15,,3.0,2023-06-26 19:39:58.710423,Semi-Detached,3.0,4.0,174.0,"Abbey Lane, Stratford",51.5333491,-0.0074514
36,900000,4 bedroom semi-detached house for sale,"Margery Park Road, E7 9LB, Forest Gate, London",http://www.rightmove.co.uk/properties/136467476#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Nested/Nationwide-65616.html,E7,E7 9LB,4.0,2023-06-26 19:39:58.710423,Semi-Detached,4.0,2.0,195.0,"Margery Park Road, E7 9LB",51.5436343,0.0202463
40,875000,3 bedroom flat for sale,"Corson House, Canning Town, London, E14",http://www.rightmove.co.uk/properties/136329533#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Canary-Wharf-48101.html,E14,,3.0,2023-06-26 19:39:58.710423,Flat,3.0,2.0,114.0,"Corson House, Canning Town",,
44,850000,2 bedroom duplex for sale,"Lookout Lane, City Island, E14",http://www.rightmove.co.uk/properties/131285102#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/MyLondonHome/Central-London-6464.html,E14,,2.0,2023-06-26 19:39:58.710423,Duplex,2.0,2.0,94.0,"Lookout Lane, City Island",51.5134112,0.0055702
49,846000,2 bedroom apartment for sale,"Modena House, London City Island, E14",http://www.rightmove.co.uk/properties/135668534#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/London-Property-Management/London-188891.html,E14,,2.0,2023-06-26 19:39:58.710423,Apartment,2.0,2.0,72.0,"Modena House, London City Island",51.5125988,0.005926214575645582
52,830000,3 bedroom apartment for sale,"46 Botanic Square, London",http://www.rightmove.co.uk/properties/134958683#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Districts-London/Canary-Wharf-245744.html,,,3.0,2023-06-26 19:39:58.710423,Apartment,3.0,2.0,90.0,"46 Botanic Square, London",51.5118378,0.006539884174711803
54,825000,2 bedroom apartment for sale,"Amelia House, City Island, E14",http://www.rightmove.co.uk/properties/131285006#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/MyLondonHome/Central-London-6464.html,E14,,2.0,2023-06-26 19:39:58.710423,Apartment,2.0,2.0,78.0,"Amelia House, City Island",51.5131804,0.005764184654678605
58,825000,2 bedroom apartment for sale,"Amelia House, 41 Lyell Street, City Island, E14",http://www.rightmove.co.uk/properties/131285138#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/MyLondonHome/Central-London-6464.html,E14,,2.0,2023-06-26 19:39:58.710423,Apartment,2.0,2.0,78.0,"Amelia House, 41 Lyell Street",51.5131804,0.005764184654678605
59,825000,2 bedroom apartment for sale,"Amelia House, 41 Lyell Street, Leamouth Peninsula, E14",http://www.rightmove.co.uk/properties/131285105#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/MyLondonHome/Central-London-6464.html,E14,,2.0,2023-06-26 19:39:58.710423,Apartment,2.0,2.0,75.0,"Amelia House, 41 Lyell Street",51.5131804,0.005764184654678605
60,825000,2 bedroom apartment for sale,"Amelia House, London City Island, E14",http://www.rightmove.co.uk/properties/130131347#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/London-Property-Management/London-188891.html,E14,,2.0,2023-06-26 19:39:58.710423,Apartment,2.0,1.0,78.0,"Amelia House, London City Island",51.5131804,0.005764184654678605
62,825000,2 bedroom apartment for sale,"Modena House, City Island, E14",http://www.rightmove.co.uk/properties/131284994#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/MyLondonHome/Central-London-6464.html,E14,,2.0,2023-06-26 19:39:58.710423,Apartment,2.0,2.0,72.0,"Modena House, City Island",51.5125988,0.005926214575645582
66,808000,2 bedroom apartment for sale,"Amelia House, London City Island, E14",http://www.rightmove.co.uk/properties/130131278#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/London-Property-Management/London-188891.html,E14,,2.0,2023-06-26 19:39:58.710423,Apartment,2.0,2.0,78.0,"Amelia House, London City Island",51.5131804,0.005764184654678605
67,800000,2 bedroom apartment for sale,"Amelia House, City Island, E14",http://www.rightmove.co.uk/properties/131285012#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/MyLondonHome/Central-London-6464.html,E14,,2.0,2023-06-26 19:39:58.710423,Apartment,2.0,2.0,78.0,"Amelia House, City Island",51.5131804,0.005764184654678605
69,800000,4 bedroom house for sale,"Dunmow Road, London, E15",http://www.rightmove.co.uk/properties/132538829#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Allen-Davies-and-Co/Leyton-6944.html,E15,,4.0,2023-06-26 19:39:58.710423,House,4.0,1.0,128.0,"Dunmow Road, London",51.5511741,0.0020727
71,800000,3 bedroom apartment for sale,"Unex Tower, 7 Station Street, London, E15",http://www.rightmove.co.uk/properties/131270258#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Alliance-London/London-77148.html,E15,,3.0,2023-06-26 19:39:58.710423,Apartment,3.0,2.0,111.0,"Unex Tower, 7 Station Street",51.540082299999995,-0.00149577689848307
74,800000,4 bedroom terraced house for sale,"Portway, London",http://www.rightmove.co.uk/properties/128358545#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Alexander-Rose-Estates-Powered-by-Keller-Williams/Covering-Stratford-235958.html,,,4.0,2023-06-26 19:39:58.710423,Terraced,4.0,2.0,178.0,"Portway, London",51.5369981,0.0156525
79,800000,6 bedroom terraced house for sale,"Margery Park Road, Forest Gate, East London, E7",http://www.rightmove.co.uk/properties/134491532#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Statuum/London-237224.html,E7,,6.0,2023-06-26 19:39:58.710423,Terraced,6.0,2.0,192.0,"Margery Park Road, Forest Gate",51.5436343,0.0202463
89,782750,2 bedroom apartment for sale,London City Island London E14 0TQ,http://www.rightmove.co.uk/properties/124290722#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Century-21-Heritage/Newham-105398.html,E14,E14 0TQ,2.0,2023-06-26 19:39:58.710423,Apartment,2.0,2.0,76.0,London City Island London E14 0TQ,51.51344,0.00682
90,777750,2 bedroom apartment for sale,London City Island London E14 0TQ,http://www.rightmove.co.uk/properties/124289540#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Century-21-Heritage/Newham-105398.html,E14,E14 0TQ,2.0,2023-06-26 19:39:58.710423,Apartment,2.0,2.0,76.0,London City Island London E14 0TQ,51.51344,0.00682
92,775000,3 bedroom apartment for sale,"Western Gateway, London, E16",http://www.rightmove.co.uk/properties/132474617#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Lixing/Canary-Wharf-225596.html,E16,,3.0,2023-06-26 19:39:58.710423,Apartment,3.0,3.0,95.0,"Western Gateway, London",51.5080599,0.0169831
99,750000,2 bedroom apartment for sale,"Amelia House, London City Island, E14",http://www.rightmove.co.uk/properties/130131245#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/London-Property-Management/London-188891.html,E14,,2.0,2023-06-26 19:39:58.710423,Apartment,2.0,2.0,78.0,"Amelia House, London City Island",51.5131804,0.005764184654678605
100,525000,3 bedroom terraced house for sale,"Parry Avenue, Beckton, London, E6",http://www.rightmove.co.uk/properties/133791314#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Canary-Wharf-48101.html,E6,,3.0,2023-06-26 19:39:58.710423,Terraced,3.0,1.0,92.0,"Parry Avenue, Beckton",51.509769,0.0560244
103,750000,2 bedroom flat for sale,"Bridgewater House, London City Island, E14",http://www.rightmove.co.uk/properties/86031180#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Huttons-and-Partners/London-257087.html,E14,,2.0,2023-06-26 19:39:58.710423,Flat,2.0,2.0,78.0,"Bridgewater House, London City Island",51.51370085,0.006221256406793014
