Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
3,2695000,9 bedroom detached house for sale,"The Drive, London, E18",http://www.rightmove.co.uk/properties/118743209#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/John-Thoma-Bespoke-Estate-Agency/Chigwell-Branch-121954.html,E18,,9.0,2023-06-26 19:25:57.812299,Detached,9.0,7.0,451.0,"The Drive, London",51.473375,-0.3510274
10,2200000,4 bedroom detached house for sale,"The Avenue, Wanstead E11",http://www.rightmove.co.uk/properties/135589163#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunt-Property-Services-Ltd/Woodford-Green-86834.html,E11,,4.0,2023-06-26 19:25:57.812299,Detached,4.0,2.0,230.0,"The Avenue, Wanstead E11",51.5782851,0.0314472
14,1800000,7 bedroom detached house for sale,"Clarence Gate, Repton Park, Woodford Green, Essex, IG8",http://www.rightmove.co.uk/properties/58480259#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/John-Thoma-Bespoke-Estate-Agency/Chigwell-Branch-121954.html,IG8,,7.0,2023-06-26 19:25:57.812299,Detached,7.0,4.0,348.0,"Clarence Gate, Repton Park",51.6047154,0.0680032
15,1800000,7 bedroom detached house for sale,"Clarence Gate, Woodford Green IG8",http://www.rightmove.co.uk/properties/128491322#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunt-Property-Services-Ltd/Woodford-Green-86834.html,IG8,,7.0,2023-06-26 19:25:57.812299,Detached,7.0,4.0,429.0,"Clarence Gate, Woodford Green IG8",,
19,1650000,4 bedroom detached house for sale,"Mornington Road, Woodford Green",http://www.rightmove.co.uk/properties/134397614#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/William-Rose/Woodford-202865.html,,,4.0,2023-06-26 19:25:57.812299,Detached,4.0,3.0,258.0,"Mornington Road, Woodford Green",51.6175948,0.0168369
30,1500000,4 bedroom detached house for sale,"The Warren Drive, London, E11",http://www.rightmove.co.uk/properties/136108838#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Youngs-Residential/Covering-Essex-252509.html,E11,,4.0,2023-06-26 19:25:57.812299,Detached,4.0,1.0,130.0,"The Warren Drive, London",51.5711352,0.0367852
31,1499999,7 bedroom semi-detached house for sale,"Aldersbrook Road, Wanstead, London, E12",http://www.rightmove.co.uk/properties/136434644#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Wanstead-590.html,E12,,7.0,2023-06-26 19:25:57.812299,Semi-Detached,7.0,3.0,316.0,"Aldersbrook Road, Wanstead",51.5629899,0.031414
46,1300000,5 bedroom terraced house for sale,"Regents Drive, Repton Park, Woodford Green, Essex",http://www.rightmove.co.uk/properties/136445108#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunt-Property-Services-Ltd/Woodford-Green-86834.html,,,5.0,2023-06-26 19:25:57.812299,Terraced,5.0,3.0,251.0,"Regents Drive, Repton Park",,
53,1250000,4 bedroom detached house for sale,"Knighton Drive, Woodford Green, IG8",http://www.rightmove.co.uk/properties/131827565#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Durden-and-Hunt/Loughton-203339.html,IG8,,4.0,2023-06-26 19:25:57.812299,Detached,4.0,2.0,176.0,"Knighton Drive, Woodford Green",51.6166469,0.0292768
64,1200000,6 bedroom end of terrace house for sale,"Endsleigh Gardens, Ilford",http://www.rightmove.co.uk/properties/134791472#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Butler-and-Stag/Theydon-Bois-174029.html,,,6.0,2023-06-26 19:25:57.812299,End of Terrace,6.0,3.0,212.0,"Endsleigh Gardens, Ilford",51.5643022,0.0589846
65,1200000,7 bedroom terraced house for sale,"Northbrook Road, Ilford IG1 3BP",http://www.rightmove.co.uk/properties/134856635#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Century-21-Heritage/Newham-105398.html,IG1,IG1 3BP,7.0,2023-06-26 19:25:57.812299,Terraced,7.0,2.0,245.0,"Northbrook Road, Ilford IG1 3BP",51.5601431,0.0629377
76,1100000,3 bedroom semi-detached house for sale,"Gloucester Road, Wanstead - New Build House",http://www.rightmove.co.uk/properties/132928139#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/West-Essex-Property-Services-Ltd/Woodford-Green-76828.html,,,3.0,2023-06-26 19:25:57.812299,Semi-Detached,3.0,1.0,115.0,"Gloucester Road, Wanstead - New Build House",,
80,1100000,5 bedroom town house for sale,"Brandesbury Square, Repton Park, Chigwell, Essex, IG8",http://www.rightmove.co.uk/properties/128815613#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/John-Thoma-Bespoke-Estate-Agency/Chigwell-Branch-121954.html,IG8,,5.0,2023-06-26 19:25:57.812299,Town House,5.0,3.0,234.0,"Brandesbury Square, Repton Park",51.6038339,0.069906
85,1050000,4 bedroom semi-detached house for sale,"Emerson Road, Ilford, IG1",http://www.rightmove.co.uk/properties/133392344#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Ilford-181058.html,IG1,,4.0,2023-06-26 19:25:57.812299,Semi-Detached,4.0,3.0,198.0,"Emerson Road, Ilford",51.5714107,0.0665473
91,1000000,5 bedroom detached house for sale,"Hazel Lane, Chigwell Borders, Essex, IG6",http://www.rightmove.co.uk/properties/131450561#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Durden-and-Hunt/Loughton-203339.html,IG6,,5.0,2023-06-26 19:25:57.812299,Detached,5.0,3.0,185.0,"Hazel Lane, Chigwell Borders",,
93,1000000,6 bedroom detached house for sale,"Forest Road, Ilford, IG6",http://www.rightmove.co.uk/properties/134859950#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tyron-Ash-Real-Estate/Mayfair-215642.html,IG6,,6.0,2023-06-26 19:25:57.812299,Detached,6.0,4.0,282.0,"Forest Road, Ilford",51.6040458,0.11741094789287199
