Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
20,5250000,6 bedroom semi-detached house for sale,Laurel Road SW13,http://www.rightmove.co.uk/properties/136318340#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Wilfords-London/Wandsworth-260447.html,SW13,,6.0,2023-06-26 09:01:21.056240,Semi-Detached,6.0,4.0,358.0,Laurel Road SW13,52.6293022,-1.1099063
26,4950000,8 bedroom house for sale,"Prestbury House, Hampton Court Road, East Molesey, KT8",http://www.rightmove.co.uk/properties/129844313#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/Mayfair---Resale-79099.html,KT8,,8.0,2023-06-26 09:01:21.056240,House,8.0,5.0,679.0,"Prestbury House, Hampton Court Road",,
30,4500000,8 bedroom detached house for sale,"Orchard Rise, Richmond. TW10 5BX",http://www.rightmove.co.uk/properties/132170297#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Randall-Price/London-254981.html,TW10,TW10 5BX,8.0,2023-06-26 09:01:21.056240,Detached,8.0,6.0,492.0,"Orchard Rise, Richmond. TW10 5BX",51.4627312,-0.2806
36,4150000,6 bedroom detached house for sale,"West Hall Road, Richmond, TW9",http://www.rightmove.co.uk/properties/85057422#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/Richmond-218669.html,TW9,,6.0,2023-06-26 09:01:21.056240,Detached,6.0,2.0,459.0,"West Hall Road, Richmond",51.4753568,-0.2790477
39,3995950,7 bedroom detached house for sale,"Sheen Road, Richmond, Surrey",http://www.rightmove.co.uk/properties/135587081#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keller-Williams-Prime-Properties/London-146753.html,,,7.0,2023-06-26 09:01:21.056240,Detached,7.0,4.0,297.0,"Sheen Road, Richmond",51.4611873,-0.3014888
52,3500000,6 bedroom semi-detached house for sale,"York Avenue, London. SW14 7LG",http://www.rightmove.co.uk/properties/134053667#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Randall-Price/London-254981.html,SW14,SW14 7LG,6.0,2023-06-26 09:01:21.056240,Semi-Detached,6.0,4.0,344.0,"York Avenue, London. SW14 7LG",51.4594566,-0.2699413
62,3300000,5 bedroom semi-detached house for sale,"Queens Ride, Barnes, SW13",http://www.rightmove.co.uk/properties/133869608#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/Richmond-218669.html,SW13,,5.0,2023-06-26 09:01:21.056240,Semi-Detached,5.0,4.0,321.0,"Queens Ride, Barnes",51.4652492,-0.2420981
79,2925000,6 bedroom detached house for sale,"Broom Water West, Teddington",http://www.rightmove.co.uk/properties/134023742#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Milestone-and-Collis/Heath-Road-72961.html,,,6.0,2023-06-26 09:01:21.056240,Detached,6.0,2.0,220.0,"Broom Water West, Teddington",51.427276,-0.3151825
84,2800000,6 bedroom semi-detached house for sale,"Sandycombe Road, Kew Surrey, TW9",http://www.rightmove.co.uk/properties/128649623#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Tyron-Ash-Real-Estate/Mayfair-215642.html,TW9,,6.0,2023-06-26 09:01:21.056240,Semi-Detached,6.0,4.0,260.0,"Sandycombe Road, Kew Surrey",,
86,2800000,9 bedroom detached house for sale,"Sandycombe Road, Richmond, TW9",http://www.rightmove.co.uk/properties/122879453#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/Richmond-218669.html,TW9,,9.0,2023-06-26 09:01:21.056240,Detached,9.0,8.0,265.0,"Sandycombe Road, Richmond",51.4709745,-0.287554
