Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
11,3800000.0,2 bedroom flat for sale,"One Tower Bridge, London Bridge, London, SE1",http://www.rightmove.co.uk/properties/126996509#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/London-Bridge-55101.html,SE1,,2.0,2023-06-26 07:11:18.291338,Flat,2.0,2.0,123.0,"One Tower Bridge, London Bridge",51.504103,-0.0769001
15,3500000.0,5 bedroom detached house for sale,"Alleyn Road, Dulwich",http://www.rightmove.co.uk/properties/134092538#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Harvey-and-Wheeler/Dulwich-Village-51912.html,,,5.0,2023-06-26 07:11:18.291338,Detached,5.0,3.0,261.0,"Alleyn Road, Dulwich",51.432408,-0.0879459
18,3500000.0,3 bedroom character property for sale,"Doyce Street, London, SE1",http://www.rightmove.co.uk/properties/127633754#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Classic-and-Contemporary/London-240368.html,SE1,,3.0,2023-06-26 07:11:18.291338,Character Property,3.0,2.0,432.0,"Doyce Street, London",51.5029468,-0.0964615
19,3500000.0,3 bedroom flat for sale,"St. Gabriel Walk, Elephant and Castle, London, SE1",http://www.rightmove.co.uk/properties/130734497#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Elephant-and-Castle-253853.html,SE1,,3.0,2023-06-26 07:11:18.291338,Flat,3.0,3.0,166.0,"St. Gabriel Walk, Elephant and Castle",,
21,3500000.0,3 bedroom penthouse for sale,"1 St. Gabriel Walk, London, SE1",http://www.rightmove.co.uk/properties/131351420#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/McMahon-and-Partners/London-65019.html,SE1,,3.0,2023-06-26 07:11:18.291338,Penthouse,3.0,3.0,177.0,"1 St. Gabriel Walk, London",,
25,3000000.0,5 bedroom semi-detached house for sale,"Brunel Road, London SE16",http://www.rightmove.co.uk/properties/133259747#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,SE16,,5.0,2023-06-26 07:11:18.291338,Semi-Detached,5.0,3.0,475.0,"Brunel Road, London SE16",,
29,3000000.0,5 bedroom semi-detached house for sale,"Brunel Road, Rotherhithe, London, SE16",http://www.rightmove.co.uk/properties/134352113#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/London-Bridge-55101.html,SE16,,5.0,2023-06-26 07:11:18.291338,Semi-Detached,5.0,3.0,474.0,"Brunel Road, Rotherhithe",51.5007743,-0.0517748
30,3000000.0,5 bedroom semi-detached house for sale,"Brunel Road, London SE16",http://www.rightmove.co.uk/properties/133259747#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,SE16,,5.0,2023-06-26 07:11:18.291338,Semi-Detached,5.0,3.0,475.0,"Brunel Road, London SE16",,
31,3000000.0,2 bedroom flat for sale,"Crown Square, London, SE1",http://www.rightmove.co.uk/properties/131477657#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/SJW-Sales/London-251108.html,SE1,,2.0,2023-06-26 07:11:18.291338,Flat,2.0,2.0,91.0,"Crown Square, London",51.524964100000005,-0.14606890800711908
36,2950000.0,5 bedroom semi-detached house for sale,"Court Lane, Dulwich",http://www.rightmove.co.uk/properties/134817167#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Harvey-and-Wheeler/Dulwich-Village-51912.html,,,5.0,2023-06-26 07:11:18.291338,Semi-Detached,5.0,2.0,246.0,"Court Lane, Dulwich",51.4491378,-0.0811462
43,2750000.0,7 bedroom detached house for sale,"Red Post Hill, Dulwich Village",http://www.rightmove.co.uk/properties/86179443#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Harvey-and-Wheeler/Dulwich-Village-51912.html,,,7.0,2023-06-26 07:11:18.291338,Detached,7.0,2.0,246.0,"Red Post Hill, Dulwich Village",51.4533348,-0.0876285
44,2750000.0,2 bedroom flat for sale,"Bermondsey Street, London Bridge, London, SE1",http://www.rightmove.co.uk/properties/133736909#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/London-Bridge-55101.html,SE1,,2.0,2023-06-26 07:11:18.291338,Flat,2.0,2.0,253.0,"Bermondsey Street, London Bridge",51.5048764,-0.0851473
45,2750000.0,1 bedroom flat for sale,"Gemini House, Bermondsey St., SE1",http://www.rightmove.co.uk/properties/133712522#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Daniel-Cobb/London-Bridge-58945.html,SE1,,1.0,2023-06-26 07:11:18.291338,Flat,1.0,2.0,257.0,"Gemini House, Bermondsey St.",51.49884575,-0.08161246588325974
46,2750000.0,1 bedroom flat for sale,"Gemini House, Bermondsey, SE1",http://www.rightmove.co.uk/properties/134317973#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Urban-Spaces/Loft-Living-and-Unique-Properties-167390.html,SE1,,1.0,2023-06-26 07:11:18.291338,Flat,1.0,2.0,246.0,"Gemini House, Bermondsey",51.49884575,-0.08161246588325974
54,2650000.0,2 bedroom block of apartments for sale,"Plantain Place,London SE1",http://www.rightmove.co.uk/properties/127080347#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,SE1,,2.0,2023-06-26 07:11:18.291338,Block of Apartments,2.0,2.0,188.0,"Plantain Place,London SE1",,
