Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
11,3650000.0,6 bedroom house for sale,"Ferry Street, Isle Of Dogs, London, E14",http://www.rightmove.co.uk/properties/134604473#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank/Canary-Wharf-65800.html,E14,,6.0,2023-06-26 07:24:39.660391,House,6.0,3.0,368.0,"Ferry Street, Isle Of Dogs",51.4872434,-0.0133325
14,3500000.0,4 bedroom flat for sale,"Ivory House, St Katharine Docks, London, E1W",http://www.rightmove.co.uk/properties/135717536#/?channel=RES_BUY,http://www.rightmove.co.uk/developer/branch/Canary-Wharf-Group/Canary-Wharf-Residential-170396.html,E1W,,4.0,2023-06-26 07:24:39.660391,Flat,4.0,3.0,194.0,"Ivory House, St Katharine Docks",51.5072075,-0.0715899
20,3250000.0,6 bedroom terraced house for sale,"Mile End Road, Bethnal Green, London, E1",http://www.rightmove.co.uk/properties/135891860#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Canary-Wharf-and-Docklands-31566.html,E1,,6.0,2023-06-26 07:24:39.660391,Terraced,6.0,3.0,409.0,"Mile End Road, Bethnal Green",51.5218572,-0.0461905
21,3200000.0,3 bedroom penthouse for sale,"Pierpoint Building, 
16 Westferry Road, E14",http://www.rightmove.co.uk/properties/132587942#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Estate-Agency/London-261875.html,E14,,3.0,2023-06-26 07:24:39.660391,Penthouse,3.0,2.0,271.0,"Pierpoint Building, 
16 Westferry Road",51.500877599999995,-0.02710593760146457
22,3000000.0,3 bedroom penthouse for sale,"The Penthouse at Dollar Bay Place, Canary Wharf, London E14",http://www.rightmove.co.uk/properties/136495130#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Stirling-Ackroyd/New-Homes-192272.html,E14,,3.0,2023-06-26 07:24:39.660391,Penthouse,3.0,3.0,349.0,"The Penthouse at Dollar Bay Place, Canary Wharf",,
26,3000000.0,3 bedroom terraced house for sale,"Peary Place, London E2",http://www.rightmove.co.uk/properties/134818385#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,E2,,3.0,2023-06-26 07:24:39.660391,Terraced,3.0,3.0,257.0,"Peary Place, London E2",51.5282231,-0.0504831
29,2500000.0,5 bedroom house boat for sale,"St Katharine Docks, Wapping, E1W",http://www.rightmove.co.uk/properties/81530652#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/RiverHomes/South-West-London-11121.html,E1W,,5.0,2023-06-26 07:24:39.660391,House Boat,5.0,3.0,479.0,"St Katharine Docks, Wapping",51.5065406,-0.0716502
42,2100000.0,4 bedroom house for sale,"Wapping High St, Wapping, London, E1W",http://www.rightmove.co.uk/properties/136147337#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Benham-and-Reeves/Canary-Wharf-245858.html,E1W,,4.0,2023-06-26 07:24:39.660391,House,4.0,3.0,147.0,"Wapping High St, Wapping",51.5044344,-0.0560206
54,1950000.0,3 bedroom penthouse for sale,"South Quay Plaza, 
Canary Wharf, E14",http://www.rightmove.co.uk/properties/136010069#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-New-Homes/Chestertons-New-Homes-145391.html,E14,,3.0,2023-06-26 07:24:39.660391,Penthouse,3.0,3.0,116.0,"South Quay Plaza, 
Canary Wharf",51.500497800000005,-0.017420001373354938
66,1800000.0,2 bedroom flat for sale,"Heneage Street II, London E1",http://www.rightmove.co.uk/properties/134075462#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Modern-House/London-65243.html,E1,,2.0,2023-06-26 07:24:39.660391,Flat,2.0,2.0,177.0,"Heneage Street II, London E1",,
