Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
0,600000,3 bedroom house for sale,"Lewis Avenue, London",http://www.rightmove.co.uk/properties/86224011#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Churchill-Estates/Walthamstow-10145.html,,,3.0,2023-06-26 19:53:57.370699,House,3.0,1.0,88.0,"Lewis Avenue, London",51.5988269,-0.0189009
2,1850000,5 bedroom house for sale,"Green Lane, Bury Road, Chingford",http://www.rightmove.co.uk/properties/134573897#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Butler-and-Stag/Buckhurst-Hill-251576.html,,,5.0,2023-06-26 19:53:57.370699,House,5.0,4.0,341.0,"Green Lane, Bury Road",53.57575475,-2.3405314000000006
10,1400000,5 bedroom detached house for sale,"Oakhurst Gardens, London, E17",http://www.rightmove.co.uk/properties/134165912#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Next-Home-Ltd/Leyton-38072.html,E17,,5.0,2023-06-26 19:53:57.370699,Detached,5.0,3.0,360.0,"Oakhurst Gardens, London",51.6299454,0.0176464
11,1250000,5 bedroom house for sale,"The Ridgeway, Chingford",http://www.rightmove.co.uk/properties/131792654#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Butler-and-Stag/Buckhurst-Hill-251576.html,,,5.0,2023-06-26 19:53:57.370699,House,5.0,3.0,240.0,"The Ridgeway, Chingford",51.630377,-0.0027424
21,1175000,6 bedroom semi-detached house for sale,"Lodge Villas, Woodford Green, IG8",http://www.rightmove.co.uk/properties/132290570#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Durden-and-Hunt/Loughton-203339.html,IG8,,6.0,2023-06-26 19:53:57.370699,Semi-Detached,6.0,4.0,253.0,"Lodge Villas, Woodford Green",51.6051414,0.0179271
24,1150000,5 bedroom semi-detached house for sale,"Hempstead Road, London",http://www.rightmove.co.uk/properties/86175063#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/haart/Walthamstow-11600.html,,,5.0,2023-06-26 19:53:57.370699,Semi-Detached,5.0,2.0,212.0,"Hempstead Road, London",51.591792,0.0016198
31,1050000,4 bedroom semi-detached house for sale,"Mornington Road, Chingford",http://www.rightmove.co.uk/properties/86157234#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Daniel-Frank-Estates/West-Essex-247421.html,,,4.0,2023-06-26 19:53:57.370699,Semi-Detached,4.0,2.0,131.0,"Mornington Road, Chingford",51.6341076,0.001975
32,1050000,6 bedroom terraced house for sale,"Colworth Road, Leytonstone",http://www.rightmove.co.uk/properties/86039883#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Petty-Son-and-Prestwich-Ltd/London-70202.html,,,6.0,2023-06-26 19:53:57.370699,Terraced,6.0,3.0,171.0,"Colworth Road, Leytonstone",51.5745168,0.0078987
37,999995,4 bedroom detached house for sale,"Gordon Road, North Chingford, E4",http://www.rightmove.co.uk/properties/130384379#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Coultons/North-Chingford-115756.html,E4,,4.0,2023-06-26 19:53:57.370699,Detached,4.0,1.0,148.0,"Gordon Road, North Chingford",,
42,950000,5 bedroom terraced house for sale,"Barrett Road, London E17",http://www.rightmove.co.uk/properties/131034458#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Hunt-Property-Services-Ltd/Woodford-Green-86834.html,E17,,5.0,2023-06-26 19:53:57.370699,Terraced,5.0,2.0,143.0,"Barrett Road, London E17",51.5843163,-0.0055456
43,925000,3 bedroom house for sale,"Stainforth Road, Walthamstow",http://www.rightmove.co.uk/properties/134626736#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Churchill-Estates/Walthamstow-10145.html,,,3.0,2023-06-26 19:53:57.370699,House,3.0,2.0,174.0,"Stainforth Road, Walthamstow",51.5841046,-0.0178263
56,900000,4 bedroom semi-detached house for sale,"Hollywood Way, Woodford Green",http://www.rightmove.co.uk/properties/135099671#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/William-Rose/Highams-Park-80721.html,,,4.0,2023-06-26 19:53:57.370699,Semi-Detached,4.0,1.0,121.0,"Hollywood Way, Woodford Green",,
60,895000,3 bedroom house for sale,"Ravenswood Road, Walthamstow, London",http://www.rightmove.co.uk/properties/136508327#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Settle/London-244682.html,,,3.0,2023-06-26 19:53:57.370699,House,3.0,1.0,110.0,"Ravenswood Road, Walthamstow",51.5834535,-0.0082904
61,885000,4 bedroom semi-detached house for sale,"Warren Road, London, E4",http://www.rightmove.co.uk/properties/133079534#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Durden-and-Hunt/Loughton-203339.html,E4,,4.0,2023-06-26 19:53:57.370699,Semi-Detached,4.0,3.0,203.0,"Warren Road, London",51.3572677,0.1084637
62,875000,6 bedroom terraced house for sale,"Lea Bridge Road, Walthamstow, London, E10",http://www.rightmove.co.uk/properties/136147325#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Walthamstow-137369.html,E10,,6.0,2023-06-26 19:53:57.370699,Terraced,6.0,2.0,175.0,"Lea Bridge Road, Walthamstow",51.5668178,-0.0344692
73,850000,3 bedroom end of terrace house for sale,"Pretoria Avenue, London",http://www.rightmove.co.uk/properties/136218884#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/haart/Walthamstow-11600.html,,,3.0,2023-06-26 19:53:57.370699,End of Terrace,3.0,1.0,943.0,"Pretoria Avenue, London",51.5826857,-0.0337283
75,450000,2 bedroom maisonette for sale,"Theydon Street, Walthamstow",http://www.rightmove.co.uk/properties/133670717#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/haart/Walthamstow-11600.html,,,2.0,2023-06-26 19:53:57.370699,Maisonette,2.0,1.0,74.0,"Theydon Street, Walthamstow",51.5723418,-0.0289436
78,850000,4 bedroom semi-detached house for sale,"Long Deacon Road, North Chingford",http://www.rightmove.co.uk/properties/132712463#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Churchill-Estates/North-Chingford-10141.html,,,4.0,2023-06-26 19:53:57.370699,Semi-Detached,4.0,2.0,146.0,"Long Deacon Road, North Chingford",,
79,850000,3 bedroom semi-detached house for sale,"The Risings, London",http://www.rightmove.co.uk/properties/136124864#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/haart/Walthamstow-11600.html,,,3.0,2023-06-26 19:53:57.370699,Semi-Detached,3.0,1.0,100.0,"The Risings, London",51.5856813,0.0025913
86,825000,3 bedroom terraced house for sale,"Melbourne Road, Walthamstow, London, E17",http://www.rightmove.co.uk/properties/135948872#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Walthamstow-137369.html,E17,,3.0,2023-06-26 19:53:57.370699,Terraced,3.0,1.0,110.0,"Melbourne Road, Walthamstow",51.5717933,-0.0158366
91,825000,3 bedroom semi-detached house for sale,"Hainault Road, LONDON",http://www.rightmove.co.uk/properties/133973507#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/haart/South-Woodford-11459.html,,,3.0,2023-06-26 19:53:57.370699,Semi-Detached,3.0,2.0,883.0,"Hainault Road, LONDON",51.5945439,0.1161055
96,800000,3 bedroom terraced house for sale,"Byron Road, Walthamstow, London, E17",http://www.rightmove.co.uk/properties/132415475#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Walthamstow-137369.html,E17,,3.0,2023-06-26 19:53:57.370699,Terraced,3.0,1.0,81.0,"Byron Road, Walthamstow",51.5881506,-0.017724
100,240000,1 bedroom apartment for sale,"Tower Mews, Walthamstow",http://www.rightmove.co.uk/properties/136253048#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Churchill-Estates/Walthamstow-10145.html,,,1.0,2023-06-26 19:53:57.370699,Apartment,1.0,1.0,51.0,"Tower Mews, Walthamstow",51.5841167,-0.0197366
105,800000,3 bedroom house for sale,"Waterhall Avenue, Highams Park",http://www.rightmove.co.uk/properties/135269897#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Churchill-Estates/South-Chingford-10142.html,,,3.0,2023-06-26 19:53:57.370699,House,3.0,1.0,90.0,"Waterhall Avenue, Highams Park",51.618152,0.0079444
109,800000,5 bedroom house for sale,"Dunedin Road, London",http://www.rightmove.co.uk/properties/125778371#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Prestige-and-Village/Old-Harlow-77472.html,,,5.0,2023-06-26 19:53:57.370699,House,5.0,2.0,146.0,"Dunedin Road, London",51.5576836,-0.0124826
111,800000,5 bedroom house for sale,"Apollo Place, Leytonstone, London, E11",http://www.rightmove.co.uk/properties/125050832#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Stratford-80281.html,E11,,5.0,2023-06-26 19:53:57.370699,House,5.0,2.0,175.0,"Apollo Place, Leytonstone",51.5586939,0.0052712
114,800000,4 bedroom house for sale,"Vicarage Road, Leyton, E10",http://www.rightmove.co.uk/properties/132032888#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Allen-Davies-and-Co/Leyton-6944.html,E10,,4.0,2023-06-26 19:53:57.370699,House,4.0,1.0,107.0,"Vicarage Road, Leyton",51.5712612,-0.0178574
121,800000,4 bedroom house for sale,"Kings Head Hill, Chingford",http://www.rightmove.co.uk/properties/132195998#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Butler-and-Stag/Buckhurst-Hill-251576.html,,,4.0,2023-06-26 19:53:57.370699,House,4.0,2.0,182.0,"Kings Head Hill, Chingford",51.6317731,-0.0023913
126,790000,5 bedroom terraced house for sale,"Garner Road, Walthamstow, London, E17",http://www.rightmove.co.uk/properties/132376754#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Walthamstow-137369.html,E17,,5.0,2023-06-26 19:53:57.370699,Terraced,5.0,2.0,165.0,"Garner Road, Walthamstow",51.6003412,-0.008029
127,775000,4 bedroom semi-detached house for sale,"Beacontree Avenue, Walthamstow E17",http://www.rightmove.co.uk/properties/136033109#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Allen-Davies-and-Co/Leyton-6944.html,E17,,4.0,2023-06-26 19:53:57.370699,Semi-Detached,4.0,2.0,131.0,"Beacontree Avenue, Walthamstow E17",51.5959727,0.0044424
128,775000,5 bedroom terraced house for sale,"Warren Road, Leyton, London, E10",http://www.rightmove.co.uk/properties/136147322#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Walthamstow-137369.html,E10,,5.0,2023-06-26 19:53:57.370699,Terraced,5.0,2.0,190.0,"Warren Road, Leyton",51.5605438,-0.0023891
130,775000,5 bedroom terraced house for sale,"Garner Road, Walthamstow E17 4HG",http://www.rightmove.co.uk/properties/136180181#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Century-21-Heritage/Newham-105398.html,E17,E17 4HG,5.0,2023-06-26 19:53:57.370699,Terraced,5.0,2.0,159.0,"Garner Road, Walthamstow E17 4HG",51.6003412,-0.008029
136,775000,3 bedroom terraced house for sale,"St Johns Road, Walthamstow, London, E17",http://www.rightmove.co.uk/properties/134715257#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Walthamstow-137369.html,E17,,3.0,2023-06-26 19:53:57.370699,Terraced,3.0,2.0,160.0,"St Johns Road, Walthamstow",51.59353,-0.0083087
140,770000,5 bedroom detached house for sale,"Leslie Road, Leytonstone, E11",http://www.rightmove.co.uk/properties/136094882#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Francis-and-Friends/Leyton-251015.html,E11,,5.0,2023-06-26 19:53:57.370699,Detached,5.0,2.0,126.0,"Leslie Road, Leytonstone",,
149,750000,4 bedroom house for sale,"Pentire Road, Walthamstow, E17",http://www.rightmove.co.uk/properties/131814782#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Allen-Davies-and-Co/Leyton-6944.html,E17,,4.0,2023-06-26 19:53:57.370699,House,4.0,1.0,134.0,"Pentire Road, Walthamstow",51.5978662,0.0011732
152,750000,3 bedroom house for sale,"College Road, Walthamstow, E17",http://www.rightmove.co.uk/properties/129553799#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Allen-Davies-and-Co/Leyton-6944.html,E17,,3.0,2023-06-26 19:53:57.370699,House,3.0,1.0,93.0,"College Road, Walthamstow",51.578928,-0.0084371
