Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
12,915000,1 bedroom flat for sale,"The Phoenix, Bird Street, Marylebone W1U",http://www.rightmove.co.uk/properties/136527779#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Napier-Watt-Limited/London-83443.html,W1U,,1.0,2023-06-26 04:30:22.388130,Flat,1.0,1.0,49.0,"The Phoenix, Bird Street",,
14,5500000,7 bedroom terraced house for sale,"Southwick Place, 
Hyde Park, W2",http://www.rightmove.co.uk/properties/136518986#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Hyde-Park-31602.html,W2,,7.0,2023-06-26 04:30:22.388130,Terraced,7.0,6.0,394.0,"Southwick Place, 
Hyde Park",,
15,700000,1 bedroom flat for sale,"Westbourne Grove, 
Notting Hill, W2",http://www.rightmove.co.uk/properties/136518971#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Notting-Hill-97522.html,W2,,1.0,2023-06-26 04:30:22.388130,Flat,1.0,1.0,48.0,"Westbourne Grove, 
Notting Hill",51.5135978,-0.202874
17,2250000,3 bedroom flat for sale,"Greville House, 
Kinnerton Street, SW1X",http://www.rightmove.co.uk/properties/134594003#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Knightsbridge-31608.html,SW1X,,3.0,2023-06-26 04:30:22.388130,Flat,3.0,2.0,109.0,"Greville House, 
Kinnerton Street",,
18,7500000,4 bedroom penthouse for sale,"Great Marlborough Street, London, W1F",http://www.rightmove.co.uk/properties/136516325#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/AS-Property-Avenue-Ltd/London-262076.html,W1F,,4.0,2023-06-26 04:30:22.388130,Penthouse,4.0,4.0,219.0,"Great Marlborough Street, London",51.5138453,-0.1407526
22,19750000,5 bedroom terraced house for sale,"Portland Place, Marylebone, W1B",http://www.rightmove.co.uk/properties/134353040#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/St-Johns-Wood-79914.html,W1B,,5.0,2023-06-26 04:30:22.388130,Terraced,5.0,6.0,759.0,"Portland Place, Marylebone",51.5228303,-0.1462367
23,950000,2 bedroom flat for sale,"Leinster Square, Bayswater, London, W2",http://www.rightmove.co.uk/properties/136510076#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Notting-Hill-15945.html,W2,,2.0,2023-06-26 04:30:22.388130,Flat,2.0,1.0,72.0,"Leinster Square, Bayswater",51.5137809,-0.1935352
24,1200000,2 bedroom flat for sale,"Cleveland Gardens, Bayswater, London, W2",http://www.rightmove.co.uk/properties/136510079#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Notting-Hill-15945.html,W2,,2.0,2023-06-26 04:30:22.388130,Flat,2.0,1.0,58.0,"Cleveland Gardens, Bayswater",51.5152578,-0.1835264
26,425000,1 bedroom flat for sale,"Park West, W2, Hyde Park Estate, London, W2",http://www.rightmove.co.uk/properties/136510001#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Marylebone-76585.html,W2,,1.0,2023-06-26 04:30:22.388130,Flat,1.0,1.0,41.0,"Park West, W2",53.7499352,-1.4770617
27,1795000,2 bedroom flat for sale,"Hyde Park Street, W2, Hyde Park Estate, London, W2",http://www.rightmove.co.uk/properties/136510004#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Marylebone-76585.html,W2,,2.0,2023-06-26 04:30:22.388130,Flat,2.0,2.0,83.0,"Hyde Park Street, W2",51.5129119,-0.1676855
29,590000,1 bedroom flat for sale,"Medway Street, Westminster, London, SW1P",http://www.rightmove.co.uk/properties/134638514#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Pimlico-84889.html,SW1P,,1.0,2023-06-26 04:30:22.388130,Flat,1.0,1.0,43.0,"Medway Street, Westminster",51.4953928,-0.1318757
42,1400000,2 bedroom flat for sale,"Weymouth Mews, London W1",http://www.rightmove.co.uk/properties/136504094#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Inigo/London-233495.html,W1,,2.0,2023-06-26 04:30:22.388130,Flat,2.0,1.0,78.0,"Weymouth Mews, London W1",51.52072,-0.1463306
43,925000,2 bedroom apartment for sale,"Marylebone Road, London, NW1",http://www.rightmove.co.uk/properties/136503800#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Goldman-Greg-Housing-Management/London-225413.html,NW1,,2.0,2023-06-26 04:30:22.388130,Apartment,2.0,2.0,87.0,"Marylebone Road, London",51.52191,-0.1584097
45,5350000,3 bedroom apartment for sale,"Wilton Crescent, London, SW1X",http://www.rightmove.co.uk/properties/136501586#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Savills/Sloane-Street-48943.html,SW1X,,3.0,2023-06-26 04:30:22.388130,Apartment,3.0,1.0,157.0,"Wilton Crescent, London",51.4129773,-0.2063679
47,1695000,3 bedroom flat for sale,"Richbourne Court, Harrowby Street, Marylebone, London W1H",http://www.rightmove.co.uk/properties/136497941#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Napier-Watt-Limited/London-83443.html,W1H,,3.0,2023-06-26 04:30:22.388130,Flat,3.0,3.0,131.0,"Richbourne Court, Harrowby Street",51.517017800000005,-0.16470234396886363
48,875000,2 bedroom flat for sale,"Gloucester Place, London, W1U",http://www.rightmove.co.uk/properties/135162791#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/York-Estates/London-67690.html,W1U,,2.0,2023-06-26 04:30:22.388130,Flat,2.0,1.0,52.0,"Gloucester Place, London",51.5226561,-0.1601017
49,2300000,2 bedroom apartment for sale,"Devonshire Place, Marylebone, W1G",http://www.rightmove.co.uk/properties/136496639#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Beauchamp-Estates-Ltd/St-Johns-Wood-79914.html,W1G,,2.0,2023-06-26 04:30:22.388130,Apartment,2.0,2.0,103.0,"Devonshire Place, Marylebone",51.5232067,-0.1504184
54,1000000,3 bedroom flat for sale,"Castellain Road, Maida Vale, London, W9",http://www.rightmove.co.uk/properties/134710856#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Maida-Vale-151658.html,W9,,3.0,2023-06-26 04:30:22.388130,Flat,3.0,2.0,90.0,"Castellain Road, Maida Vale",51.5242044,-0.1848706
60,450000,1 bedroom apartment for sale,"Talbot Road, Notting Hill W2",http://www.rightmove.co.uk/properties/132074270#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/CHARMILL-RESIDENTIAL/London-233558.html,W2,,1.0,2023-06-26 04:30:22.388130,Apartment,1.0,1.0,29.0,"Talbot Road, Notting Hill W2",51.5161047,-0.203932
61,1500000,3 bedroom apartment for sale,"Garden Road, St John's Wood NW8",http://www.rightmove.co.uk/properties/134675267#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/CHARMILL-RESIDENTIAL/London-233558.html,NW8,,3.0,2023-06-26 04:30:22.388130,Apartment,3.0,3.0,111.0,"Garden Road, St John's Wood NW8",,
70,650000,2 bedroom flat for sale,"Vauxhall Bridge Road, SW1V",http://www.rightmove.co.uk/properties/136472402#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Douglas-and-Gordon/Pimlico-34271.html,SW1V,,2.0,2023-06-26 04:30:22.388130,Flat,2.0,1.0,64.0,"Vauxhall Bridge Road, SW1V",51.489547,-0.1312224
71,2495000,3 bedroom flat for sale,"George Street, London W1H",http://www.rightmove.co.uk/properties/132333500#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Napier-Watt-Limited/London-83443.html,W1H,,3.0,2023-06-26 04:30:22.388130,Flat,3.0,3.0,130.0,"George Street, London W1H",,
74,1295000,2 bedroom flat for sale,"15 Portman Square, Marylebone W1H",http://www.rightmove.co.uk/properties/132773936#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Napier-Watt-Limited/London-83443.html,W1H,,2.0,2023-06-26 04:30:22.388130,Flat,2.0,2.0,64.0,"15 Portman Square, Marylebone W1H",,
